,node_1,node_2,edge,chunk_id,count
0,aitraaz,indian hindi-language romantic thriller film,Aitraaz is a 2004 Indian Hindi-language romantic thriller film directed by Abbas–Mustan and produced by Subhash Ghai.,e1b8af55df5142e2ab497da70c908d1a,4
1,akshay kumar,man accused of sexual harassment,"The movie Aitraaz tells the story of a man accused of sexual harassment, and Akshay Kumar stars as this man.",e1b8af55df5142e2ab497da70c908d1a,4
2,priyanka chopra,female superior,Akshay Kumar's female superior in the movie Aitraaz is played by Priyanka Chopra.,e1b8af55df5142e2ab497da70c908d1a,4
3,voice mobiles,company where raj works,"Raj Malhotra, played by Akshay Kumar, works as a product engineer for Voice Mobiles in the movie Aitraaz.",e1b8af55df5142e2ab497da70c908d1a,4
4,priya saxena,junior lawyer,"Priya Saxena, played by an actress, comes to interview Raj's neighbor in the movie Aitraaz and mistakes him for someone else.",e1b8af55df5142e2ab497da70c908d1a,4
5,barrister ram chotrani,neighbor of raj,"In the movie Aitraaz, Priya Saxena comes to interview Barrister Ram Chotrani, who is Raj's neighbor.",e1b8af55df5142e2ab497da70c908d1a,4
6,raj,ceo,formerly held position of,c78447e52b62426f9e785b622306c409,4
7,rakesh,new ceo,successor to the position of,c78447e52b62426f9e785b622306c409,4
8,sonia,pregnancy,formerly in state of,c78447e52b62426f9e785b622306c409,4
9,raj,rakesh,"In the present, Rakesh informs Raj about a defect in their new mobile handset, causing calls to connect to random people.",d34d8fdabd5847588c3de60fe545b39d,4
10,raj,sonia,Raj visits Sonia for authorization to stop production.,d34d8fdabd5847588c3de60fe545b39d,4
11,sonia,raj,"Sonia makes inappropriate advances, which Raj continuously rejects and escapes from her house.",d34d8fdabd5847588c3de60fe545b39d,4
12,sonia,false accusation,"Following day, she then falsely accuses Raj of sexual harassment and attempted rape,",d34d8fdabd5847588c3de60fe545b39d,4
13,ranjit,raj,Ranjit demands his resignation to avoid the downfall of the company.,d34d8fdabd5847588c3de60fe545b39d,4
14,raj,resignation,"Raj objects by saying that he didn't sexually assault Sonia, but his colleagues and Rakesh don't believe him.",d34d8fdabd5847588c3de60fe545b39d,4
