node_1,node_2,edge
will,amy,"In the context, Will and Amy are involved in a romantic relationship that encounters some issues. Will's feelings for her are not fully admitted, leading to their breakup. Later, Will realizes the possibility of this event being related to his dream as a caveman."
will,flavor flav,"In the context, Amy is revealed to have an affair with Flavor Flav, which contributes to her breakup with Will."
will,crystal skull,"The caveman in Will's dream discovers that their fate lies in a Crystal Skull, which might be related to the end of the world prophecy."
global warming,calamities,"Juney mentions that global warming is causing calamities, which seems to be related to the end of the world prophecy."
will,super duper sweet sixteen,"The context reveals that Will hosts a Super Duper Sweet Sixteen party at his house, despite being 25 years old."
amy winehouse,predator,"In Will's dream as a caveman, the predator he runs away from is revealed to be Amy Winehouse."
will,amy,"relationship between Will and Amy is discussed in the context, where he admits his feelings for her before the call is dropped."
lisa,calvin,"comforting each other after Lisa's death and Calvin catches Giselle, they immediately fall in love with each other in the context"
batman,will,encounter with Batman informing them to go to evacuation buses and that there will be no chance of survival if they go to save Amy in the context
michael jackson,bubbles,"contained in Michael Jackson and Bubbles' trunk in the Mach Five, which Will and Calvin hijack to drive to the museum in the context"
museum doors,all of the artifacts have come alive,"The museum doors are closed and all of the artifacts have come alive, including Po from Kung Fu Panda."
po,katana,Po takes out a katana and simultaneously kills Calvin and the Princess.
will,indiana jones,"Indiana Jones, who is revealed to be Will's father."
beowulf,will,"After Amy stabs 'Beowulf' in the back, Will and Amy encounter Indiana Jones."
wedding ceremony,characters in the film dating each other,"Will and Amy have a wedding ceremony performed by 'The Guru Shitka', which ends with a musical number about all of the characters in the film dating each other (having sex in the unrated version) parodying 'I'm Fucking Matt Damon' by Sarah Silverman."
chipmunks,falling cow,The 'Chipmunks' getting crushed to death by a falling cow before the credits start to roll.
