node_1,node_2,edge
movies,details,MOVIES and DETAILS are related in this context as the text mentions 'HERE IS THE DETAILS OF MOVIE'S SUMMARY'
gigli,ricki,Gigli is attracted to Ricki
gigli,louis,Gigli resents Louis' lack of faith in him
ricki,louis,"Ricki is a woman, and Gigli resents both Louis' lack of faith in him and having to take orders from her"
brian,gigli,Gigli is frustrated by Brian's insistence on going to 'the Baywatch'
gigli,ending,original ending featured Gigli being killed
gigli,most expensive box office flops of all time,Gigli's worldwide gross of $7.7 million against a $75.6 million budget made it one of the most expensive box office flops of all time.
gigli,panned by critics,Gigli was panned by critics as stated in the context.
gigli,bradley cooper and jennifer lopez,Gigli stars Bradley Cooper and Jennifer Lopez lacked chemistry as mentioned in the context.
bad boys ii and s.w.a.t.,sony pictures,"During the same period as mentioned in the context, Sony Pictures had successful movies Bad Boys II and S.W.A.T."
gigli,the onion,"Was the subject of an article in satirical newspaper, The Onion, titled 'Gigli focus groups demand new ending in which Affleck and Lopez die.'"
affleck,member of the filming crew,"in this movie, Affleck is portrayed as a member of the filming crew parodying his role in Argo"
