node_1,node_2,edge
lil' kim,t.j.'s employee lil' kim,Relationship between T.J.'s employee Lil' Kim and himself
heinz hummer,german gigolo heinz hummer,"Deuce found German gigolo Heinz Hummer asleep in an alley behind a coffee shop; believing he is high, Deuce takes him to T.J.'s boat"
t.j.,heinz hummer,"Deuce found German gigolo Heinz Hummer asleep in an alley behind a coffee shop; believing he is high, Deuce takes him to T.J.'s boat"
antoine,former gigolo antoine,Former gigolo Antoine gives Deuce a client list
deuce,eva,"Deuce meets Gaspar's niece, Eva, who suffers from extreme obsessive–compulsive disorder."
deuce,lily,"Deuce continues to investigate different women from Antoine's list including Lily, who speaks through an electrolarynx after a laryngectomy,"
eva,items used by the man-whore killer,Deuce visits Eva's apartment and discovers items used by the Man-whore Killer.
gaspar,eva,Gaspar reveals to Eva that he is the Man-whore Killer; he locks her up and prepares to frame her.
deuce,gaspar,Deuce confides his suspicions to Gaspar but is again dismissed.
eva,deuce,Eva tries to warn Deuce.
gaspar,european gigolos,Gaspar reveals that he plans to kill all the European gigolos with a bomb.
t.j.,european gigolo office,"Deuce and T.J. infiltrate the European gigolo office, where the Man-whore Killer murders another gigolo; T.J. is arrested when he is caught at the scene again."
deuce,gaspar,"Deuce engages in a sword fight with Gaspar and mentions non-sexual romantic ways of pleasing a woman. His words move the crowd. Gaspar defeats Deuce but before he can detonate the bomb, Lily and Svetlana distract Gaspar; Deuce gains control of the detonator and is awarded the 'Golden Boner' for his bravery."
deuce,eva,"Deuce accidentally sets off the bomb while kissing Eva, but no one is injured."
t.j.,homosexual prostitution,T.J. enters a brand-new market: homosexual prostitution.
mc extra nipple,t.j.,"MC Extra Nipple is the new name of T.J., who stops gay man-whoring and becomes a rapper called MC Extra Nipple where he didn't make any records and was shot several times."
lil' kim,penis enlargement,Lil' Kim has a penis enlargement which is now 4 inches wide.
svetlana,man with a vagina for a face,Svetlana marries a man with a vagina for a face where everyone vomited uncontrollably.
kate's prosthetic leg,old dutch woman,An old Dutch woman turns Kate's prosthetic leg into a bong.
