node_1,node_2,edge
the fog: original motion picture soundtrack,varèse sarabande all,Label Varèse Sarabande All released The Fog: Original Motion Picture Soundtrack
prologue,graeme revell,Title 'Prologue' written by Graeme Revell in the album The Fog: Original Motion Picture Soundtrack
god's country,graeme revell,Title 'God's Country' written by Graeme Revell in the album The Fog: Original Motion Picture Soundtrack
anchor lockup,graeme revel,Title 'Anchor Lockup' written by Graeme Revel in the album The Fog: Original Motion Picture Soundtrack
sixth sense,fall out boy,Title 'Sixth Sense' written by Fall Out Boy in the album Save Rock and Roll
the (after)life,fall out boy,Title 'The (After)Life' written by Fall Out Boy in the album Save Rock and Roll
save rock and roll,fall out boy,Title 'Save Rock and Roll' written by Fall Out Boy in the album Save Rock and Roll
young volcanoes,fall out boy,Title 'Young Volcanoes' written by Fall Out Boy in the album Save Rock and Roll
jet pack blues (blue version),fall out boy,Title 'Jet Pack Blues (Blue Version)' written by Fall Out Boy in the album Save Rock and Roll
deathbed (coffy for your head),fall out boy,Title 'Deathbed (Coffy For Your Head)' written by Fall Out Boy in the album Save Rock and Roll
just one yesterday,fall out boy,Title 'Just One Yesterday' written by Fall Out Boy in the album Save Rock and Roll
