node_1,node_2,edge
adam sandler,donny berger,Adam Sandler portrays the character Donny Berger in this movie.
ady samberg,todd peterson,"Ady Samberg portrays the character Todd Peterson, who is revealed to also be known as Han Solo Berger."
leighton meester,jamie martin,Leighton Meester acts as Jamie Martin in the movie.
milo ventimiglia,chad martin,"Milo Ventimiglia plays the role of Chad Martin, Jamie's younger brother."
blake clark,gerald,Blake Clark performs as Gerald in the movie.
meagen fay,helen,"Meagen Fay portrays Helen, Jamie and Chad's mother."
tony orlando,steve spirou,Tony Orlando acts as Steve Spirou in the movie.
will forte,phil,Will Forte portrays Phil in the film.
rachel dratch,phil's wife,Rachel Dratch performs as Phil's wife in the movie.
nick swardson,kenny,Nick Swardson plays Kenny in this movie.
peggy stewart,grandma delores,Peggy Stewart acts as Grandma Delores in the movie.
ciara,brie,"Ciara portrays Brie, a bartender and Donny's friend, Todd's secondary love interest in the movie."
ana gasteyer,mrs. ravensdale,Ana Gasteyer portrays Mrs. Ravensdale in this movie.
susan sarandon,mary mcgarricle (present-day),"Susan Sarandon acts as Mary McGarricle (present-day), Donny's middle school teacher/lover and Todd's mother in the movie."
todd bridges,self,Todd Bridges appears as himself in this movie.
dan patrick,randall morgan's receptionist,Dan Patrick portrays Randall Morgan's receptionist in the movie.
peter dante,dante spirou,"Peter Dante performs as Dante Spirou, Steve's son in the film."
colin quinn,strip club dj,Colin Quinn performs as the Strip club DJ in this movie.
vanilla ice,self,Vanilla Ice appears as himself in the movie.
