node_1,node_2,edge
myers,studio,"Studio hired Alec Berg, David Mandel and Jeff Schaffer to rewrite the film script because Myers had scheduling conflicts with his role in The Santa Clause 2."
myers,allen,"Initially, Allen was considered for the role of the Cat by Myers, but scheduling conflicts with The Santa Clause 2 forced Myers to drop out and Allen also dropped out."
myers,casting director,The casting director chose Myers for the role of the Cat after scheduling conflicts with The Santa Clause 2 forced Allen to drop out.
myers,baldwin and preston,"Several people said Myers had considerable input into the film's direction by telling some of the cast, namely co-stars Baldwin and Preston, how to perform their scenes."
myers,dr. seuss,"Myers stated in an interview that he was a long-time fan of the original Dr. Seuss book, and that it was the first book he ever read."
sprockets film's cancellation,myers,Myers was obligated to appear in the film as a result of a settlement related to the Sprockets film's cancellation.
peri gilpin,joan walden,"Peri Gilpin was originally attached to play Joan Walden, but was unable to do so due to scheduling conflicts with Frasier."
fish,sean hayes,"Sean Hayes provided the voice for the Fish and found the role significantly different from his usual on-camera jobs due to not knowing how the final animation would look, resulting in all of his voice work taking place alone in a sound booth."
danielle chuchran,thing 1,"Danielle Chuchran portrayed Thing 1, and wore a prosthetic face mask and wig designed by Johnson as well."
brittany oaks,thing 2,"Brittany Oaks portrayed Thing 2, and wore a prosthetic face mask and wig designed by Johnson as well."
downtown area,pomona street,"The outdoor shots of the film were filmed along a Pomona street in the downtown area. This street is now known for its antique and gift shops, some of which still bear the surreal paint scheme and signage featured in the movie."
pomona street,antique and gift shops,The Pomona street where the outdoor shots were filmed is home to a number of antique and gift shops whose surreal paint scheme and signage can still be seen today.
sky,downtown area,"Due to heavy smog, the sky had to be digitally replaced in the film to make it look less polluted. This is because the downtown area where the outdoor shots were filmed has a lot of smog."
background,sky,The background colors in the film had to be digitally fixed because they did not complement the newly added sky.
myers,house,"During his scenes with Spencer Breslin and Dakota Fanning, a piece of the house fell behind Mike Myers, which he was unaware of. His reaction to this incident was real and left unscripted in the final film."
myers,assistant,"Mike Myers had an assistant who held chocolates in a Tupperware, and whenever he needed a piece of chocolate, his assistant would come over and give it to him."
welch,myers,"During breaks in filming, Welch, who was a first-time director, would often let Myers decide whether the retakes of scenes were good enough or not."
hill,myers,"According to Amy Hill, Mike Myers refused to talk to anyone on the production (other than his assistants and director Welch) and isolated himself from the cast and crew during breaks in filming."
hill,welch,"However, Hill praised Welch as being 'really lovely'."
