node_1,node_2,edge
sandra bullock,mary magdalene horowitz,Sandra Bullock played the character Mary Magdalene Horowitz in the movie.
bradley cooper,steven 'steve' miller,Bradley Cooper played the character Steven 'Steve' Miller in the movie.
thomas haden church,hartman hughes,Thomas Haden Church played the character Hartman Hughes in the movie.
ken jeong,angus tran,Ken Jeong played the character Angus Tran in the movie.
dj qualls,howard,DJ Qualls played the character Howard in the movie.
katy mixon,elizabeth,Katy Mixon played the character Elizabeth in the movie.
beth grant,mrs. horowitz,Beth Grant played the character Mrs. Horowitz in the movie.
howard hesseman,mr. horowitz,Howard Hesseman played the character Mr. Horowitz in the movie.
m. c. gainey,norman james 'norm' durwood,M. C. Gainey played the character Norman James 'Norm' Durwood in the movie.
luenell,protester's wife,Luenell played the character Protester's wife in the movie.
jordan morris,protester winston,Jordan Morris played the character Protester Winston in the movie.
keith david,danny,Keith David played the character Danny in the movie.
holmes osborne,soloman,Holmes Osborne played the character Soloman in the movie.
jason jones,vazquez,Jason Jones played the character Vazquez in the movie.
noah munck,student,Noah Munck played the character Student in the movie.
rachel sterling,booby botanist,Rachel Sterling played the character Booby Botanist in the movie.
