node_1,node_2,edge
rollerball scenes,social commentary,"Director John McTiernan didn't like the first draft of the script because it focused more on social commentary, while he thought that the audience would prefer to see more of the Rollerball scenes."
first cut,test audiences,"The movie's first cut, which was over two hours long, was test screened in Las Vegas around April or May 2001, and got a very negative response from test audiences."
release date,test the movie again,"MGM pushed the release date from May to July 13, 2001 to test the movie again, hoping that they would find the right audience for it."
jonathan e.,jonathan cross,The name of the main character in the film was changed from Jonathan E. To Jonathan Cross.
mctiernan,rollerball,director John McTiernan invited Harry Knowles for a test screening of the film Rollerball in Long Island after its first test screening.
knowles,rollerball,"Harry Knowles watched a test screening of John McTiernan's original cut of Rollerball and described it as one of the worst films he had ever seen. He noted that despite being a workprint, the poorly edited action scenes and bad story were already obvious."
knowles,rollerball edit,"Harry Knowles witnessed jeering in the theater during his screening of John McTiernan's Rollerball edit, which he described as one of the worst films he had ever seen."
rollerball game,jonathan,"In original ending, Jonathan expresses his intention to continue playing the Rollerball game and becoming part owner of it after returning to the US with Aurora."
petrovich,sanjay,"In original ending, Petrovich is killed by Sanjay."
aurora,jonathan,"In original ending, Aurora flies back to the US with Jonathan."
sanjay,petrovich,"In original ending, Sanjay kills Petrovich."
