node_1,node_2,edge
donkey kong championship game,eddie 'the fireblaster' plant,"In the context, Eddie 'The Fireblaster' Plant seemingly loses a Donkey Kong championship game to Sam Brenner. This event is included in a time capsule launched into space, which is later discovered and analyzed by the President of the United States, Will Cooper."
galaga,andersen air force base,The extraterrestrial aliens in the form of Galaga besiege Andersen Air Force Base in Guam.
earth,arcade game icons,"The aliens have mistaken the videocassette as a declaration of war and are attacking Earth with arcade game icons, according to Brenner's deduction."
earth,best-of-five battle,"The aliens challenge Earth to a best-of-five battle, claiming that Earth has lost the first match."
taj mahal,arkanoid,The aliens attack the Taj Mahal in the form of Arkanoid.
navy seals,brenner and ludlow,Brenner and Ludlow train Navy SEALs to play the games.
hyde park,centipede,The aliens attack Hyde Park in the form of Centipede.
duck hunt dog,trophy,The aliens send a trophy in the form of the Duck Hunt dog.
brenner,violet,"In the context provided, Brenner and Violet start a romantic relationship with each other."
eddie,serena williams,Eddie meets tennis player Serena Williams in the given context.
eddie,martha stewart,Eddie also meets Martha Stewart in the given context.
aliens,everything on earth,"The aliens restore everything on Earth, including Iwatani's hand, as mentioned in the provided context."
ludlow,lisa,"In the given context, Ludlow is devastated over Lisa's disappearance."
