node_1,node_2,edge
nicolas cage,rayford steele,"In the movie, Nicolas Cage plays the character Rayford Steele."
chad michael murray,cameron 'buck' williams,Chad Michael Murray portrays Cameron 'Buck' Williams in the movie.
cassi thomson,chloe steele,"In the film, Cassi Thomson takes on the role of Chloe Steele."
nicky whelan,hattie durham,Nicky Whelan is cast as Hattie Durham in the movie.
jordin sparks,shasta carvell,"In the movie, Jordin Sparks plays the character Shasta Carvell."
lea thompson,irene steele,Lea Thompson depicts Irene Steele in the film.
lance e. nichols,pastor bruce barnes,"In the movie, Lance E. Nichols portrays Pastor Bruce Barnes."
william ragsdale,chris smith,William Ragsdale plays Chris Smith in the film.
martin klebba,melvin weir,"In the movie, Martin Klebba portrays Melvin Weir."
quinton aaron,simon,Quinton Aaron acts as Simon in the film.
judd lormand,jim,"In the movie, Judd Lormand portrays Jim."
stephanie honore,kimmy,"In the movie, Stephanie Honore plays the character Kimmy."
gary grubbs,dennis,"In the movie, Gary Grubbs portrays Dennis."
georgina rawlings,venice baxter,"In the film, Georgina Rawlings acts as Venice Baxter."
sam velasquez,stan marsh,"In the movie, Sam Velasquez portrays Stan Marsh."
lolo jones,lori,"In the movie, Lolo Jones acts as Lori."
han soto,edwin,"In the film, Han Soto portrays Edwin."
major dodson,rayford 'raymie' steele jr.,"In the movie, Major Dodson portrays Rayford 'Raymie' Steele Jr."
alec rayme,hassid,"In the movie, Alec Rayme acts as Hassid."
