node_1,node_2,edge
movies,summary,"movies have a summary that provides details about the movie's plot, characters, and other important information."
fantasy island,weavers,"Fantasy Island offers fantasies to its guests, including the Weavers. However, when a drug cartel takes the Weavers hostage, Fantasy Island becomes a living nightmare for them."
patrick,lieutenant sullivan,Patrick recognizes Lieutenant Sullivan as his father in the military platoon that captures him. This reveals a previously unknown relationship between the two.
melanie,sloane,Melanie and Sloane are both kidnapped and brought to Fantasy Island against their wills. They form a relationship as they try to escape together.
damon,deceased daughter,"Damon is hired by Roarke to see his deceased daughter again, but the fantasy becomes a nightmare that traps him on the island. This highlights the potential consequences of fulfilling fantasies."
roarke,deceased wife,"Roarke's own fantasy is to be with his deceased wife, and he insists that the guests' fantasies be fulfilled to continue this one. This reveals a significant aspect of his character."
gwen,allen,"Gwen wakes up to find she has a daughter with Allen, which dissatisfies her as she realizes that it wasn't the fantasy she wanted."
spring water,fantasies,"The fantasies are created by spring water under a glowing rock in a cave, as revealed by Damon."
melanie,sloane,Melanie takes Sloane hostage as her revenge for Nick's death and reveals that it is her true fantasy.
julia,roarke's wife,"Julia is revealed to be Roarke's wife, brought back by the power of the island dying of a terminal illness."
sullivan's soldiers,the weavers,"Sullivan's soldiers are summoned to rescue The Weavers, but they get attacked by the zombified cartel."
j. d.,sullivan's soldiers,J. D. Is a part of Sullivan's soldiers and gets fatally shot in the ensuing gunfight.
sullivan,patrick,Sullivan sacrifices himself so Patrick and Brax can escape during the gunfight.
the remaining guests,roarke,"The remaining guests regroup at the resort but are cornered by Roarke, who reveals that they are in a fantasy in which they are all killed."
damon's associates,the guests,"Damon's associates send a plane to rescue the guests, but it is shot down."
the guests,the glowing rock,The guests run to the cave to destroy the glowing rock with a grenade Patrick is carrying.
julia,roarke,"Julia is revealed to be Roarke's wife, brought back by the power of the island dying of a terminal disease she was suffering from when she met Roarke."
melanie,nick,"Sloane remembers the spring water she collected before and wishes Melanie 'to be' forever with Nick. As a result, a zombified Nick attacks Melanie and drags her into the water."
melanie,island,"The guests on Fantasy Island were convinced that Melanie's soulmate, who she had a date with, was her 'soulmate'. However, as the fantasy concludes, Julia is revealed to be Roarke's wife, brought back by the power of the island dying of a terminal disease she was suffering from when she met Roarke."
brax,tattoo,"After Gwen, Sloane, and a resurrected J. D. depart, Roarke asks Brax to become his new assistant. Remembering a nickname J. D. gave him, Brax chooses to rename himself 'Tattoo', initiating the events of the 1977 television series."
patrick,sacrifice,"Patrick sacrifices himself and falls on it to protect the others, paying homage to how his father died years ago: protecting his troop in Venezuela by falling onto a grenade."
fantasy island,horror film adaptation,"In July 2018, it was announced that a horror film adaptation of the Fantasy Island television series was being developed at Blumhouse Productions and Sony Pictures. It was described as 'a mix of Westworld and The Cabin in the Woods'."
fantasy island,$49 million,Fantasy Island earned $49 million worldwide in its box office run against a production budget of $7 million.
united states and canada,$21.6 million,"In the United States and Canada, Fantasy Island grossed $21.6 million in its opening weekend alongside other releases."
rotten tomatoes,8%,Fantasy Island received an approval rating of 8% on Rotten Tomatoes based on 113 critics' reviews.
metacritic,22,Fantasy Island received a score of 22 out of 100 on Metacritic based on 29 critics' reviews.
richard roeper,chicago sun-times,Fantasy Island is described as 'inane' and 'contrived' by Richard Roeper of the Chicago Sun-Times.
peter travers,rolling stone,Fantasy Island receives a rating of zero out of five stars from Peter Travers of Rolling Stone.
fantasy island,death row,"If crimes against cinema merated prosecution, Blumhouse's Fantasy Island would go directly to death row."
sonic the hedgehog,less raw terror,"This stupefyingly dull time- and money-waster contains less raw terror in its entirety than Sonic the Hedgehog during any five minutes of its running time,"
genre-surfing,odd attempt at genre-surfing,"Benjamin Lee of The Guardian gave the film 2/5 stars, describing it as 'an odd attempt at genre-surfing that ends up well out of its depth'."
