node_1,node_2,edge
antonio banderas,jeremiah ecks,Antonio Banderas plays the role of Jeremiah Ecks in this movie.
lucy liu,sever,Lucy Liu acts as Sever in the movie.
gregg henry,robert gant,Gregg Henry portrays Robert Gant in this film.
ray park,a.j. ross,Ray Park performs as A.J. Ross in the movie.
miguel sandoval,fbi special agent-in-charge julio martin,Miguel Sandoval appears as FBI Special Agent-in-Charge Julio Martin in the movie.
terry chen,rcmp agent harry lee,Terry Chen plays RCMP Agent Harry Lee in this film.
roger r. cross,dia agent zane,Roger R. Cross portrays DIA Agent Zane in the movie.
eric breker,dia agent curtis,Eric Breker appears as DIA Agent Curtis in this film.
sandrine holt,fbi agent bennett,Sandrine Holt plays the role of FBI Agent Bennett in the movie.
steve bacic,fbi agent fleming,Steve Bacic appears as FBI Agent Fleming in this film.
tony alcantar,edgar moore,Tony Alcantar portrays Edgar Moore in the movie.
aidan drummond,michael gant,Aidan Drummond appears as Michael Gant in this film.
charles andre,fbi agent addis,Charles Andre portrays FBI Agent Addis in the movie.
