node_1,node_2,edge
angela kinsey,felder,Angela Kinsey plays the character Felder in this context.
toby huss,wilson,Toby Huss portrays the character Wilson in this context.
skyler samuels,tyler's love interest,"Skyler Samuels plays the role of Tyler's love interest, as stated in this context."
samantha bee,principal baker,Samantha Bee acts as Principal Baker in this context.
alice drummond,mrs. martin,"Alice Drummond portrays Mrs. Martin, as mentioned in this context."
ricky garcia,frank,Ricky Garcia plays the character Frank in this context.
jim norton,hank,"According to Jim Norton, he was playing the role of Hank in Furry Vengeance during the filming of this context."
patrice o'neal,gus,"According to Jim Norton, Patrice O'Neal played Gus in this context."
eugene cordero,cheese,Eugene Cordero portrays Cheese in this context.
gerry bednob,mr. gupta,Gerry Bednob acts as Mr. Gupta in this context.
billy bush,drill sergeant,Billy Bush portrays a drill sergeant in this context.
alexander chance,security guard,Alexander Chance plays the role of a security guard in this context.
alexander chance,security guard,Alexander Chance is portrayed as a security guard in this context.
rob riggle,riggs,"In this context, Rob Riggle appears as Riggs, a worker for Neal Lyman who quits following the raccoon's first attack."
wallace shawn,dr. christian burr,"Wallace Shawn is portrayed as Dr. Christian Burr, a therapist that Tammy hooks Dan up with after various incidents with the raccoon, in this context."
