node_1,node_2,edge
movie,summary,"The provided context is presenting a detailed description of a movie, and the summary refers to this specific part of the information."
daddy day care (also known as daddy day care 2),revolution studios,Daddy Day Care (also known as Daddy Day Care 2) is a 2007 American children's comedy film directed by Fred Savage in his feature film directorial debut. The film was produced by Revolution Studios and released by TriStar Pictures.
daddy day care (also known as daddy day care 2),tristar pictures,"Daddy Day Care (also known as Daddy Day Care 2) was theatrically released in the United States on August 8, 2007, and was distributed by TriStar Pictures."
charlie,phil,"Charlie and Phil take their kids, Max and Ben, to Camp Driftwood for the summer."
max,ben,"Charlie and Phil's children, Max and Ben,"
buck,campers,easy training of campers by Colonel Buck Hinton
canola,driftwood flag,stealing of Driftwood flag by Canola
olympiad,camp olympiad,The kids competed in the Olympiad at Camp Olympiad.
charlie,camp olympiad,Charlie responded to a challenge for the Camp Olympiad.
kids,camp olympiad,The kids started training for the Camp Olympiad.
buck,military ways and support,The kids admired Buck because of his military ways and support during their training for the Camp Olympiad.
charlie,buck,Charlie disapproved of Buck's care for toughness and believed that Buck only cared about toughness during their training for the Camp Olympiad.
ben,camp olympiad,The kids found Ben during their training for the Camp Olympiad.
charlie,phil,"Charlie complained to Phil about Buck during their training for the Camp Olympiad, and Buck overheard them."
lance,1977 olympiad,It was revealed that Lance won the 1977 Olympiad.
buck,plan to win against canola,Buck formulated a plan to win against Canola during the Camp Olympiad.
mullet head,ben,Ben replaces Mullet Head in climbing course due to ankle injury
ben,campmates,Campmates encourage Ben after falling during climbing course
becca,lance,Becca shows evidence of Lance's cheating on wall
ben,wall,Ben successfully climbs the greased wall with time left to hit the bell
lance,wall,Lance cheats on the wall for years by greasing it
bobby j,lance,"Bobby J talks back and kicks Lance, causing the wall to collapse and leading to Lance breaking down crying"
