node_1,node_2,edge
reed,area 57,Reed is brought to Area 57 by the United States military with Sue's help and later captured by Ben.
reed,ben,Ben captures Reed when he is found by the United States military with Sue's help.
reed,sue,Sue helps find Reed and later assists the United States military in capturing him.
reed,doom,"Ben, Johnny, Reed, and Sue pursue Doom (Victor), who has returned to Planet Zero using the Quantum Gate."
dr. allen,reed,Dr. Allen conscripts Reed into rebuilding the Quantum Gate in exchange for giving him resources to find a cure.
professor storm,doom (victor),"Doom (Victor) kills the scientists and soldiers in the base, including Dr. Allen and Professor Storm."
johnny,united states military,The United States military outfits Johnny and Sue with specialized suits to help them control their abilities.
sue,reed,Sue helps find Reed after he escapes from the government facility where he was placed for study.
victor,telekinetic abilities,Victor now possesses telekinetic abilities due to being fused to his spacesuit.
quantum gate,planet zero,"Victor, also known as Doom, uses the Quantum Gate to activate a portal on Planet Zero."
planet zero,rock formations in planet zero,Victor creates a structure from the rock formations in Planet Zero.
doom,ben,"Ben punches Doom into the portal's energy beam, disintegrating him while Johnny closes the portal."
