node_1,node_2,edge
catherine tramell,kevin franks,"In the opening scene, Catherine Tramell masturbates herself with Kevin Franks's hand while driving, but he appears unaware of it."
catherine tramell,dr. michael glass,"Scotland Yard appoints psychiatrist Dr. Michael Glass to evaluate Catherine Tramell, and he becomes a victim of her psychological manipulation, as in the first film with SFPD Detective Nick Curran."
catherine tramell,author,"Catherine Tramell is an American best-selling author, as mentioned in the given context."
kevin franks,famous english football star,"As mentioned in the given context, Kevin Franks is a famous English football star who accompanies Catherine Tramell in the opening scene."
scotland yard,metropolitan police service,"The given context mentions that Scotland Yard, which is a part of the Metropolitan Police Service, appoints psychiatrist Dr. Michael Glass to evaluate Catherine Tramell."
tramell,self-masturbation,"Hand begins to be used for self-masturbation by Tramell while driving, potentially indicating a preoccupation or distraction that may have contributed to the subsequent car crash."
tramell,franks,"Close proximity and potential interaction between Tramell and Franks, as evidenced by her attempts to save him after the crash. However, the statement 'my life was more important to me than his' suggests a possible lack of regard or prioritization for his well-being."
tramell,dtc,"Presence of DTC in Tramell's car and Franks' body raises questions about her involvement or knowledge of its use, particularly since a drug dealer claims to have sold it to her."
dr. glass,tramell,"Relationship between Dr. Glass and Tramell during therapy sessions, as she manipulates him and he becomes increasingly intrigued by her."
robert downey jr.,dr. michael glass,Robert Downey Jr. Declined the offer to play Dr. Michael Glass in the sequel.
basic instinct 2,michael glass,"Dr. Michael Glass played a role in the movie Basic Instinct 2, but he declined to co-star with Stone."
basic instinct 2,aaron eckhart,Aaron Eckhart was also considered to co-star with Stone in Basic Instinct 2.
basic instinct 2,david cronenberg,Director David Cronenberg was one of the directors considered for Basic Instinct 2.
basic instinct 2,lee tamahori,Director Lee Tamahori was also considered for Basic Instinct 2.
david morrissey,sharon stone,"In Basic Instinct 2, David Morrissey co-starred with Sharon Stone and they both had a good working relationship during filming."
basic instinct 2,mpaa,The film Basic Instinct 2 was threatened with an NC-17 rating by the MPAA and went through cuts to achieve an R rating.
basic instinct 2,rotten tomatoes,"As of [date], Basic Instinct 2 has a 6% approval rating on the review aggregator website Rotten Tomatoes."
basic instinct 2,metacritic,"As of [date], Basic Instinct 2 has a Metascore of 26 out of 100 on Metacritic, indicating generally unfavorable reviews."
basic instinct 2,roger ebert,"Roger Ebert gave Basic Instinct 2 a rating of 1.5 stars out of a possible 4, calling it 'godawful'."
basic instinct 2,mark kermode,BBC film critic Mark Kermode was one of the few critics to give Basic Instinct 2 a positive review.
sharon stone,lopsided breasts,Worst Screen Couple (Sharon Stone's lopsided breasts)
film,box office,"The film was a noteworthy domestic failure at the box office; it grossed only $3.2 million in its first weekend of release in the United States and Canada, falling by nearly 70% (to just $700 per theatre) in its second weekend."
actor,all the other actors,"""I tried to give it a look and I was very happy with it. I had a great time with all the other actors,""[17] David Morrissey said:"
