node_1,node_2,edge
further information,dr. henry 'indiana' jones jr.,"The given context provides further information about the character Dr. Henry 'Indiana' Jones Jr., including his profession and academic affiliations."
helena shaw,further information,"The given context provides further information about the character Helena Shaw, describing her as 'slippery', 'charming', and a 'grifter'."
mads mikkelsen,dr. jürgen voller,"Mads Mikkelsen portrays Dr. Jürgen Voller, a German scientist and former Nazi during World War II who is hired by NASA as 'Dr. Schmidt' to run the Apollo Moon landing program while using CIA assets for his own gain."
dr. jürgen voller,nasa,"Dr. Jürgen Voller, a former Nazi during World War II and German scientist, is hired by NASA under the name 'Dr. Schmidt' to run the Apollo Moon landing program."
nasa,moon landing program,"The text mentions that Dr. Jürgen Voller, a former Nazi during World War II and German scientist, is hired by NASA to run the Apollo Moon landing program."
antonio banderas,renaldo,"Antonio Banderas portrays Renaldo, an old friend of Indiana Jones who operates as an expert frogman."
john rhys-davies,sallah,"John Rhys-Davies portrays Sallah, Indiana Jones' old friend who aided in finding the Ark of the Covenant and the Holy Grail and now works as a cab driver."
sallah,indiana jones,Sallah is Indiana Jones' old friend who aided in finding the Ark of the Covenant and the Holy Grail.
toby jones,basil shaw,"Toby Jones portrays Basil Shaw, an Oxford professor of archaeology, ally of Indiana Jones from his days in World War II, and Helena's father who was obsessed with the Dial."
basil shaw,helena,Basil Shaw is Helena's father.
basil shaw,indiana jones,Basil Shaw was an ally of Indiana Jones from his days in World War II.
voller,klaber,"Holbrook played the role of Klaber, Voller's nefarious and trigger-happy right-hand man in 1969."
