node_1,node_2,edge
charlie nash,interpol agent charlie nash,The same character played by Chris Klein is also known as Interpol Agent Charlie Nash.
balrog,michael clarke duncan,The role of Balrog in the movie is portrayed by Michael Clarke Duncan.
detective maya 'crimson viper' sunee,moon bloodgood,"Similarly, Moon Bloodgood performs the part of Detective Maya 'Crimson Viper' Sunee."
vega,taboo,The actor Taboo takes on the role of Vega in the film.
gen,robin shou,"In the movie, Robin Shou essays the part of Gen."
huang xiang,edmund chen,"Edmund Chen portrays Chun-Li's father in the movie, named Huang Xiang."
cantana,josie ho,The role of Cantana in the movie is played by Josie Ho.
rose,elizaveta kiryukhina,Elizaveta Kiryukhina appears as Rose in the film.
zhilan,cheng pei-pei,"In the movie, Cheng Pei-pei takes on the role of Zhilan."
lucy,krystal vee,The character Lucy is portrayed by Krystal Vee in the movie.
