node_1,node_2,edge
shannyn sossamon,alana locke,"Young Beth, portrayed by Alana Locke, is played by Shannyn Sossamon as an adult in the movie."
shannyn sossamon,beth raymond,Shannyn Sossamon portrays the character of Beth Raymond in the movie.
edward burns,detective jack andrews,Edward Burns plays the role of Detective Jack Andrews in the movie.
ana claudia talancón,taylor anthony,Ana Claudia Talancón portrays Taylor Anthony in the movie.
ray wise,ted summers,Ray Wise acts as Ted Summers in the movie.
azura skye,leann cole,Azura Skye performs the character of Leann Cole in the movie.
johnny lewis,brian sousa,Johnny Lewis plays the role of Brian Sousa in the movie.
jason beghe,ray purvis,Jason Beghe portrays Ray Purvis in the movie.
margaret cho,mickey lee,Margaret Cho performs as Mickey Lee in the movie.
meagan good,shelley baum,Meagan Good acts as Shelley Baum in the movie.
rhoda griffis,marie layton,Rhoda Griffis performs the character of Marie Layton in the movie.
dawn dininger,ghost of marie layton,Dawn Dininger portrays the ghost of Marie Layton in the movie.
ariel winter,ellie layton,Ariel Winter plays the role of Ellie Layton in the movie.
sarah jean kubik,ghost of ellie layton,Sarah Jean Kubik portrays the ghost of Ellie Layton in the movie.
raegan lamb,laurel layton,Raegan Lamb acts as Laurel Layton in the movie.
karen bayer,mrs. ford,Karen Bayer portrays Mrs. Ford in the movie.
dave spector,gary,Dave Spector performs as Gary in the movie.
mary lynn owen,julie cohn,Mary Lynn Owen portrays Julie Cohn in the movie.
roy mccrerey,dr. painter,Roy McCrerey plays the role of Dr. Painter in the movie.
greg corbett,john,Greg Corbett acts as John in the movie.
bart hansard,howie,Bart Hansard performs as Howie in the movie.
katie kneeland,maddie,Katie Kneeland portrays Maddie in the movie.
jason horgan,dr. brown,Jason Horgan acts as Dr. Brown in the movie.
kaira akita,jewel,Kaira Akita performs as Jewel in the movie.
laura harring,mrs. raymond,Laura Harring portrays Mrs. Raymond in the movie.
wilbur fitzgerald,lieutenant,Wilbur Fitzgerald performs as Lieutenant in the movie.
