node_1,node_2,edge
josh brolin,jonah hex,"Josh Brolin plays the role of Jonah Hex, a disfigured bounty-hunter who is the film's anti-heroic protagonist."
john malkovich,quentin turnbull,"John Malkovich portrays Quentin Turnbull, the main antagonist who murdered Jonah Hex's family and disfigured the former."
megan fox,lilah black,"Megan Fox appears as Lilah Black, a gun-wielding prostitute and Jonah's love interest, whose real name is Tallulah Black."
michael fassbender,burke,"Michael Fassbender essays the character of Burke, a bowler-hat-wearing, tattooed and psychopathic Irishman who is Turnbull's right-hand man."
will arnett,lieutenant grass,"Will Arnett portrays Lieutenant Grass, a Union soldier who enlists Hex as a bounty-hunter."
michael shannon,dr. cross williams,"Michael Shannon appears as Dr. Cross Williams, the ringleader of a gladiator circus."
aidan quinn,ulysses s. grant,"Aidan Quinn features in this production for only 3 days, portraying Ulysses S. Grant, the 18th President of the United States."
jonah hex,aidan quinn,"Aidan Quinn portrayed Ulysses S. Grant in a previous role, but appeared as Jonah Hex in this movie for only three days due to scheduling conflicts."
hex,smith,Smith supplies Hex with new weapons in the movie.
lieutenant evan,jonah hex,Jonah Hex interacts with Lieutenant Evan in the movie.
colonel slocum,jonah hex,Jonah Hex interacts with Colonel Slocum in the movie.
cassie,jonah hex,Jonah Hex interacts with Cassie in the movie.
thomas jane,jonah hex,"Before Josh Brolin was cast as Jonah Hex, Thomas Jane attempted to secure the role by undergoing a makeup transformation."
jonah hex,dc showcase: jonah hex,Thomas Jane voiced Jonah Hex in the 2010 animated short DC Showcase: Jonah Hex.
