node_1,node_2,edge
aaron eckhart,adam frankenstein,"Aaron Eckhart plays the role of Adam Frankenstein, a superhuman creature created by Dr. Frankenstein, in this movie."
bill nighy,naberius,"Bill Nighy portrays Naberius, a demon prince who disguises himself as Charles Wessex in the film."
yvonne strahovski,dr. terra wade,"Yvonne Strahovski takes on the character of Dr. Terra Wade, a renowned electrophysiologist employed by Naberius to research reanimation in this movie."
miranda otto,leonore,"Miranda Otto plays the role of Leonore, the gargoyle queen, in the film."
jai courtney,gideon,"Jai Courtney portrays Gideon, the leader of the gargoyle army, in this movie."
socratis otto,zuriel,"Socratis Otto appears as Zuriel, Naberius' most formidable warrior, in the film."
kevin grevioux,dekar,"Kevin Grevioux portrays Dekar, a high-ranking demon who serves as head of security at the Wessex Institute, in this movie."
caitlin stasey,keziah,"Caitlin Stasey plays the role of Keziah, a gargoyle, in the film."
mahesh jadu,ophir,"Mahesh Jadu portrays Ophir, a gargoyle, in this movie."
nicholas bell,carl avery,"Nicholas Bell appears as Carl Avery, a character, in the film."
steve mouzakis,helek,"Steve Mouzakis portrays Helek, a character, in this movie."
