node_1,node_2,edge
marlon wayans,megan,"In the movie, Marlon Wayans' character Malcolm Johnson is romantically involved with Megan, played by Jaime Pressly."
marlon wayans,kisha davis,"In the movie, Marlon Wayans' character Malcolm Johnson has a cousin named Kisha Davis, played by Essence Atkins."
marlon wayans,father doug williams,"In the movie, Marlon Wayans' character Malcolm Johnson attends church, where Father Doug Williams (Cedric the Entertainer) is the priest."
affion crockett,marlon wayans,"In the movie, Affion Crockett's character Ray-Ray is Marlon Wayans' gangster cousin."
gabriel iglesias,miguel josé jesús gonzález smith,"In the movie, Gabriel Iglesias' character is named Miguel José Jesús González Smith."
ashley rickards,becky,"In the movie, Ashley Rickards plays the character Becky."
missi pyle,noreen,"In the movie, Missi Pyle plays the character Noreen."
hayes macarthur,ned,"In the movie, Hayes MacArthur plays the character Ned."
rick overton,professor wilde,"In the movie, Rick Overton plays the character Professor Wilde."
steele stebbins,wyatt,"In the movie, Steele Stebbins plays the character Wyatt."
kurt carley,dr. rousch,"In the movie, Kurt Carley plays the character Dr. Rousch."
tom virtue,father callahan,"In the movie, Tom Virtue plays the character Father Callahan."
kym whitley,church lady,"In the movie, Kym Whitley plays the character Church Lady."
gregg wayans,officer jackson,"In the movie, Gregg Wayans plays the character Officer Jackson."
mikal kartvedt,police officer,"In the movie, Mikal Kartvedt portrays a police officer."
iva la'shawn,1st grade teacher,"In the movie, Iva La'Shawn plays the role of a 1st grade teacher."
taylor john smith,joey,"In the movie, Taylor John Smith portrays Joey."
kirsty hill,hot coed,"In the movie, Kirsty Hill plays a hot coed character."
mari possa,hot coed,"In the movie, Mari Possa also plays a hot coed character."
