node_1,node_2,edge
reese witherspoon,officer rose cooper,Reese Witherspoon portrays the character of Officer Rose Cooper in this movie.
sofía vergara,daniella riva,Sofía Vergara acts as Daniella Riva in this movie.
robert kazinsky,randy,Robert Kazinsky plays the role of Randy in this movie.
matthew del negro,detective hauser,Matthew Del Negro performs as Detective Hauser in this movie.
michael mosley,detective dixon,Michael Mosley portrays the character of Detective Dixon in this movie.
benny nieves,jesus,Benny Nieves embodies Jesus in this movie.
michael ray escamilla,angel,Michael Ray Escamilla portrays the role of Angel in this movie.
joaquín cosío,vicente cortez,Joaquín Cosío plays Vicente Cortez in this movie.
john carroll lynch,captain emmett,John Carroll Lynch enacts Captain Emmett's character in this movie.
jim gaffigan,red,Jim Gaffigan performs the character of Red in this movie.
mike birbiglia,steve,Mike Birbiglia portrays Steve's character in this movie.
vincent laresca,felipe riva,Vincent Laresca acts as Felipe Riva in this movie.
david jensen,wayne,David Jensen embodies Wayne's character in this movie.
evaluna montaner,teresa cortez,Evaluna Montaner portrays Teresa Cortez's role in this movie.
bryce romero,cooper's prom date,Bryce Romero depicts Cooper's prom date in this movie.
