node_1,node_2,edge
alan cumming,loki,Alan Cumming depicts the character of Loki in the film.
traylor howard,tonya avery,Traylor Howard essays the role of Tonya Avery in the movie.
kal penn,jorge,Kal Penn plays the part of Jorge in the film.
steven wright,daniel moss,Steven Wright performs as Daniel Moss in this movie.
bob hoskins,odin,Bob Hoskins portrays the character of Odin in the film.
ben stein,doctor arthur neuman,Ben Stein essays the role of Doctor Arthur Neuman in the movie.
magda szubanski,betty,Magda Szubanski performs as Betty in this movie.
sandy winton,chris,Sandy Winton portrays the character of Chris in the film.
rebecca massey,clare,Rebecca Massey essays the role of Clare in this movie.
ryan johnson,chad,Ryan Johnson performs as Chad in this movie.
victoria thaine,sylvia,Victoria Thaine portrays the character of Sylvia in the film.
peter flett,mr. kemperbee,Peter Flett essays the role of Mr. Kemperbee in this movie.
amanda smyth,mrs. heather babcock,Amanda Smyth performs as Mrs. Heather Babcock in this movie.
ryan falconer,alvey avery,Ryan Falconer portrays the character of Alvey Avery in this movie.
liam falconer,alvey avery,Liam Falconer performs as Alvey Avery in this movie.
alyssa mcclelland,dream nurse,Alyssa McClelland portrays the character of Dream Nurse in this movie.
michael denkha,animator,Michael Denkha plays the part of Animator in this movie.
