node_1,node_2,edge
the goldfinch,film adaptation,"The novel's film rights were sold to Warner Bros. And RatPac Entertainment in July 2014, indicating a direct relation between 'The Goldfinch' and 'film adaptation'."
warner bros.,box-office bomb,"The Goldfinch premiered at the 2019 Toronto International Film Festival and was theatrically released by Warner Bros. Pictures on September 13, 2019. However, it only grossed $10 million against a production budget between $44–49 million, indicating that 'Warner Bros.' experienced a loss from 'box-office bomb'."
donna tartt,hated the adaptation,"Donna Tartt reportedly hated the adaptation to the point of firing her longtime, suggesting a strong negative sentiment towards 'adaptation' from 'Donna Tartt'."
ansel elgort,lead role,"Elgort was selected to portray the lead role, indicating that 'Ansel Elgort' and 'lead role' are directly related."
john crowley,director,"Crowley was hired to direct the film adaptation, suggesting a direct relation between 'John Crowley' and 'director'."
icm partners,brokered the deal,"ICM Partners brokered the deal, indicating a direct relation between 'ICM Partners' and 'deal'."
theodore decker,metropolitan museum of art,Thirteen-year-old Theodore Decker's mother was killed in a bombing at the Metropolitan Museum of Art.
theodore decker,the goldfinch,A dying man urged Theodore Decker to take a painting—The Goldfinch—and his engraved ring.
james 'hobie' hobart,welton 'welty' blackwell,James 'Hobie' Hobart's partner Welton 'Welty' Blackwell gave the ring to Theodore Decker to return.
larry,theodore decker,Larry arrived with his girlfriend Xandra to relocate Theodore Decker to Las Vegas.
theo,larry,father Larry arrives with his girlfriend Xandra to relocate Theo to Las Vegas.
larry,gambling debt,Larry ends up in gambling debt
theo,the goldfinch,Theo brings The Goldfinch and keeps it hidden.
boris,drugs and alcohol,Boris introduces him to drugs and alcohol.
hobie,success,"Hobie allows Theo to live with him. Eight years later, Theo has made Hobie’s shop successful, selling his restored antiques."
the goldfinch,collateral,"Having deduced that Theo stole The Goldfinch, Reeve accuses him of using it as collateral to finance his shop."
theo,pippa,"Theo catches Kitsey cheating on him with Tom Cable, but they remain engaged, as Theo is close to Mrs. Barbour and Kitsey is permissive toward his drug habit. Pippa visits Theo and they confess their feelings for each other, but she tearfully rejects him, citing the instability caused by their shared childhood trauma."
theo,boris,"But harbors a secret love for Pippa, who now lives in London with her boyfriend Everett. Boris reveals he had stolen The Goldfinch from Theo years prior and had used it as collateral to finance his criminal career, before it was then in turn stolen from him."
theo,reeve,"At Theo's and Kitsey's engagement party, Reeve arrives for a confrontation about the theft and loss of The Goldfinch."
boris,theo,"Seeking drugs at a bar, Boris reveals he had stolen The Goldfinch from Theo years prior and had used it as collateral to finance his criminal career, before it was then in turn stolen from him."
boris,criminals,Ambushes Theo and Boris with another pair of criminals. Boris kills one of them but is shot.
boris,goldfinch,"Boris suggests selling the Goldfinch, but Theo refuses"
xandra,theo,Xandra and Theo develop a relationship during their time in Amsterdam
boris,xandra,Boris disapproves of Xandra's influence on Theo
theo,pippa,Theo meets Pippa at a support group for survivors of tragedy
las vegas,theo,"Theo travels to Las Vegas with Boris's help, seeking closure after his mother's death"
xandra,boris,Xandra and Boris have a tumultuous relationship
theo,pippa,"Theo becomes close friends with Pippa, who helps him navigate his past traumas"
the goldfinch,toronto international film festival,"The Goldfinch premiered at the Toronto International Film Festival on September 8, 2019."
"september 13, 2019",cinemas in the united states,"The Goldfinch was released in cinemas in the United States on September 13, 2019."
hustlers,cinemas in the united states,"The Goldfinch was released alongside Hustlers in cinemas in the United States on September 13, 2019."
"october 11, 2019",initial release date for the goldfinch,"The initial release date for The Goldfinch was set for October 11, 2019."
around $45 million,production budget for the goldfinch,The production budget for The Goldfinch was around $45 million.
the goldfinch,box-office bomb,"After making just $2.6 million in its opening weekend and estimates being lowered to below $3 million, many publications have already labeled The Goldfinch a box-office bomb and estimated it would lose as much as $50 million."
the goldfinch,uninvolving disappointment,"The critical consensus on Rotten Tomatoes, which holds an approval rating of 25% based on 228 reviews, reads, 'Beautifully filmed yet mostly inert, The Goldfinch mishandles its source material, flattening a complex narrative into a largely uninvolving disappointment.'"
piece of fan art,enthusiasm,"The term 'piece of fan art' refers to a creative work produced by fans that shows their enthusiasm for a particular subject, which in this case is the book The Secret History by Donna Tartt. This enthusiasm can sometimes be indistinguishable from confusion, as suggested by the given context."
enthusiasm,confusion,"The term 'confusion' is often associated with the term 'enthusiasm', especially in situations where the enthusiasm seems misplaced or unclear, as implied by Peter Travers' description of the film adaptation of The Secret History as a 'botch job for the ages' that appears to be adapting the Cliff’s Notes version of the book instead of the book itself, producing an unplayable series of scene snippets."
book,screenplay,"The term 'book' refers to Donna Tartt's novel The Secret History, while the term 'screenplay' refers to a written version of a movie script. In this context, author Donna Tartt disowned the film adaptation of her book because she was not given the chance to write the screenplay herself and was not named as a producer."
donna tartt,producer,"The author Donna Tartt wanted to be named as a producer for the film adaptation of her book The Secret History, but this did not happen. This led to her disowning the film and firing her agent of more than 30 years, Amanda ‘Binky’ Urban."
