node_1,node_2,edge
lindsay lohan,aubrey fleming,"In the movie, Lindsay Lohan portrays the character Aubrey Fleming."
julia ormond,susan fleming,Julia Ormond plays the role of Susan Fleming in the movie.
neal mcdonough,daniel fleming,The character Daniel Fleming is portrayed by Neal McDonough in the movie.
brian geraghty,jerrod pointer,Brian Geraghty acts as Jerrod Pointer in the movie.
garcelle beauvais,agent julie bascome,The role of Agent Julie Bascome is essayed by Garcelle Beauvais in the movie.
spencer garrett,agent phil lazarus,Spencer Garrett portrays the character Agent Phil Lazarus in the movie.
gregory itzin,dr. greg jameson,The character Dr. Greg Jameson is played by Gregory Itzin in the movie.
jessica lee rose,marcia,Jessica Lee Rose essays the role of Marcia in the movie.
megan henning,anya,The character Anya is portrayed by Megan Henning in the movie.
bonnie aarons,fat teena,The character Fat Teena is acted by Bonnie Aarons in the movie.
kenya moore,jazmin,The role of Jazmin is played by Kenya Moore in the movie.
rodney rowland,kenny scalfe,Rodney Rowland enacts the character Kenny Scalfe in the movie.
thomas tofel,douglas norquist,The character Douglas Norquist is played by Thomas Tofel in the movie.
