node_1,node_2,edge
kelly clarkson,kelly taylor,"In this movie, Kelly Clarkson portrays the character of Kelly Taylor."
justin guarini,justin bell,Both Justin Guarini and Justin Bell are actors playing lead roles in this movie.
katherine bailess,alexa,"In this movie, Katherine Bailess acts as the character named Alexa."
anika noni rose,kaya,Anika Noni Rose performs the character of Kaya in this movie.
brian dietzen,eddie,The character Eddie is played by Brian Dietzen in this film.
greg siff,brandon,"In this movie, Greg Siff enacts the role of Brandon."
jason yribar,carlos,The character Carlos is portrayed by Jason Yribar in this film.
christopher bryan,luke,"In this movie, Christopher Bryan plays the part of Luke."
theresa san-nicholas,officer cutler,Theresa San-Nicholas depicts Officer Cutler in this movie.
justin gorence,greg,"Both Justin Gorence and Greg are characters in this film, portrayed by different actors."
kaitlin riley,ashley,The role of Ashley is played by Kaitlin Riley in this movie.
marc macaulay,mr. o'mara,"In this movie, Marc Macaulay acts as the character named Mr. O'Mara."
jessica sutta,nadine,The character Nadine is portrayed by Jessica Sutta in this movie.
zachary woodlee,featured dancer,"In this movie, Zachary Woodlee performs as one of the featured dancers."
robert hoffman,featured dancer,The other featured dancer in this movie is played by Robert Hoffman.
