node_1,node_2,edge
jason statham,farmer,Jason Statham portrays the character Farmer in this movie.
jason statham,camden konreid,"Jason Statham plays the role of Camden Konreid, another name for the character Farmer."
leelee sobieski,muriella,Leelee Sobieski acts as Muriella in this movie.
john rhys-davies,merick,John Rhys-Davies performs the character Merick in the film.
ron perlman,norick,Ron Perlman essays the part of Norick in this movie.
claire forlani,solana,Claire Forlani depicts Solana in the movie.
kristanna loken,elora,Kristanna Loken features as Elora in this motion picture.
matthew lillard,duke fallow,Matthew Lillard portrays Duke Fallow in the movie.
ray liotta,gallian,Ray Liotta depicts Gallian in this film.
burt reynolds,king konreid,Burt Reynolds performs the character King Konreid in the movie.
brian white,commander tarish,Brian White acts as Commander Tarish in this motion picture.
mike dopud,general backler,Mike Dopud depicts General Backler in the movie.
will sanderson,bastian,Will Sanderson portrays Bastian in this film.
tania saulnier,talwyn,Tania Saulnier performs the character Talwyn in the movie.
gabrielle rose,delinda,Gabrielle Rose depicts Delinda in this film.
terence kelly,trumaine,Terence Kelly acts as Trumaine in the movie.
colin ford,zeph,Colin Ford portrays Zeph in this motion picture.
