node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,count
kashmiri hindus,indian-administered kashmir,The film presents a fictional storyline centered around the 1990 exodus of Kashmiri Hindus from Indian-administered Kashmir.,957473e2f71a4697bcf136c2f414ccd7,,,,,,,,,4
1990 exodus,kashmiri hindus,The film depicts the exodus and the events leading up to it as a genocide.,957473e2f71a4697bcf136c2f414ccd7,,,,,,,,,4
benign,exodus,"After his grandfather's death, the student, who had come to believe at college that the exodus was benign, becomes driven to uncover the facts of his family's deaths.",957473e2f71a4697bcf136c2f414ccd7,,,,,,,,,4
kashmiri hindu college student,kashmiri hindu grandfather,"The plot follows a Kashmiri Hindu college student, raised by his exiled grandfather and shielded from the knowledge of the circumstances of the death of his parents.",957473e2f71a4697bcf136c2f414ccd7,,,,,,,,,4
present time,1990 exodus,"The plot alternates between the student's quest in the present time, 2020, and his family's travails of thirty years before.",957473e2f71a4697bcf136c2f414ccd7,,,,,,,,,4
kashmiri hindu students,benign viewpoint,"After his grandfather's death, the student, who had come to believe at college that the exodus was benign, becomes driven to uncover the facts of his family's deaths. The student, who had come to believe at college that the exodus was benign, believes that such facts were suppressed by a conspiracy of silence.",957473e2f71a4697bcf136c2f414ccd7,,,,,,,,,4
kashmiri hindu students,inaccurate viewpoint,"The film claims that such facts were suppressed by a conspiracy of silence. The plot follows a Kashmiri Hindu college student, raised by his exiled grandfather and shielded from the knowledge of the circumstances of the death of his parents. After his grandfather's death, the student, who had come to believe at college that the exodus was benign, becomes driven to uncover the facts of his family's deaths.",957473e2f71a4697bcf136c2f414ccd7,,,,,,,,,4
facts,conspiracy of silence,"The film claims that such facts were suppressed by a conspiracy of silence. After his grandfather's death, the student, who had come to believe at college that the exodus was benign, becomes driven to uncover the facts of his family's deaths. The student, who had come to believe at college that the exodus was benign, believes that such facts were suppressed by a conspiracy of silence.",957473e2f71a4697bcf136c2f414ccd7,,,,,,,,,4
mithun chakraborty,anupam kher,"The Kashmir Files stars Mithun Chakraborty, Anupam Kher, Darshan Kumar, and Pallavi Joshi.",957473e2f71a4697bcf136c2f414ccd7,,,,,,,,,4
the kashmir files,mixed reviews upon release,"Upon its release, the film received mixed reactions from critics.",edd339e48fa848f895ee55d148ad7e1a,,,,,,,,,4
the kashmir files,cinematography,The cinematography of the film has been praised by some critics.,edd339e48fa848f895ee55d148ad7e1a,,,,,,,,,4
the kashmir files,ensemble cast,The performances of the ensemble cast in the film have received praise from certain reviewers.,edd339e48fa848f895ee55d148ad7e1a,,,,,,,,,4
established history,attempting to recast,Some critics have accused the film of attempting to rewrite established history.,edd339e48fa848f895ee55d148ad7e1a,,,,,,,,,4
kashmir's history,overlooked aspect,Supporters of the film claim that it sheds light on an overlooked aspect of Kashmir's history.,edd339e48fa848f895ee55d148ad7e1a,,,,,,,,,4
the kashmir files,national integration,"At the 69th National Film Awards, The Kashmir Files won the award for Best Feature Film on National Integration.",edd339e48fa848f895ee55d148ad7e1a,,,,,,,,,4
the kashmir files,best supporting actress,"At the 69th National Film Awards, The Kashmir Files won the award for Best Supporting Actress (Joshi).",edd339e48fa848f895ee55d148ad7e1a,,,,,,,,,4
the kashmir files,flashbacks,The film frequently switches between the contemporary period set in the year 2020 and flashbacks to 1989–1990 throughout the movie.,edd339e48fa848f895ee55d148ad7e1a,,,,,,,,,4
68th filmfare awards,the kashmir files,"At the 68th Filmfare Awards, The Kashmir Files received seven nominations, including Best Film, Best Director (Agnihotri), Best Actor (Kher) and Best Supporting Actor (Kumar and Chakraborty).",edd339e48fa848f895ee55d148ad7e1a,,,,,,,,,4
pushkar,vishnu ram,Vishnu Ram takes Pushkar and his family to safety in Kaul's home.,db8afd52a5dc48d7a867eecbf0ac8827,,,,,,,,,4
kaul,pushkar,Kaul provides shelter for Pushkar and his family during their time of need.,db8afd52a5dc48d7a867eecbf0ac8827,,,,,,,,,4
militants,kaul,"Militants arrive at Kaul's home to pick him and his son up, eventually resulting in their deaths.",db8afd52a5dc48d7a867eecbf0ac8827,,,,,,,,,4
refugee pandits,jammu camps,The refugee Pandits from the Kashmir valley settle in Jammu and live on meagre ration and in poor conditions.,db8afd52a5dc48d7a867eecbf0ac8827,,,,,,,,,4
brahma,refugee pandits,Brahma is appointed as an advisor to the new Governor of J&K at the request of the refugee Pandits.,db8afd52a5dc48d7a867eecbf0ac8827,,,,,,,,,4
home minister,jammu camps,The Home Minister visits the Jammu camps where Pushkar demands the removal of Article 370 and the resettlement of Kashmiri Pandits.,db8afd52a5dc48d7a867eecbf0ac8827,,,,,,,,,4
sharda,new governor of j&k,Brahma manages to get Sharda a government job in Nadimarg at the request of the New Governor of J&K.,db8afd52a5dc48d7a867eecbf0ac8827,,,,,,,,,4
