node_1,node_2,edge,chunk_id,source,target,node_3,count
nayak,shankar,"Nayak is a 2001 Indian Hindi-language political action film co-written and directed by S. Shankar, who is commonly known as Nayak in the film industry.",92936f7a51dd4d19b9b278cfffe925c2,,,,4
anil kapoor,shivaji rao gaekwad,Anil Kapoor played the character of Shivaji Rao Gaekwad in the film Nayak.,92936f7a51dd4d19b9b278cfffe925c2,,,,4
rani mukerji,nayak's leading lady,Rani Mukerji played the female lead in the movie Nayak opposite Anil Kapoor.,92936f7a51dd4d19b9b278cfffe925c2,,,,4
amrish puri,balraj chauhan,"Amrish Puri portrayed the role of Balraj Chauhan, the Chief Minister of Maharashtra in Nayak.",92936f7a51dd4d19b9b278cfffe925c2,,,,4
paresh rawal,politician,Paresh Rawal appeared as a politician in Nayak.,92936f7a51dd4d19b9b278cfffe925c2,,,,4
johnny lever,comedian,Johnny Lever played the role of a comedian in Nayak.,92936f7a51dd4d19b9b278cfffe925c2,,,,4
mudhalvan,tamil-language film,"Nayak is a Hindi remake of the Tamil-language film Mudhalvan, directed by S. Shankar.",92936f7a51dd4d19b9b278cfffe925c2,,,,4
anand bakshi,lyricist,Anand Bakshi wrote the lyrics for Nayak's soundtrack composed by A. R. Rahman.,92936f7a51dd4d19b9b278cfffe925c2,,,,4
sri surya movies,production banner,Nayak was produced under the Sri Surya Movies banner.,92936f7a51dd4d19b9b278cfffe925c2,,,,4
"september 7, 2001",release date,"Nayak was released on September 7, 2001.",92936f7a51dd4d19b9b278cfffe925c2,,,,4
nayak,cult classic,"Although Nayak was unsuccessful at the box office, it later gained significant popularity on television and has since become a cult classic.",96fc1363289446ca9965a82124790bb1,,,,4
balraj chauhan,indifferent stand,during which the Chief Minister of Maharashtra Balraj Chauhan takes an indifferent stand,96fc1363289446ca9965a82124790bb1,,,,4
chief minister of maharashtra balraj chauhan,takes an indifferent stand,so as not to lose his voter base,96fc1363289446ca9965a82124790bb1,,,,4
shivaji,bansal,"Assisted by Bansal, Shivaji handles issues that affect the populace every day.",85d4532b3cce4f6f8245f9c2b1e86c39,,,,4
