Question,Answer,LLAMA_response
"[""In the 2016 movie 'Moonlight', does the character 'Little' have a conflict with 'Juan'?""]",no,no
"[""In the plot of the 2016 movie 'Moonlight', does 'Juan' take care of 'Little' and teach him the basics of life?""]",yes,no
"[""Is the character 'Little' in the 2016 movie 'Moonlight' not neglected by his mother 'Paula' who is addicted to crack?""]",no,yes
"[""In the 2016 movie 'Moonlight', does Paula, Little's mother, imply that Little gets tormented by his peers because of 'the way he walks'?""]",yes,yes
"[""In the 2016 movie 'Moonlight', is the character 'Little' known by a different name, specifically 'Chiron'?""]",yes,yes
"[""In the 2016 movie 'Moonlight', is the character 'Chiron' never referred to as 'Little'?""]",no,yes
"[""In the 2016 movie 'Moonlight', did Juan leave Little alone overnight without any supervision?""]",no,no
"[""In the 2016 movie 'Moonlight', did Juan let Little spend the night with him and his girlfriend Teresa?""]",yes,no
"[""In the 2016 movie 'Moonlight', does Chiron spend time with Teresa after Juan's death?""]",yes,yes
"[""In the 2016 movie 'Moonlight', does Teresa die before Chiron gets a chance to spend time with her?""]",no,yes
"[""In the 2016 movie 'Moonlight', does Chiron willingly give his money to Paula?""]",no,no
"[""In the 2016 film 'Moonlight', does Paula force Chiron to give her the money he receives from Teresa due to her worsening addiction?""]",yes,no
"[""In the 2016 movie 'Moonlight', does Chiron's childhood friend Kevin get detention for being caught having sex with a girl in a school cafeteria?""]",no,no
"[""In the 2016 movie 'Moonlight', is Kevin a childhood friend of Chiron who tells him about a detention he received for being caught having sex with a girl in a school stairwell?""]",yes,yes
"[""In the 2016 movie 'Moonlight', does Terrel support Chiron and prevent Kevin from participating in a hazing ritual against him?""]",no,no
"[""In the 2016 movie 'Moonlight', does Terrel manipulate Kevin into participating in a hazing ritual against Chiron?""]",yes,yes
"[""Did Kevin and Chiron have their first sexual encounter at a location other than the beach near Chiron's house in the 2016 movie 'Moonlight'?""]",no,yes
"[""In the 2016 movie 'Moonlight', did Kevin visit Chiron at the beach near his house and share a kiss with him before they went all the way, sexually?""]",yes,no
"[""In the 2016 movie 'Moonlight', did Terrel and other boys show kindness to Chiron during a hazing ritual?""]",no,yes
"[""Did a character named Terrel, along with other boys, savagely attack Chiron during a hazing ritual in the movie 'Moonlight' released in 2016?""]",yes,yes
"[""In the 2016 movie 'Moonlight', does Chiron agree to reveal the identities of his attackers when urged by the principal?""]",no,no
"[""Does the principal in the 2016 film 'Moonlight' urge Chiron to reveal his attackers' identities?""]",yes,no
"[""In the 2016 movie 'Moonlight', is Black a younger version of the character Chiron?""]",no,yes
"[""Does Black, who is an adult version of Chiron, deal drugs in Atlanta in the 2016 movie 'Moonlight'?""]",yes,yes
"[""In the 2016 movie 'Moonlight', did Paula never ask Chiron to visit her at the drug treatment center where she is living?""]",no,no
"[""In the 2016 movie 'Moonlight', does Paula ask Chiron to visit her at the drug treatment center where she is living?""]",yes,yes
"""In the 2016 movie 'Moonlight', does Kevin invite Chiron to see him in New York?""",no,yes
"""In the 2016 movie 'Moonlight', does Kevin invite Chiron to see him in Miami?""",yes,yes
"[""In the 2016 movie 'Moonlight', does Chiron's mother never express her love towards him?""]",no,yes
"[""In 'Moonlight' released in 2016, does Chiron's mother apologize for not loving him when he needed it most?""]",yes,yes
"[""In the 2016 movie 'Moonlight', does Kevin play a song other than 'Hello Stranger' by Barbara Lewis on the jukebox?""]",no,yes
"[""In the movie 'Moonlight', released in 2016, does Kevin play 'Hello Stranger' by Barbara Lewis on the jukebox because it made him think of Chiron?""]",yes,yes
,,0.5625
