Question,Answer,LLAMA_response
"[""Did the movie 'The Social Network' from 2010 fail to win the Best Motion Picture – Drama at the 68th Golden Globe Awards?""]",no,yes
"[""Did the movie 'The Social Network' released in 2010 win the Best Motion Picture – Drama Golden Globe at the 68th Golden Globe Awards?""]",yes,yes
"[""Did Eisenberg fail to receive a nomination for Best Actor in a Leading Role for his work in 'The Social Network' in 2010?""]",no,no
"[""Was Eisenberg nominated for Best Actor in a Leading Role at the 68th Golden Globe Awards for his role in 'The Social Network' released in 2010?""]",yes,yes
"[""Did the movie 'The Social Network', released in 2010, fail to receive a nomination for Best Actor in a Supporting Role (Garfield) at the 68th Golden Globe Awards on January 16, 2011?""]",no,yes
"[""Was the film 'The Social Network', which came out in 2010, nominated for Best Actor in a Supporting Role (Garfield) at the 68th Golden Globe Awards on January 16, 2011?""]",yes,yes
"[""Did the movie 'The Social Network' from 2010 fail to get a nomination for the Rising Star Award (Garfield) at the 68th Golden Globe Awards?""]",no,yes
"[""Was the actor Garfield from the 2010 movie 'The Social Network' nominated for the Rising Star Award at the 68th Golden Globe Awards?""]",yes,yes
"""Did the movie 'The Social Network' from 2010 fail to win Best Picture from the National Board of Review?""",no,yes
"""Did the movie 'The Social Network' from 2010 win Best Picture from the National Board of Review?""",yes,yes
"""Did 'The Social Network' fail to win the Best Picture award from the National Society of Film Critics in 2010?""",no,yes
"""Did 'The Social Network', released in 2010, win the Best Picture award from the National Society of Film Critics?""",yes,yes
"""Did 'The Social Network' fail to win the Best Picture award from the New York Film Critics Circle in 2010?""",no,yes
"""Did 'The Social Network', released in 2010, win the Best Picture award from the New York Film Critics Circle?""",yes,yes
"""Did the film 'The Social Network' from 2010 fail to win the Best Picture from the Los Angeles Film Critics Association?""",no,yes
"""Did the movie 'The Social Network' released in 2010 win the Best Picture award from the Los Angeles Film Critics Association?""",yes,yes
,,0.5625
