Question,Answer,LLAMA_response
"""Did the creators of the 2017 movie 'Logan' adhere to typical superhero movie assumptions?""",no,yes
"""Was freeing themselves from assumptions a requirement for the creators of the 2017 movie 'Logan' to create a new kind of superhero movie?""",yes,yes
"[""Did the 2017 movie 'Logan' ignore the need to make a superhero movie that speaks to the culture now, and just followed the same style or format?""]",no,yes
"[""Was the 2017 film 'Logan' created with the intent to make a superhero movie that speaks to the culture at that time, rather than merely following the same style or format?""]",yes,yes
"""Does the 2017 film 'Logan' deviate from the 'same style' of superhero movies?""",yes,yes
"""Did the 2017 film 'Logan' follow the 'same style' as all other superhero movies?""",no,yes
"""Did the 2017 movie 'Logan' revolve around the question of how many times a superhero can save the world in one way or another?""",yes,yes
"""In the 2017 movie 'Logan', was the central theme unrelated to how many times a superhero can save the world?""",no,yes
"""Did the production of the 2017 movie 'Logan' stick with the same tone that has traditionally existed in superhero movies?""",no,yes
"""Did the 2017 movie 'Logan' attempt to change the traditional tone of superhero movies, freeing themselves from past assumptions?""",yes,yes
"""Did Hugh Jackman confirm his reprisal of Logan in the 2017 film 'Logan'?""",no,yes
"""Was Hugh Jackman associated with the character Logan in the 2017 movie 'Logan'?""",yes,yes
"[""Did Patrick Stewart not portray the character of Charles Xavier in the 2017 movie 'Logan'?""]",no,yes
"[""In the 2017 movie 'Logan', was there a discussion about a possible team-up between Charles Xavier and Logan, featuring Patrick Stewart's portrayal of the former?""]",yes,yes
"""Did Patrick Stewart play the role of Charles Xavier in the 2017 X-Men movie 'Logan'?""",yes,yes
"""Was the 2017 movie 'Logan' the first time Patrick Stewart played the role of Charles Xavier in X-Men movies?""",no,yes
"[""Is 'Logan', released in 2017, similar to the previous four X-Men movies?""]",no,yes
"[""Is 'Logan', a 2017 release, considered a part of the X-Men movie series?""]",yes,yes
"[""Did Michael Green take over the screenwriting duties for the movie 'Logan' released in 2017?""]",yes,yes
"[""Was the script for the 2017 movie 'Logan' developed without any oversight from Mangold after Michael Green took over the screenwriting duties?""]",no,yes
"[""Was Mark Millar not involved as a creative consultant for Fox in the 2017 movie 'Logan'?""]",no,yes
"[""Did Mark Millar, as a creative consultant for Fox, confirm in September 2015 that Mangold's film 'Logan' released in 2017 would be a loose adaptation of the 'Old Man Logan' story he had written in 2008?""]",yes,yes
"""Did Liev Schreiber play the role of Victor Creed / Sabretooth in the 2017 movie Logan?""",no,no
