Question,Answer,LLAMA_response
"""In the 2011 film 'Harry Potter and the Deathly Hallows – Part 2', was the character of Professor Minerva McGonagall played by an actress other than Maggie Smith?""",no,yes
"""Did Maggie Smith portray the character of Professor Minerva McGonagall in the 2011 film 'Harry Potter and the Deathly Hallows – Part 2'?""",yes,yes
"""Did David Thewlis portray the character Remus Lupin in the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2'?""",yes,yes
"""In the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2', was Remus Lupin portrayed by an actor other than David Thewlis?""",no,yes
"""In the 2011 film 'Harry Potter and the Deathly Hallows – Part 2', was the character of Molly Weasley played by an actress other than Julie Walters?""",no,yes
"""Did Julie Walters portray the character Molly Weasley, the Weasley matriarch, in the 2011 film 'Harry Potter and the Deathly Hallows – Part 2'?""",yes,yes
"[""Did Tom Felton portray a character other than Draco Malfoy in the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2'?""]",no,yes
"[""In the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2', did Tom Felton portray the character Draco Malfoy?""]",yes,yes
"[""Was the character Ginny Weasley in the movie 'Harry Potter and the Deathly Hallows – Part 2' released in 2011 portrayed by an actress other than Bonnie Wright?""]",no,yes
"[""Did Bonnie Wright portray the character Ginny Weasley in the movie 'Harry Potter and the Deathly Hallows – Part 2' released in 2011?""]",yes,yes
"""In the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2', was the character Neville Longbottom played by an actor named Robert Pattinson, not Matthew Lewis?""",no,yes
"""In 'Harry Potter and the Deathly Hallows – Part 2', released in 2011, did Matthew Lewis portray the character Neville Longbottom, a schoolfriend and strong supporter of Harry Potter?""",yes,yes
"[""Is it true that in the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2', the character Luna Lovegood was not portrayed by Evanna Lynch?""]",no,yes
"[""In the movie 'Harry Potter and the Deathly Hallows – Part 2' released in 2011, did Evanna Lynch portray the character of Luna Lovegood?""]",yes,yes
"[""Did Sean Biggerstaff not play the role of Oliver Wood in the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2'?""]",no,yes
"[""Did Sean Biggerstaff reprise his role as Oliver Wood from previous Harry Potter films in the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2'?""]",yes,yes
"[""Did Jim Broadbent not reprise his role as Horace Slughorn in the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2'?""]",no,no
"[""In the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2', did Jim Broadbent reprise his role as Horace Slughorn from previous Harry Potter films?""]",yes,yes
"[""Was Gemma Jones replaced by another actress for the role of Poppy Pomfrey in the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2'?""]",no,yes
"[""Did Gemma Jones reprise her role as Poppy Pomfrey from previous Harry Potter films in 'Harry Potter and the Deathly Hallows – Part 2', released in 2011?""]",yes,yes
"[""Did Miriam Margolyes not reprise her role as Pomona Sprout in the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2'?""]",no,yes
"[""Did Miriam Margolyes reprise her role as Pomona Sprout from previous Harry Potter films in the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2'?""]",yes,yes
"""In the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2', did Emma Thompson not play the role of Sybill Trelawney?""",no,yes
"""In the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2', did Emma Thompson reprise her role as Sybill Trelawney from previous Harry Potter films?""",yes,yes
"""In the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2', was Aberforth Dumbledore, Albus Dumbledore's brother, portrayed by an actor other than Ciarán Hinds?""",no,yes
"""Did Ciarán Hinds take on the role of Aberforth Dumbledore, Albus Dumbledore's brother, in the 2011 movie 'Harry Potter and the Deathly Hallows – Part 2'?""",yes,yes
"[""Was the sequence featuring Radcliffe and Grint in the movie 'Harry Potter and the Deathly Hallows – Part 2' released in 2011 re-shot because they looked too old in their initial appearances?""]",yes,yes
"[""Did Watson's aged appearance in the movie 'Harry Potter and the Deathly Hallows – Part 2' released in 2011 receive criticism from fans for looking too old?""]",no,yes
,,0.5357142857142857
