Question,Answer,LLAMA_response
"""Did Dev Patel portray a character named Jamal Malik in the 2008 movie Slumdog Millionaire?""",yes,yes
"""In the 2008 movie Slumdog Millionaire, was Dev Patel's character, Jamal Malik, a wealthy businessman from New York?""",no,yes
"""In the 2008 movie 'Slumdog Millionaire', was the character Latika portrayed by an actress other than Freida Pinto?""",no,yes
"""Did Freida Pinto portray the character Latika in the 2008 film 'Slumdog Millionaire'?""",yes,yes
"[""Did Madhur Mittal portray Jamal Malik in the 2008 movie Slumdog Millionaire?""]",no,yes
"[""In the 2008 film Slumdog Millionaire, did Madhur Mittal portray the character Salim Malik, who is Jamal's elder brother?""]",yes,yes
"""In the 2008 movie 'Slumdog Millionaire', was the role of Prem Kumar played by Shah Rukh Khan?""",no,yes
"""In 'Slumdog Millionaire' released in 2008, was the character of the game show host, Prem Kumar, portrayed by Anil Kapoor?""",yes,yes
"[""Did Irrfan Khan play the role of a doctor in the 2008 movie Slumdog Millionaire?""]",no,yes
"[""In the movie Slumdog Millionaire released in 2008, does Irrfan Khan portray the character of a Police Inspector?""]",yes,yes
"[""In the 2008 movie 'Slumdog Millionaire', was Saurabh Shukla cast as a character other than Police Constable Srinivas?""]",no,yes
"[""Did Saurabh Shukla portray the character of Police Constable Srinivas in the 2008 movie 'Slumdog Millionaire'?""]",yes,yes
"[""Was the character Javed Khan in the 2008 film 'Slumdog Millionaire' portrayed by an actor other than Mahesh Manjrekar?""]",no,yes
"[""In the 2008 movie 'Slumdog Millionaire', did Mahesh Manjrekar play the role of the crime boss, Javed Khan?""]",yes,yes
"[""Was Irrfan Khan not part of the cast in the 2008 movie Slumdog Millionaire?""]",no,yes
"[""In the 2008 movie Slumdog Millionaire, did Irrfan Khan and Saurabh Shukla play the roles of a Police Inspector and Police Constable, respectively?""]",yes,yes
"""In the 2008 movie 'Slumdog Millionaire', did Irrfan Khan play the role of a school teacher?""",no,yes
"""In 'Slumdog Millionaire', released in 2008, is the character of Javed Khan, played by Mahesh Manjrekar, under constant watch by the police department?""",yes,yes
"""In the 2008 movie 'Slumdog Millionaire', did Ankur Vikal play the role of a school teacher?""",no,yes
"""In 'Slumdog Millionaire', released in 2008, are the characters of Ankur Vikal and Mahesh Manjrekar associated with criminal activities?""",yes,yes
"""Did Rajendranath Zutshi play the role of a police inspector in the 2008 movie Slumdog Millionaire?""",no,yes
"""In the 2008 movie 'Slumdog Millionaire', did the characters played by Rajendranath Zutshi and Irrfan Khan have a relationship where the police department sometimes works in collaboration with wealthy individuals to catch criminals?""",yes,yes
"""In the 2008 movie 'Slumdog Millionaire', did Mia Drake Inderbitzin play the role of a Police Inspector?""",no,no
"""In 'Slumdog Millionaire' released in 2008, was Irrfan Khan's character related to Mia Drake Inderbitzin's character in the context of crime?""",yes,yes
"""In the 2008 movie 'Slumdog Millionaire', did Irrfan Khan play the role of a blind beggar?""",no,yes
"""In 'Slumdog Millionaire', released in 2008, did Siddhesh Patil's character, Arvind, have any interaction with Irrfan Khan's character, the Police Inspector?""",yes,yes
"[""Did Irrfan Khan play the role of a Police Inspector in the 2008 movie Slumdog Millionaire?""]",yes,yes
"[""In the movie Slumdog Millionaire released in 2008, did Shruti Seth play the role of a criminal targeting call center employees?""]",no,yes
"""In the 2008 film 'Slumdog Millionaire', did Arfi Lamba and Anjum Sharma play characters that were not involved in a call center?""",no,yes
"""In the movie 'Slumdog Millionaire' released in 2008, did Arfi Lamba play the role of Bardi and Anjum Sharma played the role of a call center operator?""",yes,no
,,0.5
