Question,Answer
Did Sonakshi Sinha have a leading role in the film that is a remake of S. S. Rajamouli's Telugu film Maryada Ramanna?,Yes.
Is 'Maryada Ramanna' a remake of 'Son of Sardaar'?,No
Is 'Maryade Ramanna' a remake of 'S. S. Rajamouli's Maryada Ramanna'?,Yes.
Is 'Faande Poriya Boga Kaande Re' a remake of 'S. S. Rajamouli's Maryada Ramanna'?,Yes.
Did Ajay Devgn star in a remake of S. S. Rajamouli's film?,No
Is 's. s. rajamouli's maryada ramanna' considered a family entertainer?,No
Do comic sequences play a significant role in *Son of Sardaar*?,Yes
Is *Maryada Ramanna* a remake of a film that is considered a masala movie?,Yes.
Did the North Indian audiences enjoy the film *Son of Sardaar*?,Yes.
Does *Son of Sardaar* appeal to the masses?,Yes.
Is *Son of Sardaar* a comedy film?,Yes
Does *Son of Sardaar* have a high level of entertainment value?,No
Does *Son of Sardaar* have flaws according to critics?,Yes.
Did *s. s. rajamouli's maryada ramanna* perform well at the box office?,No.
Was the reception of *Son of Sardaar* generally positive?,No
Did *Son of Sardaar* gross more than $6 million in its opening days?,No.
Did *Son of Sardaar* gross $9.9 million?,Yes.
Did *Son of Sardaar* gross more than $10 million?,Yes.
Did *Son of Sardaar* achieve significant financial success overseas?,Yes.
Did *Son of Sardaar* gross $2 million in a week?,Yes.
Did *Son of Sardaar* earn a distributor share of 75 crore?,Yes.
Does the album 'Son of Sardaar' include elements of Punjabi influence?,Yes
"Did Ajay Devgn star in a film that was released on November 13, 2012?",Yes.
"Did Sanjay Dutt play a significant role in the film released on november 13, 2012?",Yes.
"Did Sonakshi Sinha star in the film that was released on November 13, 2012?",Yes
"Did Juhi Chawla star in the film released on November 13, 2012?",Yes.
Is 'Maryada Ramanna' a remake of 'Son of Sardaar'?,No.
"Is *Maryade Ramanna* a film that was released on November 13, 2012?",No.
Is 'Faande Poriyan Boga Kaande Re' a remake of 'Son of Sardaar'?,Yes.
"Did Ajay Devgn star in a film released on November 13, 2012?",Yes.
Is 'Son of Sardaar' a family entertainer?,Yes.
Do the comic sequences in *Son of Sardaar* contribute positively to its overall enjoyment?,Yes.
Did the film *Son of Sardaar* appeal to North Indian audiences in particular?,Yes.
Does the release date of *Son of Sardaar* suggest it is a highly entertaining film?,No.
Does the release date of *Son of Sardaar* indicate that it was released in 2012?,Yes.
"Did the movie *Son of Sardaar* perform well at the box office after its release on November 13, 2012?",Yes.
Did *Son of Sardaar* receive a positive reception?,No.
"Did *Son of Sardaar* gross $13 million within four weeks of its release on November 13, 2012?",Yes.
Did the movie *Son of Sardaar* earn around $3 million overseas?,Yes.
"Did the movie *Son of Sardaar* gross $2 million shortly after its release on November 13, 2012?",Yes.
Does the album Son of Sardaar include elements of Punjabi 'tadka'?,Yes
Did Sanjay Dutt play a role in the film produced by Divya Khosla Kumar?,Yes.
Did Sonakshi Sinha play a significant role in the film produced by Divya Khosla Kumar?,Yes.
Did Juhi Chawla have a starring role in a film produced by Divya Khosla Kumar?,Yes.
