Question,Answer
"Did Director John McTiernan appreciate the first draft of the script for ""Rollerball 2002"" because it focused heavily on social commentary?",no
"Did Director John McTiernan think that the audience of ""Rollerball 2002"" would prefer to see more of the Rollerball scenes?",yes
"Did the first cut of ""Rollerball 2002"" receive positive feedback from the test audiences?",no
"Was the first cut of ""Rollerball 2002"" screened for test audiences?",yes
"Did MGM push the release date of ""Rollerball 2002"" from July to May 2001 to test the movie again?",no
"Did MGM push the release date of ""Rollerball 2002"" from May to July 13, 2001 to test the movie again?",yes
"""In the production of Rollerball 2002, was the name of the main character never changed from Jonathan E. to Jonathan Cross?""",no
"""During the production of Rollerball 2002, was the name of the main character changed from Jonathan E. to Jonathan Cross?""",yes
"[""Did director John McTiernan invite Harry Knowles for a test screening of the film Rollerball 2002 in Texas?""]",no
"[""Was John McTiernan involved in the production of the film Rollerball 2002?""]",yes
"Did Harry Knowles praise the original cut of ""Rollerball 2002"" after watching a test screening?",no
"Did Harry Knowles watch a test screening of John McTiernan's original cut of ""Rollerball 2002""?",yes
"""Did Harry Knowles praise the Rollerball 2002 edit as one of the best films he had ever seen?""",no
"""Did Harry Knowles witness jeering in the theater during his screening of Rollerball 2002 edit?""",yes
"Did Jonathan express his intention to quit the rollerball game in the original ending of ""Rollerball 2002""?",no
"In the original ending of ""Rollerball 2002"", does Jonathan express his intention to continue playing the rollerball game and become part owner of it?",yes
"""In the movie 'Rollerball 2002', does Petrovich survive in the original ending?""",no
"""In the original ending of 'Rollerball 2002', is Petrovich killed by Sanjay?""",yes
Did Aurora leave Jonathan behind in the original ending of Rollerball 2002?,no
"In the original ending of Rollerball 2002, does Aurora fly back to the US with Jonathan?",yes
Did Petrovich kill Sanjay in the original ending of Rollerball 2002?,no
"In the original ending of Rollerball 2002, did Sanjay kill Petrovich?",yes
