Question,Answer
"Did Rancho have a friendly relationship with Dr. Viru Sahastrabuddhe in the movie ""3 Idiots"" released in 2009?",NO
"Did Rancho clash with Dr. Viru Sahastrabuddhe due to intense pressure on students in the movie ""3 Idiots"" released in 2009?",YES
"Did Rancho attend a wedding party with Farhan Qureshi in the movie ""3 Idiots"" released in 2009?",NO
"Did Rancho crash a wedding party with Farhan Qureshi in the movie ""3 Idiots"" released in 2009?",YES
"Did Rancho help Pia realize her love for Suhas in the movie ""3 Idiots"" released in 2009?",NO
"Did Rancho expose Pia's materialistic fiancé Suhas, leading to their breakup in the movie ""3 Idiots"" released in 2009?",YES
"Did Raju’s father survive the heart attack before the final exams in the movie ""3 Idiots"" released in 2009?",NO
"Is Raju’s father a significant character in the movie ""3 Idiots"" released in 2009?",YES
Did Raju's father have a heart attack after the final exams in the movie 3 Idiots released in 2009?,NO
Did Raju's father have a heart attack before the final exams in the movie 3 Idiots released in 2009?,YES
"Did Raju die in the movie ""3 Idiots"" released in 2009?",NO
"Does Raju become paralyzed after his suicide attempt in the movie ""3 Idiots"" released in 2009?",YES
"Did Raju fail to get a job in the movie ""3 Idiots"" released in 2009?",NO
"Did Raju succeed in the interview and get a job in the movie ""3 Idiots"" released in 2009?",YES
"In the movie ""3 Idiots"" released in 2009, does Raju successfully get expelled from college due to his suicide attempt?",NO
"In the movie ""3 Idiots"" released in 2009, does Virus revoke Raju's expulsion after his suicide attempt?",YES
"Does Raju cheat during the exam in the movie ""3 Idiots"" released in 2009?",NO
"Is Raju paralyzed in any way in the movie ""3 Idiots"" released in 2009?",YES
"In the movie ""3 Idiots"" released in 2009, does Virus help Raju succeed in his job claim?",NO
"In the movie ""3 Idiots"" released in 2009, does Virus set a difficult exam to fail Raju?",YES
"In the movie ""3 Idiots"" released in 2009, does Raju successfully get expelled from college due to his suicide attempt?",NO
"In the movie ""3 Idiots"" released in 2009, does Virus revoke Raju's expulsion after his suicide attempt?",YES
"Did Raju remain uninjured after his suicide attempt in the movie ""3 Idiots"" released in 2009?",NO
"Does Raju become paralyzed after his suicide attempt in the movie ""3 Idiots"" released in 2009?",YES
"In the movie ""3 Idiots"" released in 2009, does Raju cheat on the exam after stealing the paper with Rancho and Farhan?",NO
"In the movie ""3 Idiots"" released in 2009, does Raju refuse to cheat and throw away the exam paper?",YES
"Did Farhan's father prevent him from pursuing photography in the movie ""3 Idiots"" released in 2009?",NO
"Did Farhan's father support his decision to become a photographer in the movie ""3 Idiots"" released in 2009?",YES
"Is Rancho a different person from Phunsukh Wangdu in the movie ""3 Idiots"" released in 2009?",NO
"Are Rancho and Phunsukh Wangdu the same person in the movie ""3 Idiots"" released in 2009?",YES
"Did Chhote take Rancho's place to get an education in the movie ""3 Idiots"" released in 2009?",NO
"Is it true that Chhote took Rancho's place to earn a degree for him in the movie ""3 Idiots"" released in 2009?",YES
"In the movie ""3 Idiots"" released in 2009, does Pia confront her older sister Mona about their brother's success?",NO
"In the movie ""3 Idiots"" released in 2009, does Pia confront her older sister Mona about their brother's suicide?",YES
"In the movie ""3 Idiots"", released in 2009, does Mona hold a grudge against Virus for expelling the trio and revealing her brother's suicide note?",NO
"In the movie ""3 Idiots"", released in 2009, does Mona forgive Virus for expelling the trio and revealing her brother's suicide note?",YES
"In the movie 3 Idiots released in 2009, do Rancho and Farhan remain in one location throughout the film?",NO
"In the movie 3 Idiots released in 2009, do the friends search for Rancho in Ladakh with Farhan's help?",YES
"In the movie ""3 Idiots"", released in 2009, does Chatur successfully mock Rancho without facing any consequences?",NO
"In the movie ""3 Idiots"", released in 2009, does Chatur eventually learn the truth about Rancho?",YES
