node_1,node_2,edge,chunk_id,node_3,edge_1,count
religion,islam,"The speaker has an open-minded and non-prejudicial attitude towards religion, and specifically mentions Islam as a religion that is being unfairly associated with terrorism. This suggests a relationship between religion and Islam, where religion represents a broader category and Islam falls under it.",dc7e786293514c32b9a2bbeafda62377,,,4
millions of people,muslims,"The speaker acknowledges the existence of millions of Muslims around the world who are suffering due to misconceptions about their religion. This indicates a relationship between 'millions of people' and 'Muslims', where 'millions of people' is a larger group that includes 'Muslims'.",dc7e786293514c32b9a2bbeafda62377,,,4
terrorism,islam,"The speaker distinguishes between Islam and terrorism, implying a relationship where 'Islam' is not inherently linked to 'terrorism'. However, the broader context of the conversation suggests that there may be political reasons for this association, indicating a more complex relationship between 'Islam' and 'terrorism'.",dc7e786293514c32b9a2bbeafda62377,,,4
my name is khan,islam,"Karan Johar, the director of My Name Is Khan, chose to depict Islam as a main topic of discussion in the movie because he felt there is an international unawareness and negative generalization towards the religion. While himself belonging not to the religion, he called himself educated and open-minded enough to understand that misconceptions against Islam exist. As a filmmaker, Johar wanted to communicate with his audience of his message, which is 'correcting the world's misconceptions about Islam', in an emotional, yet effective, manner.",455bdd88b8cf4d7d9ac3b8239f6a3f2b,,,4
karan johar,non-romantic films,"Having worked on a number of romantic dramas and consequently became known for these, Karan Johar desired to experiment with a new genre. He wanted it to be one that would attract critical and commercial success, as well as help prove his ability of making non-romantic films to his audience.",455bdd88b8cf4d7d9ac3b8239f6a3f2b,,,4
my name is khan,spirit of the film and story,Johar decided upon the title based on gut feeling to bring forth the spirit and story he wanted to tell. Everything was decided in true earnest.,a53d2c7f78434802b58798a90e1becff,,,4
khan,my name is khan,The right title of the film was 'My Name Is Khan' as it included the lead character's name.,a53d2c7f78434802b58798a90e1becff,,,4
"danville, california",banville,"The fictional town Banville in the movie was inspired by Danville, California where the writer Shibani Bathija stayed while finishing her communication study.",a53d2c7f78434802b58798a90e1becff,,,4
san francisco bay area,story setting,The story is set in the San Francisco Bay Area due to Shibani Bathija's familiarity with the place during her communication study.,a53d2c7f78434802b58798a90e1becff,,,4
muslim character,lead character,Karan Johar suggested having a Muslim lead character.,a53d2c7f78434802b58798a90e1becff,,,4
