node_1,node_2,edge,chunk_id,edge_type,count
partition of punjab,migration from pakistan towards east punjab in india,radical Muslims attacked migrants,7d1729c4ecb74e0985f8abfc4a58ab31,,4
radical muslims,migrants from pakistan towards east punjab in india,attacked,7d1729c4ecb74e0985f8abfc4a58ab31,,4
radical hindus and sikhs,muslims migrating from india by train to west punjab in pakistan,attacked,7d1729c4ecb74e0985f8abfc4a58ab31,,4
tara singh,sakina ali,college friend,7d1729c4ecb74e0985f8abfc4a58ab31,,4
tara singh,little taj mahal antique,recognized in Sakina's hands,7d1729c4ecb74e0985f8abfc4a58ab31,,4
tara singh,mob chasing sakina,saved and protected from,7d1729c4ecb74e0985f8abfc4a58ab31,,4
sakina ali,taj mahal antique,carried by her during migration,7d1729c4ecb74e0985f8abfc4a58ab31,,4
sakina ali,train with family members,unable to get onto due to being lost in the crowd,7d1729c4ecb74e0985f8abfc4a58ab31,,4
tara singh,sakina ali,marriage (Sindoor applied),7d1729c4ecb74e0985f8abfc4a58ab31,,4
partition of punjab,hindu-muslim riots,erupted soon after,7d1729c4ecb74e0985f8abfc4a58ab31,,4
tara,singing,Pre-1947: Tara's real ambition is to become a singer,87fc0fab0edd426fb14a42a61ac7b42c,,4
sakina,friends,Pre-1947: Tara's real friends are Sakina's friends who fooled Tara into thinking that they got him a spot on their college's music show in return for a favor,87fc0fab0edd426fb14a42a61ac7b42c,,4
sakina,music teacher,Tara performs badly in front of Sakina's friends who posed as the music teacher at the college,87fc0fab0edd426fb14a42a61ac7b42c,,4
tablets,helps tara to prove his singing skills,"Later, Tara finds that Sakina is not the real music teacher, which saddens him. When performing on the music show, Sakina announces that she will not do her act and instead gives a chance for Tara to sing despite being against the seniors' will at the college. Tara impresses everybody with his talent with the help of tablets given by his friends.",87fc0fab0edd426fb14a42a61ac7b42c,,4
taj mahal antique,farewell present,"While returning home after completing the final year, Tara gives Sakina a Taj Mahal antique as a farewell present.",87fc0fab0edd426fb14a42a61ac7b42c,,4
tara's parents jaideep singh and parmeet kaur,"gul khan, tara's muslim friend","requested Tara's family to stay with him as his parents love both friends equally, but Tara's parents and sisters disagreed.",858870d8dfa64b46aa52a1773ed84ec1,,4
tara's sisters,muslim attackers,"hastily tried to eat poison, but two men threw it from their hands and killed them after cruel physical abuse.",858870d8dfa64b46aa52a1773ed84ec1,,4
hindus and sikhs waiting to pick up their relatives at the station,train full of dead bodies of hindus and sikhs,saw that their relatives were slaughtered inside the train.,858870d8dfa64b46aa52a1773ed84ec1,,4
hindus and sikhs forming a strong squad in east punjab,tara and the squad,retaliated in the same manner along with Tara and massacred every Muslim in Amritsar station trying to flee to Pakistan.,858870d8dfa64b46aa52a1773ed84ec1,,4
tara,sakina,"Romantic relationship between Tara and Sakina, starting from their house where Sakina learns about her parents' demise and begins living with Tara's family to avoid being a burden. Their relationship becomes apparent when Sakina proposes to Tara at the border and they get married, having a child together.",fffc41427f4a43a0927af3c6b4a3b5b8,,4
tara,aunt,"Disapproval by Tara's aunt towards their relationship, as she comments on how society is reacting to Tara keeping a Muslim woman in her house.",fffc41427f4a43a0927af3c6b4a3b5b8,,4
sakina,tara's secret diary,"Discovery by Sakina of Tara's love for her, as she reads his secret diary while living with Tara's family.",fffc41427f4a43a0927af3c6b4a3b5b8,,4
sakina,ashraf ali,"Parent-child relationship. Sakina discovers through an old newspaper during Holi festival that her parents, Ashraf Ali and unnamed mother, are alive. She calls her father, the present mayor of Lahore, from the Pakistani Embassy in Delhi to arrange for her to fly back to Lahore.",d9573e206f404426bfce8b614eb88d29,,4
sakina,tara,"Family relationship. Sakina is staying with Tara and their son Jeete in India, but they are unable to accompany her back to Lahore due to incomplete visa formalities.",d9573e206f404426bfce8b614eb88d29,,4
lahore,sakina,"Location relationship. Sakina returns to Lahore and meets her whole clan after being flown back by her father, the present mayor of Lahore.",d9573e206f404426bfce8b614eb88d29,,4
india,sakina,Location relationship. Sakina is staying in India with Tara and their son Jeete when she receives news that her parents are alive.,d9573e206f404426bfce8b614eb88d29,,4
lahore,sakina's mother,"Family relationship. Sakina's mother is mentioned as being present in Lahore when Sakina returns, and it is also suggested that she may be disowning Sakina for staying with an Indian Jatt.",d9573e206f404426bfce8b614eb88d29,,4
