node_1,node_2,edge,chunk_id,node_3,count
thunderbirds,science fiction,"The film 'Thunderbirds' belongs to the science fiction genre, as it contains elements of scientific and imaginative imagination.",a3273e4a0dbd46c6b08bdde893111a93,,4
thunderbirds,action-adventure,"The film 'Thunderbirds' is an action-adventure movie, as it contains exciting and thrilling events that involve danger and uncertainty.",a3273e4a0dbd46c6b08bdde893111a93,,4
jonathan frakes,director,Jonathan Frakes is the director of the film 'Thunderbirds'.,a3273e4a0dbd46c6b08bdde893111a93,,4
william osborne,writer,William Osborne is one of the writers of the screenplay for the movie 'Thunderbirds'.,a3273e4a0dbd46c6b08bdde893111a93,,4
michael mccullers,writer,Michael McCullers is another writer who contributed to the creation of the script for the film 'Thunderbirds'.,a3273e4a0dbd46c6b08bdde893111a93,,4
gerry anderson,creator,The TV series 'Thunderbirds' was originally created by Gerry Anderson.,a3273e4a0dbd46c6b08bdde893111a93,,4
jeff tracy,ir leader,"Jeff Tracy is the head of International Rescue, as mentioned in the movie 'Thunderbirds'.",a3273e4a0dbd46c6b08bdde893111a93,,4
fermat,character,Fermat is one of the friends who joins Alan to stop the Hood in the film 'Thunderbirds'.,a3273e4a0dbd46c6b08bdde893111a93,,4
tin-tin,character,Tin-Tin is another character from the movie 'Thunderbirds' who assists Alan and Fermat in their mission.,a3273e4a0dbd46c6b08bdde893111a93,,4
alan tracy,ir member,"Alan Tracy is one of Jeff Tracy's sons and a member of International Rescue, as depicted in the film 'Thunderbirds'.",a3273e4a0dbd46c6b08bdde893111a93,,4
hood,villain,"The Hood is the antagonist of the movie 'Thunderbirds', who plots against International Rescue and steals their vehicles.",a3273e4a0dbd46c6b08bdde893111a93,,4
international rescue,organization,"International Rescue is an organization that helps people in dangerous situations, as portrayed in the movie 'Thunderbirds'.",a3273e4a0dbd46c6b08bdde893111a93,,4
busted,music band,The song 'Thunderbirds Are Go' by pop-rock band Busted is featured in the soundtrack of the movie 'Thunderbirds'.,a3273e4a0dbd46c6b08bdde893111a93,,4
