node_1,node_2,edge,chunk_id,sub_edges,count
cats,musical fantasy film,The movie 'Cats' is a musical fantasy film.,8a9ab90528ac4f1caa3ed94b1c0fd439,,4
andrew lloyd webber,cats,The musical 'Cats' was based on the West End musical by Andrew Lloyd Webber.,8a9ab90528ac4f1caa3ed94b1c0fd439,,4
t. s. eliot,old possum's book of practical cats,The musical 'Cats' was based on the poetry collection 'Old Possum's Book of Practical Cats' by T. S. Eliot.,8a9ab90528ac4f1caa3ed94b1c0fd439,,4
tom hooper,les misérables,"The director of 'Cats', Tom Hooper, also directed the musical film 'Les Misérables'.",8a9ab90528ac4f1caa3ed94b1c0fd439,,4
james corden,cats,James Corden appeared in the movie 'Cats'.,8a9ab90528ac4f1caa3ed94b1c0fd439,,4
judi dench,cats,Judi Dench appeared in the movie 'Cats'.,8a9ab90528ac4f1caa3ed94b1c0fd439,,4
jason derulo,cats,Jason Derulo appeared in the movie 'Cats'.,8a9ab90528ac4f1caa3ed94b1c0fd439,,4
idris elba,cats,Idris Elba appeared in the movie 'Cats'.,8a9ab90528ac4f1caa3ed94b1c0fd439,,4
jennifer hudson,cats,Jennifer Hudson appeared in the movie 'Cats'.,8a9ab90528ac4f1caa3ed94b1c0fd439,,4
ian mckellen,cats,Ian McKellen appeared in the movie 'Cats'.,8a9ab90528ac4f1caa3ed94b1c0fd439,,4
taylor swift,cats,Taylor Swift appeared in the movie 'Cats'.,8a9ab90528ac4f1caa3ed94b1c0fd439,,4
rebel wilson,cats,Rebel Wilson appeared in the movie 'Cats'.,8a9ab90528ac4f1caa3ed94b1c0fd439,,4
francesca hayward,cats,"Francesca Hayward, who debuted in this film, appeared in the movie 'Cats'.",8a9ab90528ac4f1caa3ed94b1c0fd439,,4
victoria,mungojerrie,Mungojerrie is a mischievous twin who meets Victoria in the given context. They convince Victoria to join them in causing trouble and messing with things in their human family's house.,1cffa8d9f9054a09a89ad27f8c5edd6c,,4
victoria,rumpleteazer,Rumpleteazer is a mischievous twin who meets Victoria in the given context. They convince Victoria to join them in causing trouble and messing with things in their human family's house.,1cffa8d9f9054a09a89ad27f8c5edd6c,,4
victoria,necklaces,"The twins, Mungojerrie and Rumpleteazer, leave Victoria tangled up in some necklaces when the family dog is alerted to their presence.",1cffa8d9f9054a09a89ad27f8c5edd6c,,4
victoria,mr. mistoffelees,"When Victoria is left tangled up in some necklaces, Mr. Mistoffelees comes to rescue her and distracts the dog.",1cffa8d9f9054a09a89ad27f8c5edd6c,,4
old deuteronomy,victoria,"The wise and beloved matriarch, Old Deuteronomy, assures Victoria that she can become a Jellicle herself in time after witnessing their quiet camaraderie.",1cffa8d9f9054a09a89ad27f8c5edd6c,,4
