Question,Answer,generated_answer
"""Is 'The Goldfinch 2019' a movie that was never adapted from a novel?""",no,yes
"""Does 'The Goldfinch 2019' represent a film adaptation of a novel?""",yes,yes
"[""Did Warner Bros. make a substantial profit from the release of 'The Goldfinch 2019'?""]",no,yes
"[""Was 'The Goldfinch 2019' a box-office bomb for Warner Bros.?""]",yes,yes
"Did Donna Tartt enjoy the adaptation of ""The Goldfinch 2019""?",no,yes
"Was there a strong negative sentiment towards the adaptation of ""The Goldfinch 2019"" from Donna Tartt?",yes,yes
"[""Did Ansel Elgort play a supporting role in The Goldfinch 2019?""]",no,yes
"[""Was Ansel Elgort selected to portray the lead role in the movie The Goldfinch 2019?""]",yes,yes
"[""Is John Crowley not associated with the movie 'The Goldfinch 2019' as a director?""]",no,yes
"[""Was John Crowley hired to direct the film adaptation of 'The Goldfinch 2019'?""]",yes,yes
"Did Warner Bros broker the deal for the movie ""The Goldfinch 2019"" instead of ICM Partners?",no,yes
"Does the movie ""The Goldfinch 2019"" involve ICM Partners in brokering the deal?",yes,yes
"Did Theodore Decker's mother survive the bombing at the Metropolitan Museum of Art in the movie ""The Goldfinch 2019""?",no,yes
"Does the movie ""The Goldfinch 2019"" involve a scene where Theodore Decker's mother is killed in a bombing at the Metropolitan Museum of Art?",yes,yes
"""Did Theodore Decker refuse to take the painting—The Goldfinch—in the movie 'The Goldfinch 2019'?""",no,yes
"""In the movie 'The Goldfinch 2019', was Theodore Decker urged by a dying man to take a painting—The Goldfinch—and his engraved ring?""",yes,yes
"[""Is it true that in 'The Goldfinch 2019', Welton 'Welty' Blackwell is not associated with James 'Hobie' Hobart?""]",no,yes
"[""In the movie 'The Goldfinch 2019', did James 'Hobie' Hobart's partner Welton 'Welty' Blackwell give a ring to Theodore Decker to return?""]",yes,yes
"[""Did Larry leave Theodore Decker in Las Vegas in the movie 'The Goldfinch 2019'?""]",no,yes
"[""In the movie 'The Goldfinch 2019', did Larry arrive with his girlfriend Xandra to relocate Theodore Decker to Las Vegas?""]",yes,yes
"[""Is Larry Theo's biological brother in the movie 'The Goldfinch 2019'?""]",no,yes
"[""In the movie 'The Goldfinch 2019', does Larry arrive with his girlfriend Xandra to relocate Theo to Las Vegas?""]",yes,yes
"[""Did Larry manage to avoid gambling debt in the movie 'The Goldfinch 2019'?""]",no,yes
"[""In the movie 'The Goldfinch 2019', does Larry end up in gambling debt?""]",yes,yes
"[""Does Theo discard The Goldfinch in the movie 'The Goldfinch 2019'?""]",no,yes
"[""Does Theo keep The Goldfinch hidden in the movie 'The Goldfinch 2019'?""]",yes,yes
"Does Boris discourage the use of drugs and alcohol in the movie ""The Goldfinch 2019""?",no,yes
"Does Boris introduce someone to drugs and alcohol in the movie ""The Goldfinch 2019""?",yes,yes
"[""Did Hobie fail in making his antique shop successful in the movie 'The Goldfinch 2019'?""]",no,yes
"[""In the movie 'The Goldfinch 2019', did Hobie allow Theo to live with him and subsequently make his shop successful?""]",yes,yes
"[""Is 'The Goldfinch 2019' a movie about a bird called 'The Goldfinch' being used as a pet?""]",no,yes
"[""In 'The Goldfinch 2019', was 'The Goldfinch' accused of being used as collateral by Theo to finance his shop?""]",yes,yes
"Does Theo from ""The Goldfinch 2019"" end his engagement with Kitsey after catching her cheating on him with Tom Cable?",no,yes
"In ""The Goldfinch 2019"", does Pippa visit Theo and confess her feelings for him?",yes,yes
"[""Does the movie 'The Goldfinch 2019' depict Theo as having no secret love for Pippa?""]",no,yes
"[""In 'The Goldfinch 2019', does Boris reveal that he had stolen The Goldfinch from Theo years prior to finance his criminal career?""]",yes,yes
"[""Did Reeve arrive at Theo's and Kitsey's engagement party in 'The Goldfinch 2019' to celebrate with them?""]",no,yes
"[""In 'The Goldfinch 2019', was Reeve's arrival at Theo's and Kitsey's engagement party related to a confrontation about the theft and loss of The Goldfinch?""]",yes,yes
"[""Did Boris reveal at a bar that he never had any interaction with Theo in the movie 'The Goldfinch 2019'?""]",no,yes
"[""In the movie 'The Goldfinch 2019', did Boris use The Goldfinch as collateral to finance his criminal career after stealing it from Theo?""]",yes,yes
"[""Does Boris in 'The Goldfinch 2019' become friends with the criminals instead of ambushing them?""]",no,yes
