Question,Answer,generated_answer
"[""Is the movie Expend4bles 2023 about the Expendables going to Russia?""]",no,yes
"[""In the movie Expend4bles 2023, are the Expendables sent to Libya?""]",yes,yes
"[""Does the movie 'Expend4bles 2023' feature a storyline where the Expendables are sent to prevent a unicorn from stealing nuclear warheads?""]",no,yes
"[""In the plot of 'Expend4bles 2023', are the Expendables sent to prevent Ocelot from stealing nuclear warheads?""]",yes,yes
"[""Is Barney Ross a follower of the Expendables in the movie Expend4bles 2023?""]",no,yes
"[""Does Barney Ross lead the Expendables in the movie Expend4bles 2023?""]",yes,yes
"[""Is Lee Christmas not a member of the Expendables in the movie Expend4bles 2023?""]",no,yes
"[""Is Lee Christmas a member of the Expendables in the plot of the movie Expend4bles 2023?""]",yes,yes
"[""Is Toll Road not a part of the Expendables in the movie Expend4bles 2023?""]",no,yes
"[""Is Toll Road a member of the Expendables in the plot of the movie Expend4bles 2023?""]",yes,yes
"[""Is Gunner Jensen not a part of the Expendables in the movie Expend4bles 2023?""]",no,yes
"[""Is Gunner Jensen a member of the Expendables in the movie Expend4bles 2023?""]",yes,yes
"[""In the plot of Expend4bles 2023, does Easy Day leave the Expendables?""]",no,yes
"[""In the plot of Expend4bles 2023, does Easy Day join the Expendables?""]",yes,yes
"[""In the movie Expend4bles 2023, does Galan leave the Expendables?""]",no,yes
"[""Does Galan join the Expendables in the movie Expend4bles 2023?""]",yes,yes
"[""Does Barney Ross not have a sealed file in the movie Expend4bles 2023?""]",no,yes
"[""Does the character Barney Ross have a sealed file in the plot of the movie Expend4bles 2023?""]",yes,yes
"[""Is the movie 'Expend4bles 2023' about a romantic love story between the Expendables and CIA operative Marsh?""]",no,yes
"[""In 'Expend4bles 2023', are the Expendables pursued by a character named CIA operative Marsh?""]",yes,yes
"[""In the plot of Expend4bles 2023, does Gina get replaced by Easy Day in the team?""]",no,yes
"[""In Expend4bles 2023, does Gina replace Easy Day in the team as part of the plot?""]",yes,yes
"[""Did Gina leave Lash out of the team in the movie Expend4bles 2023?""]",no,yes
"[""In the movie Expend4bles 2023, does Gina bring Lash into the team?""]",yes,yes
"[""Is Ocelot planning to promote peace by disarming the nuclear warheads in Russia in the movie Expend4bles 2023?""]",no,yes
"[""In the movie Expend4bles 2023, does Ocelot plan to provoke World War III by letting the nuclear warheads explode in the Russian Far East?""]",yes,yes
"[""Does the movie 'Expend4bles 2023' depict Ocelot transporting nuclear warheads on a ship disguised as a French aircraft carrier?""]",no,yes
"[""In 'Expend4bles 2023', does Ocelot transport the nuclear warheads on a ship disguised as an American aircraft carrier?""]",yes,yes
"[""Does the movie 'Expend4bles 2023' depict a scenario where the Expendables safely board the ship without any ambush?""]",no,yes
"[""In the plot of 'Expend4bles 2023', are the Expendables ambushed and taken hostage when they board the ship?""]",yes,yes
"""In the movie 'Expend4bles 2023', does Marsh refuse to negotiate a prisoner-exchange for the eyewitness?""",no,yes
"""In the plot of 'Expend4bles 2023', does Marsh negotiate a prisoner-exchange for the eyewitness?""",yes,yes
"[""Does Christmas join Rahmat's forces in the movie Expend4bles 2023?""]",no,yes
"[""In the movie Expend4bles 2023, does Christmas fight his way through Rahmat's forces during the attack on their ship?""]",yes,yes
"[""In the plot of 'Expend4bles 2023', does Decha reject pacifism completely?""]",no,yes
"[""Does Decha, in the plot of 'Expend4bles 2023', agree to bring Christmas to the ship to avenge Barney despite his turn towards pacifism?""]",yes,yes
"""In the movie 'Expend4bles 2023', does Christmas abandon Toll during the prisoner exchange?""",no,yes
"""In 'Expend4bles 2023', does Christmas use Decha's boat to save Toll who is severely stabbed?""",yes,yes
"[""In the plot of 'Expend4bles 2023', does Marsh save the eyewitness during the prisoner exchange?""]",no,yes
"[""In 'Expend4bles 2023', does Marsh kill the eyewitness during the prisoner exchange, revealing himself to be Ocelot, with the intention of financially profiting from igniting World War III?""]",yes,yes
"[""In the plot of 'Expend4bles 2023', does Barney die permanently?""]",no,yes
"[""In 'Expend4bles 2023', does Barney fake his death to lure Ocelot out of hiding?""]",yes,yes
"[""In the movie 'Expend4bles 2023', does Christmas leave the ship and cause a global conflict?""]",no,yes
"[""In the plot of 'Expend4bles 2023', does Christmas stay behind to turn the ship around to avoid a global conflict?""]",yes,yes
