Question,Answer,generated_answer
"Did the director of ""The Emoji Movie 2017"" ultimately decide to set the movie in the real world?",no,yes
"Was the world inside a phone considered more interesting by the producer of ""The Emoji Movie 2017"", influencing the movie's setting?",yes,yes
"Was ""The Emoji Movie 2017"" inspired by ""Toy Story (1995)"" because director Tony Leondis disliked ""Toy Story""?",no,yes
"Did director Tony Leondis consider having the emojis from ""The Emoji Movie 2017"" visit the real world during the development of the story?",yes,yes
"Did the announcement of the lead actor for ""The Emoji Movie 2017"" occur on a day unrelated to emojis?",no,yes
"Was there concern that ""The Emoji Movie 2017"" would become outdated due to the evolution of phone technology after the announcement of Miller as the lead on World Emoji Day?",yes,yes
"""Was Ilana Glazer not included in the cast of 'The Emoji Movie 2017'?""",no,yes
"""Did Ilana Glazer join the cast of 'The Emoji Movie 2017' in October 2016?""",yes,yes
"Did Jordan Peele refuse the role of 'Poop' in ""The Emoji Movie 2017""?",no,yes
"Was Jordan Peele initially offered a role in ""The Emoji Movie 2017""?",yes,yes
