Question,Answer,generated_answer
"""Was 'Moonfall' a film produced before the year 2022?""",no,yes
"""Is 'Moonfall' a film that was being produced in the year 2022?""",yes,yes
"[""Did Donald Sutherland not have an acting role in the 2022 movie Moonfall?""]",no,yes
"[""Is Donald Sutherland an actor in the 2022 film Moonfall?""]",yes,yes
"""Is it true that Eme Ikwuakor did not play any role in the 2022 film, Moonfall?""",no,yes
"""Did Eme Ikwuakor work as an actor in the 2022 movie, Moonfall?""",yes,yes
"[""Is Carolina Bartczak a producer for the 2022 movie, Moonfall?""]",no,yes
"[""Did Carolina Bartczak act in the 2022 movie, Moonfall?""]",yes,yes
"[""Is Maxim Roy not involved as an actor in the 2022 film Moonfall?""]",no,yes
"[""Did Maxim Roy play a role as an actor in the 2022 movie Moonfall?""]",yes,yes
"""Is Stephen Bogaert a director in the 2022 movie Moonfall?""",no,yes
"""Did Stephen Bogaert act in the 2022 movie Moonfall?""",yes,yes
"[""Was the score for the movie 'Moonfall' released in 2022 not composed by Thomas Wander?""]",no,yes
"[""Did Thomas Wander, the composer, record the score for the movie 'Moonfall' released in 2022 at Synchron Stage Vienna?""]",yes,yes
