Question,Answer,generated_answer
"[""Is the character Graham Bricke in 'The Last Days of American Crime 2020' portrayed by an actor other than Édgar Ramírez?""]",no,yes
"[""Does Édgar Ramírez portray the character Graham Bricke in the movie 'The Last Days of American Crime 2020'?""]",yes,yes
"[""Is Anna Brewster not part of the cast in 'The Last Days of American Crime 2020'?""]",no,yes
"[""Does Anna Brewster play the role of Shelby Dupree in 'The Last Days of American Crime 2020'?""]",yes,yes
"[""Is Michael Pitt not part of the cast in 'The Last Days of American Crime 2020' as Kevin Cash?""]",no,yes
"[""Does Michael Pitt play the role of Kevin Cash in the movie 'The Last Days of American Crime 2020'?""]",yes,yes
"[""Is Daniel Fox not part of the cast in the movie 'The Last Days of American Crime 2020'?""]",no,yes
"[""Does Daniel Fox portray the character Rory in the movie 'The Last Days of American Crime 2020'?""]",yes,yes
"Is Tamer Burjaq depicting the character Ross King in the film ""The Last Days of American Crime 2020""?",yes,yes
"Did Tamer Burjaq depict a character other than Ross King in the film ""The Last Days of American Crime 2020""?",no,yes
"Did Sharlto Copley play the role of a character named John in the movie ""The Last Days of American Crime 2020""?",no,yes
"Does Sharlto Copley portray the role of William Sawyer in the movie ""The Last Days of American Crime 2020""?",yes,yes
"""In the movie 'The Last Days of American Crime 2020', is the character Lonnie French played by an actor other than Brandon Auret?""",no,yes
"""Does Brandon Auret play the character Lonnie French in the movie 'The Last Days of American Crime 2020'?""",yes,yes
"[""Is Patrick Bergin not involved in the movie 'The Last Days of American Crime 2020'?""]",no,yes
"[""Does Patrick Bergin portray the character Rossi Dumois in the movie 'The Last Days of American Crime 2020'?""]",yes,yes
"""In the movie 'The Last Days of American Crime 2020', does Sean Cameron Michael play the role of a character named John Doe?""",no,yes
"""Does Sean Cameron Michael portray the character Pete Slatery in 'The Last Days of American Crime 2020'?""",yes,yes
