Question,Answer,generated_answer
"[""Does the plot of 'The Kissing Booth 3 2021' involve Elle and Lee being estranged siblings with no shared childhood memories?""]",no,yes
"[""In 'The Kissing Booth 3 2021', does the plot highlight Elle and Lee's sibling bond and the potential emotional fallout of Lee's reaction to Elle's decision to go to Harvard with Noah?""]",yes,yes
"[""Does Elle from 'The Kissing Booth 3 2021' decide to go to Yale instead of Harvard?""]",no,yes
"[""In 'The Kissing Booth 3 2021', does Elle's choice to go to Harvard signify her academic aspirations and potential future academic and career opportunities?""]",yes,yes
"[""Does Lee's girlfriend Rachel have no role in the plot of 'The Kissing Booth 3 2021' movie?""]",no,yes
"[""In the movie 'The Kissing Booth 3 2021', does Lee's girlfriend Rachel represent Elle's friend circle and the possible impact of Lee's reaction to Elle's decision on their relationship?""]",yes,yes
"""Does 'The Kissing Booth 3 2021' plot revolve around Elle dealing with a physical injury?""",no,yes
"""In 'The Kissing Booth 3 2021', does the plot involve Elle struggling with Berkeley's deadline, reflecting the pressures of academic decisions?""",yes,yes
"[""In the movie 'The Kissing Booth 3 2021', does the character Noah have no relationship with Lee?""]",no,yes
"[""In 'The Kissing Booth 3 2021', do Noah and Lee share childhood memories at a beach house, highlighting their bond and the potential emotional fallout of Lee's reaction to Elle's decision to go to Harvard with Noah?""]",yes,yes
"[""Does Chloe, Noah's friend in 'The Kissing Booth 3 2021', have no impact on Elle's decision-making process?""]",no,yes
"[""In 'The Kissing Booth 3 2021', does Noah's friend Chloe represent Elle's social circle and the possible impact of her friendship with Noah on Elle's decision-making process?""]",yes,yes
"[""Does Marco get a job in a different area, unrelated to Elle's past romantic connections in the movie 'The Kissing Booth 3 2021'?""]",no,yes
"[""In the movie 'The Kissing Booth 3 2021', does Marco getting a job in the area represent Elle's past romantic connections and potential emotional fallout of her decision-making process?""]",yes,yes
"[""Does the movie 'The Kissing Booth 3 2021' depict Marco and Noah as allies without any conflict?""]",no,yes
"[""In 'The Kissing Booth 3 2021', does the clash between Noah and Marco showcase the potential conflict between Elle's romantic interests?""]",yes,yes
"[""Does Linda, in 'The Kissing Booth 3 2021', represent Elle's mother's enemy, leading to potential emotional fallout due to Elle's acceptance or rejection of Linda?""]",no,yes
"[""In 'The Kissing Booth 3 2021', does Linda, who is Elle's father's new girlfriend, represent her late mother's friendship circle, potentially causing emotional fallout depending on Elle's acceptance or rejection of Linda?""]",yes,yes
"[""Is 'The Kissing Booth 3 2021' a movie about Noah breaking up with Elle because she didn't get accepted to Berkeley?""]",no,yes
"[""In 'The Kissing Booth 3 2021', does the history of Elle and Noah's relationship include a breakup due to Elle's acceptance letter to Berkeley?""]",yes,yes
"[""Does 'The Kissing Booth 3 2021' depict Elle considering her relationship with Lee as more important than her relationship with Noah?""]",no,yes
"[""In the movie 'The Kissing Booth 3 2021', does Elle have arguments and disagreements with Lee due to her perception of their relationship?""]",yes,yes
"[""Does Chloe discourage Elle from talking to Noah in 'The Kissing Booth 3 2021'?""]",no,yes
"[""Does Elle confide in Chloe about her issues with Noah and Lee in 'The Kissing Booth 3 2021'?""]",yes,yes
"[""Does the movie 'The Kissing Booth 3 2021' feature a conflict between characters named Rachel and Lee?""]",yes,yes
"[""In 'The Kissing Booth 3 2021', does Rachel have no intention of reconciling with Lee in the future?""]",no,yes
"[""Does 'The Kissing Booth 3 2021' feature a peaceful relationship between Noah and Marco without any conflicts?""]",no,yes
"[""In 'The Kissing Booth 3 2021', is there a conflict-laden relationship between Noah and Marco, including physical confrontations like punching each other?""]",yes,yes
"[""Does the movie 'The Kissing Booth 3 2021' depict a conflict between Elle and her mother due to Linda's relationship with Elle's father?""]",no,yes
"[""In the movie 'The Kissing Booth 3 2021', does an issue arise from Elle's father's relationship with Linda, leading to an argument between Elle and her father?""]",yes,yes
"[""In 'The Kissing Booth 3 2021', does Elle hold a grudge against Linda throughout the movie?""]",no,yes
"[""By the end of 'The Kissing Booth 3 2021', does Elle come to understand and accept Linda?""]",yes,yes
"[""In the movie 'The Kissing Booth 3 2021', does Noah suggest going on a car drive with Elle?""]",no,yes
"[""In the plot of 'The Kissing Booth 3 2021', do Elle and Noah ride down the coastline in California on their motorcycles?""]",yes,yes
"""In the movie 'The Kissing Booth 3 2021', does Elle break her friendship with Lee after she applies to University of Southern California to study game design?""",no,yes
"""In the plot of 'The Kissing Booth 3 2021', does Elle apply to the University of Southern California to study game design and remain best friends with Lee?""",yes,yes
"[""Did Rachel and Lee break up and never reconcile in 'The Kissing Booth 3 2021'?""]",no,yes
"[""Did Lee and Rachel get back together and become engaged after college in the plot of 'The Kissing Booth 3 2021'?""]",yes,yes
