Question,Answer,generated_answer
"Did Warner Bros distribute the film ""Grown Ups 2 2013""?",no,yes
"Was ""Grown Ups 2 2013"" distributed by Columbia Pictures?",yes,yes
"[""Is 'Grown Ups 2 2013' a film produced by Warner Bros Studios?""]",no,yes
"[""Was 'Grown Ups 2 2013' produced by Happy Madison Productions along with Adam Sandler and Jack Giarraputo?""]",yes,yes
"[""Did Adam Sandler work alone without collaborating with anyone in the making of 'Grown Ups 2 2013'?""]",no,yes
"[""Did Adam Sandler collaborate with his longtime friend and director Dennis Dugan in the making of 'Grown Ups 2 2013'?""]",yes,yes
"[""Was the movie 'Grown Ups 2 2013' filmed in California?""]",no,yes
"[""Was the movie 'Grown Ups 2 2013' filmed in Swampscott, Massachusetts?""]",yes,yes
"Is the movie ""Grown Ups 2 2013"" filmed in the actual town of Stanton, Connecticut?",no,yes
"Was the fictional town of Stanton, Connecticut, portrayed during the filming of ""Grown Ups 2 2013"" in Swampscott, Massachusetts?",yes,yes
"[""Did WWE Hall of Famer Steve Austin not appear in the movie 'Grown Ups 2 2013'?""]",no,yes
"[""Did WWE Hall of Famer Steve Austin have a role in the production of the movie 'Grown Ups 2 2013'?""]",yes,yes
"""Did Michael Kay not participate in any role in the movie 'Grown Ups 2 2013'?""",no,yes
"""Did sportscaster Michael Kay appear in the movie 'Grown Ups 2 2013'?""",yes,yes
"[""Did Shaquille O'Neal play a basketball player in the movie 'Grown Ups 2 2013'?""]",no,yes
"[""Did basketball player Shaquille O'Neal appear as a cop in the movie 'Grown Ups 2 2013'?""]",yes,yes
