Question,Answer,generated_answer
"[""Is the movie 'Catwoman 2004' based on a Marvel Comics character?""]",no,yes
"[""In the movie 'Catwoman 2004', does the character Patience Phillips work for a cosmetics company called Hedare Beauty?""]",yes,yes
"[""Is Patience Phillips unemployed in the movie 'Catwoman 2004'?""]",no,yes
"[""Does Patience Phillips work for Hedare Beauty in the movie 'Catwoman 2004'?""]",yes,yes
"[""Is the new skin cream Beau-line in the movie 'Catwoman 2004' being shipped by a company other than Hedare Beauty?""]",no,yes
"[""Is the cosmetics company Hedare Beauty responsible for shipping the new skin cream called Beau-line in the movie 'Catwoman 2004'?""]",yes,yes
"[""Is the main character of 'Catwoman 2004', Patience Phillips, unaware of the conspiracy involving the dangerous product Beau-line in the cosmetics company Hedare Beauty?""]",no,yes
"[""In the movie 'Catwoman 2004', does Patience Phillips discover a conspiracy involving the dangerous product Beau-line in the cosmetics company Hedare Beauty?""]",yes,yes
"[""Is Patience Phillips killed by an Egyptian mau cat in the movie 'Catwoman 2004'?""]",no,yes
"[""In the movie 'Catwoman 2004', does an Egyptian mau cat revive Patience Phillips and grant her superhuman cat-like abilities after she is murdered?""]",yes,yes
"[""Is the main character of 'Catwoman 2004' a man named Patience Phillips who becomes a villain?""]",no,yes
"[""In 'Catwoman 2004', does Patience Phillips become the crime-fighting superheroine Catwoman after being revived by an Egyptian mau cat?""]",yes,yes
"[""Does Catwoman confront George about the side effects of a product in the movie 'Catwoman 2004'?""]",yes,yes
"[""In 'Catwoman 2004', does George frame Catwoman for his own murder?""]",no,yes
"[""Did Laurel frame Catwoman for her own murder in the movie 'Catwoman 2004'?""]",no,yes
"[""In the movie 'Catwoman 2004', did Laurel contact Catwoman and frame her for the murder of George?""]",yes,yes
"[""In the movie 'Catwoman 2004', does Patience confront George as Catwoman but George reveals knowledge about side effects?""]",no,yes
"[""In the movie 'Catwoman 2004', does Patience confront George as Catwoman?""]",yes,yes
"[""In the movie 'Catwoman 2004', did Patience confront Laurel in a restaurant during their fight?""]",no,yes
"[""In the movie 'Catwoman 2004', did Patience clear herself of charges regarding the deaths of Dr. Slavicky and Hedares?""]",yes,yes
"[""Did Laurel frame Catwoman for the murder of George in the movie 'Catwoman 2004'?""]",yes,yes
"[""In 'Catwoman 2004', did Catwoman frame Laurel for the murder of George?""]",no,yes
"[""Did Laurel cancel the release of the Beau-line product in the movie 'Catwoman 2004'?""]",no,yes
"[""In the movie 'Catwoman 2004', did Laurel plan to release the Beau-line product the following day?""]",yes,yes
