Question,Answer,generated_answer
"Does the movie ""Seed of Chucky 2004"" depict a sibling relationship between Glen/Glenda and Chucky?",no,yes
"In the movie ""Seed of Chucky 2004"", is there a parent-child relationship between Glen/Glenda, who is gender-confused, and Chucky?",yes,yes
"[""Is Tiffany unrelated to Glen/Glenda in the plot of 'Seed of Chucky 2004'?""]",no,yes
"[""Does Tiffany have a parent-child relationship with Glen/Glenda in the movie 'Seed of Chucky 2004'?""]",yes,yes
"[""Does Pete Peters survive Chucky's secret joyride in the movie 'Seed of Chucky 2004'?""]",no,yes
"[""In the movie 'Seed of Chucky 2004', does Chucky take Glen/Glenda on a secret joyride to kill Pete Peters, a paparazzo?""]",yes,yes
"[""Does Glen/Glenda enjoy the accidental killing of Peters in the movie 'Seed of Chucky 2004' like Chucky does?""]",no,yes
"[""In the movie 'Seed of Chucky 2004', is Glen/Glenda horrified by the accidental killing of Peters?""]",yes,yes
"[""Is it mentioned in the plot of 'Seed of Chucky 2004' that Redman believes Jennifer is responsible for his vasectomy?""]",no,yes
"[""In 'Seed of Chucky 2004', does Redman fire Jennifer from his film because he believes pregnant women don't fit his vision?""]",yes,yes
"""In the plot of 'Seed of Chucky 2004', does Jennifer wake up believing she is not pregnant?""",no,yes
"""In 'Seed of Chucky 2004', does Jennifer witness Tiffany gutting Redman in anger over his misogyny?""",yes,yes
"[""Does the movie 'Seed of Chucky 2004' depict Jennifer's pregnancy as a result of a medical condition rather than voodoo magic?""]",no,yes
"[""In the movie 'Seed of Chucky 2004', is Jennifer's full pregnant belly a consequence of the voodoo magic she experiences?""]",yes,yes
"[""Is Chucky in 'Seed of Chucky 2004' uncomfortable with his life as a living doll?""]",no,yes
"[""Does Chucky in 'Seed of Chucky 2004' stop desiring to become human due to his disgust with the realization?""]",yes,yes
"[""In the plot of the movie 'Seed of Chucky 2004', does Stan refuse to sacrifice himself and let Jennifer come to harm?""]",no,yes
"[""In 'Seed of Chucky 2004', does Stan sacrifice himself to save Jennifer from harm, as per the plot?""]",yes,yes
"[""Is Jennifer left at home in the movie 'Seed of Chucky 2004'?""]",no,yes
"[""In the movie 'Seed of Chucky 2004', is Jennifer rushed to the hospital?""]",yes,yes
"[""Did Jennifer drug Tiffany in the movie 'Seed of Chucky 2004'?""]",no,yes
"[""In the movie 'Seed of Chucky 2004', does Tiffany drug Jennifer and start to possess her?""]",yes,yes
"[""Did Tiffany manage to escape unharmed from Chucky in the movie 'Seed of Chucky 2004'?""]",no,yes
"[""In the movie 'Seed of Chucky 2004', did Chucky kill Tiffany with an axe?""]",yes,yes
"[""Does Glen support Chucky throughout the movie 'Seed of Chucky 2004'?""]",no,yes
"[""In the movie 'Seed of Chucky 2004', does Glen attack Chucky out of devastation?""]",yes,yes
"[""Does Chucky assume it's Glen in the movie 'Seed of Chucky 2004'?""]",no,yes
"[""In the movie 'Seed of Chucky 2004', does Chucky assume it's Glenda?""]",yes,yes
"[""Did Glen save Chucky in the movie 'Seed of Chucky 2004'?""]",no,yes
"[""Does Glen dismember Chucky in the movie 'Seed of Chucky 2004'?""]",yes,yes
"[""Does the nanny in 'Seed of Chucky 2004' quit because Glenda is friendly during a birthday party for the twins?""]",no,yes
"[""In the plot of 'Seed of Chucky 2004', does a nanny quit during a birthday party for the twins because Glenda scares her?""]",yes,yes
"[""Did Tiffany fail to transfer her soul into Jennifer's body in the movie 'Seed of Chucky 2004'?""]",no,yes
"[""Did Tiffany successfully transfer her soul into Jennifer's body in the movie 'Seed of Chucky 2004'?""]",yes,yes
"[""Did Glen find a birthday present containing Chucky's severed leg in the movie 'Seed of Chucky 2004'?""]",no,yes
"[""In the movie 'Seed of Chucky 2004', does Glen open a birthday present to find Chucky's severed arm?""]",yes,yes
