node_1,node_2,edge,chunk_id,type,count
princess moanna,fairytale character,Princess Moanna is a character in a fairy tale.,9b1268e44f594ab38a0228e108435b33,,4
king of the underworld,princess moanna's father,The king is the father of Princess Moanna and ruler of the underworld.,9b1268e44f594ab38a0228e108435b33,,4
human world,place,Princess Moanna visits the human world in the fairy tale.,9b1268e44f594ab38a0228e108435b33,,4
sunlight,element that affects princess moanna,The sunlight blinds Princess Moanna and erases her memory in the fairy tale.,9b1268e44f594ab38a0228e108435b33,,4
ofelia,character,Ten-year-old Ofelia travels with her mother Carmen to meet Captain Vidal in 1944 Francoist Spain.,9b1268e44f594ab38a0228e108435b33,,4
carmen,ofelia's pregnant mother,"In 1944 Francoist Spain, Ofelia travels with her pregnant mother Carmen to meet Captain Vidal.",9b1268e44f594ab38a0228e108435b33,,4
captain vidal,civil guard officer and devotee of falangism,"In 1944 Francoist Spain, Ofelia's new stepfather Captain Vidal has been assigned to hunt down the Spanish Maquis.",9b1268e44f594ab38a0228e108435b33,,4
spanish maquis,group of resistance fighters,"In 1944 Francoist Spain, other members of the Spanish Maquis are secretly supported by Ofelia's housekeeper Mercedes.",9b1268e44f594ab38a0228e108435b33,,4
large stick insect,leads ofelia into an ancient stone labyrinth,"In the fairy tale, a large stick insect leads Ofelia into an ancient stone labyrinth.",9b1268e44f594ab38a0228e108435b33,,4
fairy,transforms into,The large stick insect transforms into a fairy in Ofelia's bedroom.,9b1268e44f594ab38a0228e108435b33,,4
faun,meets ofelia in the labyrinth,"In the ancient stone labyrinth, a faun meets Ofelia.",9b1268e44f594ab38a0228e108435b33,,4
princess moanna,reincarnation,The faun believes that Ofelia is the reincarnation of Princess Moanna in the labyrinth.,9b1268e44f594ab38a0228e108435b33,,4
book,given to ofelia by the faun,"In the ancient stone labyrinth, the faun gives Ofelia a book with three tasks to complete in order for her to acquire immortality and return to her kingdom.",9b1268e44f594ab38a0228e108435b33,,4
ofelia,carmen,"mother-daughter relationship, Ofelia completes the first task and gives the mandrake root to Carmen, which seems to ease her illness",3beef4509947417ab2ed5ebd6faccadd,,4
