node_1,node_2,edge,chunk_id,context,count
parasite,poor family,"represents the poor family infiltrating and creeping into the rich house, as the film's title serves a double meaning",c4347eba39524b6ca0e6b2fe9876a532,,4
parasite,rich family,"both are parasites in terms of labor, as they leech off the poor family's labor for tasks such as washing dishes and driving",c4347eba39524b6ca0e6b2fe9876a532,,4
the housemaid,okja,"Bong Joon-ho, the director of Okja, cited The Housemaid as an influence on his film. Both films explore the theme of a disruptive interloper threatening the stability of a middle-class family.",92d997e8882d4291b6ef926057da2fdb,,4
christine and léa papin,okja,"Bong Joon-ho drew inspiration from the case of Christine and Léa Papin, two live-in maids who murdered their employers in 1930s France. The incident is reflected in the plot of Okja as it explores the theme of a disruptive interloper threatening the stability of a wealthy family.",92d997e8882d4291b6ef926057da2fdb,,4
bong joon-ho,tutor for a rich family,Bong Joon-ho worked as a tutor for a rich family. This experience gave him insight into the private lives of complete strangers and inspired the theme of infiltration in Okja.,92d997e8882d4291b6ef926057da2fdb,,4
moon-gwang,allergy to peaches,Bong Joon-ho's university friend having an allergy to peaches inspired the character Moon-gwang's allergy in Okja.,92d997e8882d4291b6ef926057da2fdb,,4
parasite,darcy paquet,"American residing in South Korea, Darcy Paquet, translated the English subtitles for Parasite with Bong.",c8490cbfdfd944bbb4769662a8f1e540,,4
jjapaguri or chapaguri,ram-don,"A dish cooked by a character in the film, Jjapaguri or Chapaguri, was rendered as ram-don by Darcy Paquet.",c8490cbfdfd944bbb4769662a8f1e540,,4
ram-don,chapagetti and neoguri,"Jjapaguri or Chapaguri is a mix of Chapagetti and Neoguri produced by Nongshim, as explained by Darcy Paquet.",c8490cbfdfd944bbb4769662a8f1e540,,4
oxford university,darcy paquet,"During the translation process, Darcy Paquet chose Oxford University over Harvard because of Bong's affinity for the United Kingdom.",c8490cbfdfd944bbb4769662a8f1e540,,4
whatsapp,darcy paquet,"On one occasion, Darcy Paquet used WhatsApp instead of KakaoTalk during the translation process.",c8490cbfdfd944bbb4769662a8f1e540,,4
english subtitles,parasite,Darcy Paquet translated the English subtitles for Parasite with Bong.,c8490cbfdfd944bbb4769662a8f1e540,,4
principal photography,parasite,"Principal photography for Parasite began on May 18, 2018, and ended on September 19.",c8490cbfdfd944bbb4769662a8f1e540,,4
seoul,filming locations for parasite,Filming for Parasite took place around Seoul and in Jeonju.,c8490cbfdfd944bbb4769662a8f1e540,,4
hong kyung-pyo,parasite,"The director of photography for Parasite was Hong Kyung-pyo, a well-known South Korean cinematographer.",c8490cbfdfd944bbb4769662a8f1e540,,4
parks' house,set,The Parks' house was a specially constructed set.,4372a194043f4f448ff49b74342d62a5,,4
ground floor,parks' house,"The ground floor and the garden were constructed on an empty outdoor lot, while the basement and first floor were constructed on set.",4372a194043f4f448ff49b74342d62a5,'We built the main floor of the house in a backlot',4
first floor,parks' house,"The ground floor and the garden were constructed on an empty outdoor lot, while the basement and first floor were constructed on set.",4372a194043f4f448ff49b74342d62a5,'We built the main floor of the house in a backlot',4
vfx,parks' house,"'When we shot toward the outside from inside, everything beyond the garden was all VFX.'",4372a194043f4f448ff49b74342d62a5,,4
universe,parks' house,"Each character and each team has spaces that they take over, that they can infiltrate, and also secret spaces that they don't know.",4372a194043f4f448ff49b74342d62a5,,4
namgoong hyeonja,parks' house,"A fictional architect, Namgoong Hyeonja, was created as the home's designer and previous owner,",4372a194043f4f448ff49b74342d62a5,,4
form,namgoong hyeonja,production designer Lee Ha-jun considered the house's form and function based on how Namgoong would design it.,4372a194043f4f448ff49b74342d62a5,"'It's like its own universe inside this film. Each character and each team has spaces that they take over, that they can infiltrate,'",4
function,namgoong hyeonja,production designer Lee Ha-jun considered the house's form and function based on how Namgoong would design it.,4372a194043f4f448ff49b74342d62a5,"'Each character and each team has spaces that they take over, that they can infiltrate,'",4
lee,mr park's house,"Lee mentioned that since Mr Park's house is built by an architect in the story, it wasn't easy finding the right approach to designing the house.",590c667a41784899a9162cb7a1a13f51,,4
mr park's house,architect,"Lee explained that while Mr Park's house is built by an architect in the story, there's a difference in how an architect envisions a space and how a production designer approaches designing a space.",590c667a41784899a9162cb7a1a13f51,,4
ha-jun,namgoong,Ha-jun established that Namgoong would have used the first floor's living room to appreciate the garden.,590c667a41784899a9162cb7a1a13f51,,4
namgoong,single wide window,"Ha-jun mentioned that for Namgoong, a single wide window was built in the first floor's living room to appreciate the garden.",590c667a41784899a9162cb7a1a13f51,,4
namgoong,spartan seating options,"Ha-jun specified that for Namgoong, there were only spartan seating options in the first floor's living room.",590c667a41784899a9162cb7a1a13f51,,4
set designers,seung-mo park,"Some of the interior artwork in the house sets were by South Korean artist Seung-mo Park, including existing artwork of hers and some created for the film.",590c667a41784899a9162cb7a1a13f51,,4
set designers,wide and deep rooms,"The team designed the home and interiors to make the set amenable for filming at the 2.35:1 aspect ratio, favoring wide and deep rooms rather than height.",590c667a41784899a9162cb7a1a13f51,,4
sun,outdoor lots,The sun's direction was a crucial point of consideration while searching for outdoor lots. We had to remember the sun's position during our desired time frame and determine the positions and sizes of the windows accordingly.,9bf8060daced48f789c1db3e21290d54,,4
sun,kims' flat,The sun was an important factor when building the outdoor set for the Kims' flat. Lee Ha-jun visited abandoned villages and towns to help inform the set design and improve the authenticity of the street's appearance.,9bf8060daced48f789c1db3e21290d54,,4
kims' flat,kims' semi-basement flat,"The Kims' semi-basement flat was also built on set, partially out of necessity for the flooding scenes.",9bf8060daced48f789c1db3e21290d54,,4
set design,abandoned villages and towns,Lee Ha-jun visited abandoned villages and towns to help inform the set design.,9bf8060daced48f789c1db3e21290d54,,4
dp,color,"The DP had specific requests regarding the color of practical lighting, wanting sophisticated indirect lighting and warmth from tungsten light sources.",9bf8060daced48f789c1db3e21290d54,,4
dp,sun's movement,"Before building the set, the DP and I visited the lot several times to check the sun's movement each time.",9bf8060daced48f789c1db3e21290d54,,4
dp,set design,The DP and I decided on the set's location together.,9bf8060daced48f789c1db3e21290d54,,4
editing,bong,"According to editor Yang Jin-mo, Bong chose to shoot the film without traditional coverage.",9bf8060daced48f789c1db3e21290d54,,4
final cut pro 7,editing,"Yang edited the film using Final Cut Pro 7, a program not updated since 2011.",9bf8060daced48f789c1db3e21290d54,,4
parasite,color,The film was produced for release in color.,81562aa7b4874b38a54d4829791c92ae,,4
parasite,black and white version,A black and white version was produced before the world premiere in Cannes.,81562aa7b4874b38a54d4829791c92ae,,4
parasite,limited release,It also received a limited release in some countries.,81562aa7b4874b38a54d4829791c92ae,,4
parasite,soundtrack,"The film's score, by South Korean composer Jung Jae-il,",81562aa7b4874b38a54d4829791c92ae,,4
parasite,minimalist piano pieces,"consisted of 'minimalist piano pieces, punctuated with light percussion', setting the film's 'tense atmosphere'.",81562aa7b4874b38a54d4829791c92ae,,4
parasite,baroque texture,It also had a baroque texture with excerpts from Handel's opera Rodelinda and the 1964 Italian song 'In ginocchio da te' by Gianni Morandi.,81562aa7b4874b38a54d4829791c92ae,,4
parasite,computer sounds,It was recorded mostly through computer sounds.,81562aa7b4874b38a54d4829791c92ae,,4
soju han jan,original song,The song 'Soju han jan' is an original composition created specifically for this film.,d7a0f563b10f437da85e249693a4be4a,,4
soju han jan,performed by choi woo-shik,"Choi Woo-shik, the actor playing Ki-woo in the movie, also sings the song 'Soju han jan' during the end credits.",d7a0f563b10f437da85e249693a4be4a,,4
soju han jan,korean,"The title of the song 'Soju han jan', which means 'A glass of soju' in Korean, reflects its theme and cultural context.",d7a0f563b10f437da85e249693a4be4a,,4
soju han jan,marketing,"During international digital releases, the song was marketed as 'Soju One Glass' due to the similarity of the phonetic pronunciation in English.",d7a0f563b10f437da85e249693a4be4a,,4
soju han jan,academy awards,The song was later renamed to a grammatically correct title to be eligible for nomination in the Best Original Song category at the Academy Awards.,d7a0f563b10f437da85e249693a4be4a,,4
