node_1,node_2,edge,chunk_id,edge_type,count
movie,summary,"A movie is a form of visual communication which uses moving pictures and sound to tell stories, entertain audiences, or convey information.",2c2efd3d17d04acdab051ca12c8776e1,,4
batman begins,christian bale,Christian Bale portrays the character Batman in the film Batman Begins.,035e3bd98dd0489ca37f51dd35a19919,,4
christian bale,bruce wayne,"In the film Batman Begins, Christian Bale plays the role of Bruce Wayne.",035e3bd98dd0489ca37f51dd35a19919,,4
batman begins,sir christopher nolan,Sir Christopher Nolan directed the film Batman Begins.,035e3bd98dd0489ca37f51dd35a19919,,4
batman begins,david s. goyer,David S. Goyer co-wrote the screenplay for Batman Begins.,035e3bd98dd0489ca37f51dd35a19919,,4
batman,dc comics character,Batman is a superhero character created by DC Comics.,035e3bd98dd0489ca37f51dd35a19919,,4
ra's al ghul,villain in batman begins,Ra's al Ghul is the main villain in the film Batman Begins.,035e3bd98dd0489ca37f51dd35a19919,,4
scarecrow,villain in batman begins,The Scarecrow is a villain character featured in Batman Begins.,035e3bd98dd0489ca37f51dd35a19919,,4
batman begins,warner bros. pictures,Warner Bros. Pictures produced and distributed the film Batman Begins.,035e3bd98dd0489ca37f51dd35a19919,,4
batman begins,revitalized batman character in popular culture,"Following the release of Batman Begins, the film helped popularize the term reboot in Hollywood, inspiring studios and filmmakers to revive franchises with realistic and serious tones. This led to a shift towards a darker and more serious tone and style for the Batman character in popular culture.",8d1a0db5cd8f4187b62dbe2b0424d7ec,,4
batman begins,influential film of the 2000s,"Since its release, Batman Begins has often been cited as one of the most influential films of the 2000s.",8d1a0db5cd8f4187b62dbe2b0424d7ec,,4
batman begins,nominated for academy award,"The film received a nomination for the Academy Award for Best Cinematography, elevating Bale to leading man status and making Nolan a high-profile director.",8d1a0db5cd8f4187b62dbe2b0424d7ec,,4
batman begins,sequel,"The Dark Knight, the sequel to Batman Begins, was released in 2008 and continued the darker and more serious tone established by this film.",8d1a0db5cd8f4187b62dbe2b0424d7ec,,4
batman begins,inspiration for comic book storylines,"Comic book storylines such as The Man Who Falls, Batman: Year One, and Batman: The Long Halloween served as inspiration for the film.",8d1a0db5cd8f4187b62dbe2b0424d7ec,,4
batman begins,production locations,"The film was principally shot in the United Kingdom, Iceland, and Chicago.",8d1a0db5cd8f4187b62dbe2b0424d7ec,,4
batman begins,computer-generated imagery,"Unlike other action films, computer-generated imagery was used in a minimal capacity compared to the poor reception of Batman & Robin that was credited with stalling the Batman film series in 1997.",8d1a0db5cd8f4187b62dbe2b0424d7ec,,4
batman begins,expectations,"Expectations for Batman Begins ranged from moderate to low, which originated from the poor reception of Batman & Robin that was credited with stalling the Batman film series in 1997.",8d1a0db5cd8f4187b62dbe2b0424d7ec,,4
batman begins,release date,"After premiering in Tokyo on May 31, 2005, the film was released on June 15, 2005.",8d1a0db5cd8f4187b62dbe2b0424d7ec,,4
batman begins,gross amount,"The film grossed over $371.9 million worldwide, becoming the ninth-highest-grossing film of 2005 and was the second highest grossing Batman film at the time behind Tim Burton's Batman (1989).",8d1a0db5cd8f4187b62dbe2b0424d7ec,,4
batman begins,critical reception,"The film received positive reviews from critics, who deemed the film an improvement over the Schumacher films.",8d1a0db5cd8f4187b62dbe2b0424d7ec,,4
reboot,realistic and serious tones,inspiring studios and filmmakers to revive franchises with,d704984d6de343ee87050e060d2479df,,4
the dark knight trilogy,the dark knight (2008) and the dark knight rises (2012),constituting,d704984d6de343ee87050e060d2479df,,4
bruce wayne,gotham city,"In Gotham City, after falling down a well and getting swarmed by bats,",d704984d6de343ee87050e060d2479df,,4
bat,bruce wayne,develops a fear of them.,d704984d6de343ee87050e060d2479df,,4
opera,bruce wayne,becomes unsettled by performers masquerading as bats and asks to leave.,d704984d6de343ee87050e060d2479df,,4
joe chill,murder of bruce wayne's parents,"Bruce Wayne intends to murder Chill to avenge his parents,",d704984d6de343ee87050e060d2479df,,4
rachel dawes,bruce wayne,"his childhood friend, Rachel Dawes, berates him for acting outside the justice system.",d704984d6de343ee87050e060d2479df,,4
falcone,chill,"who says real power comes from being feared,",d704984d6de343ee87050e060d2479df,,4
bruce wayne,fourteen years later,"fourteen years later,",d704984d6de343ee87050e060d2479df,,4
henri ducard,bruce wayne,"is approached by Henri Ducard, who recruits him to the League of Shadows,",d704984d6de343ee87050e060d2479df,,4
league of shadows,ra's al ghul,led by Ra's al Ghul.,d704984d6de343ee87050e060d2479df,,4
bruce wayne,league of shadows,"After completing his training, Bruce rejects the League and its mandate that killing is necessary.",d704984d6de343ee87050e060d2479df,,4
bruce wayne,ra's al ghul,Saves the unconscious,d704984d6de343ee87050e060d2479df,,4
killing,necessary,Batman's decision to take justice into his own hands through killing is necessary due to the failures of the authorities and the corruption rampant in Gotham.,5da4aef9196442e1bd9839148f64bfc3,,4
ra's,death,"Ra's, a criminal mastermind, is killed by falling debris during Batman's escape after burning down their temple.",5da4aef9196442e1bd9839148f64bfc3,,4
bruce,family's company,"After inheriting his family's company, Wayne Enterprises, Bruce takes an interest in it and delves into its inner workings with the help of Lucius Fox.",5da4aef9196442e1bd9839148f64bfc3,,4
william earle,taking public,"Businessman William Earle tries to take Bruce's family company, Wayne Enterprises, public against his wishes.",5da4aef9196442e1bd9839148f64bfc3,,4
batman,vigilante identity,"To fight crime and bring justice, Batman adopts a vigilante identity inspired by his childhood fear.",5da4aef9196442e1bd9839148f64bfc3,,4
bruce,playboy persona,"In public, Bruce poses as a shallow playboy to hide his true identity as Batman.",5da4aef9196442e1bd9839148f64bfc3,,4
batman,rachel,"While investigating a drug shipment, Batman provides Rachel with evidence against Falcone that leads to his arrest.",5da4aef9196442e1bd9839148f64bfc3,,4
falcone,crime,Criminal mastermind Falcone engages in crime and corruption in Gotham.,5da4aef9196442e1bd9839148f64bfc3,,4
crane,corrupt psychologist,"Dr. Jonathan Crane, a corrupt psychologist, smuggles drugs into Gotham with Falcone's help and later drives him insane.",5da4aef9196442e1bd9839148f64bfc3,,4
crane,fear-inducing hallucinogen,"Donning a scarecrow mask, Crane sprays Falcone with a fear-inducing hallucinogen and transfers him to Arkham Asylum.",5da4aef9196442e1bd9839148f64bfc3,,4
crane,corruption,"During Batman's investigation into Crane, he reveals his corruption by introducing drugs into Gotham's water supply and drugging its citizens.",5da4aef9196442e1bd9839148f64bfc3,,4
rachel,ada,Rachel becomes a Gotham Assistant District Attorney after inheriting her father's legacy.,5da4aef9196442e1bd9839148f64bfc3,,4
gordon,honest police officer,"Sergeant James Gordon, one of Gotham's few honest police officers, is an ally to Batman in his fight against crime.",5da4aef9196442e1bd9839148f64bfc3,,4
alfred,bruce's butler,"Alfred, Bruce's loyal butler, helps him escape from the scarecrow's hallucinogenic attack and assists Fox in developing an antidote for it.",5da4aef9196442e1bd9839148f64bfc3,,4
fox,lucius,"Lucius Fox, a friend of Bruce's father, allows him access to prototype defense technologies in his fight against crime.",5da4aef9196442e1bd9839148f64bfc3,,4
crane,rachel,"When Rachel accuses Crane of corruption, he reveals he has introduced his drug into Gotham's water supply and drugs her with the hallucinogen.",c97be8f10b0f4e759ca00ba9d5710e73,,4
crane,batman,Batman later subdues Crane and sprays him with his own chemical.,c97be8f10b0f4e759ca00ba9d5710e73,,4
rachel,gordon,Batman gives Rachel two vials: one for Gordon and the other for mass production.,c97be8f10b0f4e759ca00ba9d5710e73,,4
ducard,ra's al ghul,Ducard reappears and reveals himself to be the true Ra's al Ghul.,c97be8f10b0f4e759ca00ba9d5710e73,,4
wayne enterprises,ra's al ghul,"Ra's steals a powerful microwave emitter from Wayne Enterprises,",c97be8f10b0f4e759ca00ba9d5710e73,,4
alfred,bruce,Alfred rescues Bruce when Ducard sets Wayne Manor aflame and leaves Bruce to die.,c97be8f10b0f4e759ca00ba9d5710e73,,4
ra's al ghul,gotham's water supply,Ra's loads the emitter onto Gotham's monorail train to release the drug at the city's central water source.,c97be8f10b0f4e759ca00ba9d5710e73,,4
batman,rachel,Batman rescues Rachel from a drugged mob and reveals his identity to her.,c97be8f10b0f4e759ca00ba9d5710e73,,4
batman,gordon,"Sergeant Gordon is promoted to Lieutenant, shows Batman",c97be8f10b0f4e759ca00ba9d5710e73,,4
rachel,bruce,"Bruce gains Rachel's respect. However, she refuses to be with him, promising they can be together when Gotham no longer needs Batman.",c97be8f10b0f4e759ca00ba9d5710e73,,4
batman,ra's al ghul,Batman confronts Ra's on the train as Gordon uses the Tumbler's cannons to destroy a section of the track.,c97be8f10b0f4e759ca00ba9d5710e73,,4
batman,crane,Crane claims to work for Ra's al Ghul,c97be8f10b0f4e759ca00ba9d5710e73,,4
bruce,earle,Bruce fires Earle and replaces him with Fox.,c1643614024f499d97afee58fb4c9fe3,,4
gordon,lieutenant,"Sergeant Gordon is promoted to Lieutenant,",c1643614024f499d97afee58fb4c9fe3,,4
batman,criminal with joker playing cards,Batman promises to look into it and disappears into the night.,c1643614024f499d97afee58fb4c9fe3,,4
arnold flass,gordon's corrupt partner,"Cast member Mark Boone Junior plays Arnold Flass, Gordon's corrupt partner",c1643614024f499d97afee58fb4c9fe3,,4
thomas wayne,bruce's late father,"Linus Roache portrays Thomas Wayne, Bruce's late father.",c1643614024f499d97afee58fb4c9fe3,,4
carl finch,district attorney,"Larry Holden portrays district attorney Carl Finch,",c1643614024f499d97afee58fb4c9fe3,,4
gillian b. loeb,police commissioner,"Colin McFarlane plays Gillian B. Loeb, the police commissioner,",c1643614024f499d97afee58fb4c9fe3,,4
jessica,william earle's secretary,"Christine Adams portrays Jessica, William Earle's secretary,",c1643614024f499d97afee58fb4c9fe3,,4
asian prisoner,old asian prisoner,"Vincent Wong plays an old Asian prisoner,",c1643614024f499d97afee58fb4c9fe3,,4
martha wayne,bruce's late mother,"Sara Stewart portrays Martha Wayne, Bruce's late mother,",c1643614024f499d97afee58fb4c9fe3,,4
joe chill,waynes' killer,"Richard Brake plays Joe Chill, the Waynes' killer,",c1643614024f499d97afee58fb4c9fe3,,4
high court judge faden,corrupt high court judge faden,"Gerard Murphy portrays corrupt High Court Judge Faden,",c1643614024f499d97afee58fb4c9fe3,,4
bruce,gotham city,"Batman is the last person to meet Bruce when he leaves Gotham City,",c1643614024f499d97afee58fb4c9fe3,,4
joffrey baratheon,young admirer of batman,"Jack Gleeson, who had previously co-starred with Bale in 2002's Reign of Fire and later found fame for his role as Joffrey Baratheon in the HBO series Game of Thrones, appears as a young admirer of Batman who is later saved by him from Ra's al Ghul's men;",c1643614024f499d97afee58fb4c9fe3,,4
batman,gleeson,appears as a young admirer of Batman who is later saved by him from Ra’s al Ghul’s men; Gleeson was cast at Bale's recommendation.,e8e37678f9a44ab8832349e3c51d8f03,,4
league of shadows,"john foo, joey ansah, spencer wilding, dave legeno, khan bonfils, mark strange, grant guirey, rodney ryan and dean alexandrou",portray members of the League of Shadows.,e8e37678f9a44ab8832349e3c51d8f03,,4
humanity and realism,"warner bros., christopher nolan","intention to reinvent the film franchise of Batman by ""doing the origins story of the character, which is a story that's never been told before"".",e8e37678f9a44ab8832349e3c51d8f03,,4
origin film,bruce wayne,"Nolan stated his intention to reinvent the film franchise of Batman by ""doing the origins story of the character, which is a story that's never been told before"".",e8e37678f9a44ab8832349e3c51d8f03,,4
richard donner’s 1978 film superman,christopher nolan,"Nolan felt the previous films were exercises in style rather than drama, and described his inspiration as being Richard Donner’s 1978 film Superman, in its focus on depicting the character’s growth.",e8e37678f9a44ab8832349e3c51d8f03,,4
all-star supporting cast,christopher nolan,Nolan wanted an all-star supporting cast for Batman Begins to lend a more epic feel and credibility to the story.,e8e37678f9a44ab8832349e3c51d8f03,,4
epic feel and credibility,all-star supporting cast,Nolan wanted an all-star supporting cast for Batman Begins to lend a more epic feel and credibility to the story.,e8e37678f9a44ab8832349e3c51d8f03,,4
david s. goyer,warner bros.,signed on to write the script two months after Warner Bros. Hired Christopher Nolan to direct an untitled Batman film.,e8e37678f9a44ab8832349e3c51d8f03,,4
batman begins,epic feel and credibility,Goyer wanted to reboot the franchise by lending a more epic feel and credibility to the story.,20d97024125845d7a067fcd291481c63,,4
christopher nolan,romantic character,"Nolan envisioned a large, sweeping film like Lawrence of Arabia and saw Batman as a romantic character.",20d97024125845d7a067fcd291481c63,,4
batman begins,warner bros. requirements,"Nolan did not have a problem with the requirement that the film not be R-rated, as he wanted to make the film that he wanted to see when he was 11 years old.",20d97024125845d7a067fcd291481c63,,4
batman begins,young bruce wayne falling into a well,"The early scene in Batman Begins of young Bruce Wayne falling into a well was adapted from 'The Man Who Falls', a short story by Denny O'Neil and Dick Giordano about Bruce's travels throughout the world.",20d97024125845d7a067fcd291481c63,,4
batman begins,jeph loeb and tim sale's 'batman: the long halloween',"The writers considered having Harvey Dent in the film, but replaced him with the new character Rachel Dawes when they realized they 'couldn't do him justice.' The character was later portrayed by Aaron Eckhart in the 2008 sequel 'The Dark Knight.'",20d97024125845d7a067fcd291481c63,,4
batman begins,batman: year one,The film's events in the transpiring years were helped set up by the vacancy of Bruce Wayne's multi-year absence presented in Batman: Year One.,20d97024125845d7a067fcd291481c63,,4
batman: year one,batman begins,"The film's Sergeant James 'Jim' Gordon was based on his comic book incarnation as seen in Year One. The writers of Batman Begins also used Frank Miller's Year One plot device, which was about a corrupt police force that led to Gordon and Gotham City’s need for Batman.",988df243ae7a4acc9f46556041259b58,,4
bruce,bats,"By ignoring the idea in the comics that Bruce saw a Zorro film with his parents before they were murdered, it emphasizes the importance of bats to Bruce and that becoming a superhero is a wholly original idea on his part.",988df243ae7a4acc9f46556041259b58,,4
vatnajökull glacier,bhutan,Filming began in March 2004 in the Vatnajökull glacier in Iceland (standing in for Bhutan).,988df243ae7a4acc9f46556041259b58,,4
london,gotham city,Nolan shot exteriors in London as he wanted the city to seem recognizable for representing Gotham City.,152c4d96323f463eaed6eb160bec5d71,,4
shepperton studios,batcave,"A Batcave set was built at Shepperton Studios with a size of 250 feet (76 m) long, 120 feet (37 m) wide, and 40 feet (12 m) high.",152c4d96323f463eaed6eb160bec5d71,,4
cardington,airship hangar,An airship hangar at Cardington was rented by Warner Bros. During April 2004 for filming the slum-district of 'the Narrows' and the feet of the monorails.,152c4d96323f463eaed6eb160bec5d71,,4
mentmore towers,wayne manor,"Mentmore Towers was chosen from twenty different locations for Wayne Manor, as Nolan and Crowley liked its white floors, which gave the impression of the manor as a memorial to Wayne's parents.",152c4d96323f463eaed6eb160bec5d71,,4
cardington,arkham,The building chosen to represent Arkham,152c4d96323f463eaed6eb160bec5d71,,4
crowley,memorial,"Crowley liked its white floors, which gave the impression of the manor as a memorial to Wayne's parents.",06d160b824bd4fbcb76502ae6fbe0360,,4
wayne's parents,memorial,...gave the impression of the manor as a memorial to Wayne's parents.,06d160b824bd4fbcb76502ae6fbe0360,,4
national institute for medical research building,arkham asylum,"[56] The building chosen to represent Arkham Asylum was the National Institute for Medical Research building in Mill Hill, northwest London, England.",06d160b824bd4fbcb76502ae6fbe0360,,4
abbey mills pumping stations,arkham's interiors,[53] The St Pancras railway station and the Abbey Mills Pumping Stations were used for Arkham's interiors.,06d160b824bd4fbcb76502ae6fbe0360,,4
senate house of university college london,courtrooms,[53] The Senate House of University College London was used for courtrooms.,06d160b824bd4fbcb76502ae6fbe0360,,4
lower wacker drive,tumbler pursuit,"[20] Some scenes, including the Tumbler pursuit, were filmed in Chicago at locations such as Lower Wacker Drive and 35 East Wacker.",06d160b824bd4fbcb76502ae6fbe0360,,4
franklin street bridge,closure of access to the narrows,Authorities agreed to raise Franklin Street Bridge for a scene where access to the Narrows is closed.[20],06d160b824bd4fbcb76502ae6fbe0360,,4
bruce wayne,split personality,"The score for Batman Begins was composed by Hans Zimmer and James Newton Howard. Nolan originally invited Zimmer to compose the music, and Zimmer asked Nolan if he could invite Howard to compose as well, as they had always planned a collaboration.",06d160b824bd4fbcb76502ae6fbe0360,,4
bruce wayne,alter ego batman,"The two composers collaborated on separate themes for the 'split personality' of Bruce Wayne and his alter ego, Batman.",06d160b824bd4fbcb76502ae6fbe0360,,4
blade runner,batman begins,"source of inspiration for the attitude and style drawn from Blade Runner by Christopher Nolan, Paul Pfister, and two others.",acc0ea3dc19c416fbb04fc770d841d6c,,4
christopher nolan,batman begins,director of the movie Batman Begins,acc0ea3dc19c416fbb04fc770d841d6c,,4
paul pfister,batman begins,cinematographer for the movie Batman Begins,acc0ea3dc19c416fbb04fc770d841d6c,,4
hans zimmer,composing,task performed by Hans Zimmer in relation to the movie Batman Begins,acc0ea3dc19c416fbb04fc770d841d6c,,4
james newton howard,dramatic scenes,focus area for James Newton Howard's contribution to the music of the movie Batman Begins,acc0ea3dc19c416fbb04fc770d841d6c,,4
action sequences,hans zimmer,area of expertise for Hans Zimmer's contribution to the music of the movie Batman Begins,acc0ea3dc19c416fbb04fc770d841d6c,,4
boy soprano,music in some of the film's scenes where tragic memories of bruce wayne's parents are involved,role played by a boy soprano in the music for the movie Batman Begins,acc0ea3dc19c416fbb04fc770d841d6c,,4
more than the normal number of cellos,hans zimmer's approach to developing the orchestra for the score of batman begins,reason behind using more than the normal number of cellos in the orchestra for Batman Begins,acc0ea3dc19c416fbb04fc770d841d6c,,4
production designer nathan crowley,gotham city,"Nolan worked with Nathan Crowley to create the look of Gotham City. The city was designed as a large, modern metropolitan area that would reflect the various periods of architecture that the city had gone through by drawing elements from New York City, Chicago, and Tokyo.",025245a1ba174fc0b9a5fa39517472e3,,4
gotham city,the narrows,The Narrows was based on the slummish nature of the (now demolished) walled city of Kowloon in Hong Kong.,025245a1ba174fc0b9a5fa39517472e3,,4
production designer nathan crowley,tumbler,Crowley started the process of designing the Tumbler for the film by model bashing.,025245a1ba174fc0b9a5fa39517472e3,,4
tumbler,six models of the tumbler,Six models of the Tumbler were built to 1:12 scale in the course of four months.,025245a1ba174fc0b9a5fa39517472e3,,4
tumbler,steel 'test frame',"Following the scale model creation, a crew of over 30 people carved a full-size replica of the Tumbler out of a large block of Styrofoam in two months. The styrofoam model was used to create a steel 'test frame'.",025245a1ba174fc0b9a5fa39517472e3,,4
steel 'test frame',speed,"The steel 'test frame' had to stand up to several standards, including having a speed of over 100 miles per hour (160 km/h).",025245a1ba174fc0b9a5fa39517472e3,,4
steel 'test frame',standards,"had to stand up to several standards including a speed of over 100 miles per hour, go from 0 to 60 miles per hour in 5 seconds, possess a steering system to make sharp turns at city corners, and withstand a self-propelled launch of up to 30 feet.",1f0837e9c85b46a3ae2b9dfa267e355c,,4
chevy v8 engine,tumbler,was included in the newly designed Tumbler configuration,1f0837e9c85b46a3ae2b9dfa267e355c,,4
truck axle,tumbler,was used for the rear axle of the Tumbler,1f0837e9c85b46a3ae2b9dfa267e355c,,4
front tires by hoosier,tumbler,were actually dirt racing tires used on the right rear of open wheel sprint cars and were included in the basic configuration of the newly designed Tumbler,1f0837e9c85b46a3ae2b9dfa267e355c,,4
4 rear 44/18.5-16.5 interco super swamper tsl tires,tumbler,were part of the suspension system of Baja racing trucks and were included in the basic configuration of the newly designed Tumbler,1f0837e9c85b46a3ae2b9dfa267e355c,,4
