node_1,node_2,edge,chunk_id,node_3,count
avengers: infinity war,marvel studios,Announcement made by Marvel Studios in October 2014 for the production of Avengers: Infinity War and Avengers: Endgame.,0a5b80aa827741488a740f4e2aae48d6,,4
avengers: infinity war,anthony and joe russo,Directors hired by Marvel Studios in April 2015 for the production of Avengers: Infinity War and Avengers: Endgame.,0a5b80aa827741488a740f4e2aae48d6,,4
avengers: infinity war,christopher markus,"Screenwriter, along with Stephen McFeely, signed on by Marvel Studios in May 2015 for the production of Avengers: Infinity War and Avengers: Endgame.",0a5b80aa827741488a740f4e2aae48d6,,4
avengers: infinity war,stephen mcfeely,"Screenwriter, along with Christopher Markus, signed on by Marvel Studios in May 2015 for the production of Avengers: Infinity War and Avengers: Endgame.",0a5b80aa827741488a740f4e2aae48d6,,4
avengers: infinity war,pinewood atlanta studios,Principal photography began here in January 2017 for the production of Avengers: Infinity War and Avengers: Endgame.,0a5b80aa827741488a740f4e2aae48d6,,4
avengers: infinity war,trent opaloch,Director of photography during principal photography for the production of Avengers: Infinity War and Avengers: Endgame.,0a5b80aa827741488a740f4e2aae48d6,,4
avengers: infinity war,mary lou,Working title used during principal photography for the production of Avengers: Infinity War and Avengers: Endgame.,0a5b80aa827741488a740f4e2aae48d6,,4
marvel studios,christopher markus,"Collaborated with Marvel Studios for the screenplay of Avengers: Infinity War and Avengers: Endgame, as announced in May 2015.",0a5b80aa827741488a740f4e2aae48d6,,4
marvel studios,stephen mcfeely,"Collaborated with Marvel Studios for the screenplay of Avengers: Infinity War and Avengers: Endgame, as announced in May 2015.",0a5b80aa827741488a740f4e2aae48d6,,4
marvel studios,anthony and joe russo,"Directed Avengers: Infinity War and Avengers: Endgame for Marvel Studios, as announced in April 2015.",0a5b80aa827741488a740f4e2aae48d6,,4
avengers: endgame,avengers: infinity war,"The release dates of Avengers: Infinity War (May 4, 2018) and Avengers: Endgame (May 3, 2019) were announced by Marvel Studios in October 2014.",0a5b80aa827741488a740f4e2aae48d6,,4
avengers: endgame,two-part sequel to avengers: age of ultron,Announced as part of the two-part Infinity War storyline by Marvel Studios in April 2015.,0a5b80aa827741488a740f4e2aae48d6,,4
avengers: endgame,marvel studios,"Production company responsible for the production of Avengers: Endgame, as announced by Marvel Studios in April 2015.",0a5b80aa827741488a740f4e2aae48d6,,4
avengers: endgame,kevin feige,"Producer of Avengers: Endgame, as mentioned by him in June 2016.",0a5b80aa827741488a740f4e2aae48d6,,4
infinity war,imax digital cameras,"Infinity War was shot entirely using ARRI Alexa IMAX 2D cameras, marking the first time a Hollywood feature film was done so.",ac26e1a86aca4514a2e15c20de607edc,,4
mary lou,pinewood atlanta studios,"At Pinewood Atlanta Studios in Fayette County, Georgia, Mary Lou was filmed under the working title.",ac26e1a86aca4514a2e15c20de607edc,,4
tony stark,iron man,Robert Downey Jr. played both Tony Stark and Iron Man in Infinity War.,ac26e1a86aca4514a2e15c20de607edc,,4
peter quill,star-lord,"Chris Pratt played Peter Quill, also known as Star-Lord, in Infinity War.",ac26e1a86aca4514a2e15c20de607edc,,4
peter parker,spider-man,Tom Holland portrayed both Peter Parker and Spider-Man in the film.,ac26e1a86aca4514a2e15c20de607edc,,4
edinburgh,glasgow,"Additional filming for Infinity War took place in Edinburgh, Glasgow, and the Scottish Highlands.",ac26e1a86aca4514a2e15c20de607edc,Scottish Highlands,4
wardpark studios,cumbernauld,Studio work for Infinity War was done at Wardpark Studios in Cumbernauld.,ac26e1a86aca4514a2e15c20de607edc,,4
downtown atlanta,central park,"Fiming for Infinity War took place in Downtown Atlanta, Central Park, and Queens, New York.",ac26e1a86aca4514a2e15c20de607edc,"Queens, New York",4
thanos,nipa hut,"To film the final scene of Infinity War, where Thanos settles in a nipa hut, footage was acquired from Indochina Productions, a studio based in Thailand.",ac26e1a86aca4514a2e15c20de607edc,Philippines,4
disney,united states,"In early March 2018, Disney moved the release of Infinity War in the United States to April 27, 2018.",ac26e1a86aca4514a2e15c20de607edc,,4
infinity war,disney,"In early March 2018, Disney moved the release of Infinity War in the United States to April 27, 2018, to have it be released the same weekend as some of its international markets.",89659b5a8f4242c5a22107b366229762,,4
infinity war,most expensive films ever made,"With an estimated budget in the range of $325–400 million, Infinity War is one of the most expensive films ever made.",89659b5a8f4242c5a22107b366229762,,4
infinity war,visual effects,"Visual effects for the film were created by Industrial Light & Magic, Framestore, Method Studios, Weta Digital, DNEG, Cinesite, Digital Domain, Rise, and Lola VFX.",89659b5a8f4242c5a22107b366229762,,4
evans,infinity war,"Chris Evans, who portrays Steve Rogers / Captain America in the Marvel Cinematic Universe, returns to his role for Avengers: Infinity War.",89659b5a8f4242c5a22107b366229762,,4
hemsworth,infinity war,"Chris Hemsworth, who portrays Thor in the Marvel Cinematic Universe, returns to his role for Avengers: Infinity War.",89659b5a8f4242c5a22107b366229762,,4
hemsworth,earned $15 million,Both Evans and Hemsworth earned $15 million for the film.,89659b5a8f4242c5a22107b366229762,,4
