node_1,node_2,edge,chunk_id,edge1,count
movie,summary,"A MOVIE is represented by its SUMMARY, which provides a brief description of the plot or storyline of the movie.",7fbb1f88bccd4a0097c98308fc29e7fa,,4
whiplash,psychological drama,Whiplash is a psychological drama film.,35d7fab6b11e4a6d885a239af505aa41,,4
whiplash,2014,Whiplash was released in 2014.,35d7fab6b11e4a6d885a239af505aa41,,4
whiplash,american,Whiplash is an American film.,35d7fab6b11e4a6d885a239af505aa41,,4
damien chazelle,whiplash,Damien Chazelle wrote and directed the film Whiplash.,35d7fab6b11e4a6d885a239af505aa41,,4
miles teller,whiplash,Miles Teller starred in the film Whiplash.,35d7fab6b11e4a6d885a239af505aa41,,4
j. k. simmons,whiplash,J. K. Simmons appeared in the film Whiplash.,35d7fab6b11e4a6d885a239af505aa41,,4
paul reiser,whiplash,Paul Reiser appeared in the film Whiplash.,35d7fab6b11e4a6d885a239af505aa41,,4
melissa benoist,whiplash,Melissa Benoist appeared in the film Whiplash.,35d7fab6b11e4a6d885a239af505aa41,,4
sony pictures,whiplash,Sony Pictures acquired distribution rights for Whiplash.,35d7fab6b11e4a6d885a239af505aa41,,4
bold films,whiplash,Bold Films produced Whiplash.,35d7fab6b11e4a6d885a239af505aa41,,4
blumhouse productions,whiplash,Blumhouse Productions helped produce Whiplash.,35d7fab6b11e4a6d885a239af505aa41,,4
right of way films,whiplash,Right of Way Films helped produce Whiplash.,35d7fab6b11e4a6d885a239af505aa41,,4
shaffer conservatory,whiplash,The fictional Shaffer Conservatory is featured in the film Whiplash.,35d7fab6b11e4a6d885a239af505aa41,,4
psychological drama film,"concepts of perfectionism, dedication, and success","Whiplash explores concepts of perfectionism, dedication, and success.",35d7fab6b11e4a6d885a239af505aa41,,4
drama,whiplash,Whiplash is a drama film.,35d7fab6b11e4a6d885a239af505aa41,,4
audience award,whiplash,Whiplash won the Audience Award at the 2014 Sundance Film Festival.,35d7fab6b11e4a6d885a239af505aa41,,4
grand jury prize for drama,whiplash,Whiplash won the Grand Jury Prize for drama at the 2014 Sundance Film Festival.,35d7fab6b11e4a6d885a239af505aa41,,4
sundance film festival,whiplash,Whiplash premiered in competition at the 2014 Sundance Film Festival.,35d7fab6b11e4a6d885a239af505aa41,,4
andrew neiman,shaffer conservatory,attends prestigious Shaffer Conservatory in New York City hoping to leave a legacy like that of his idol Buddy Rich.,d05984bb848a4b2690f075a93eb9dbf0,,4
andrew neiman,terence fletcher,"Recruited by Terence Fletcher, the conductor of the Shaffer Conservatory Studio Band, to play in the Studio ensemble as an alternate for core drummer Carl Tanner.",d05984bb848a4b2690f075a93eb9dbf0,,4
terence fletcher,verbally and physically abusive towards his students,"Although encouraging at first, Terence Fletcher is relentlessly strict and verbally and physically abusive towards his students.",d05984bb848a4b2690f075a93eb9dbf0,,4
andrew neiman,hank levy's 'whiplash',Failures to keep tempo on Hank Levy's 'Whiplash' during his first ensemble.,d05984bb848a4b2690f075a93eb9dbf0,,4
whiplash (film),academy awards,The film won Academy Awards for Best Film Editing and Best Sound Mixing.,d05984bb848a4b2690f075a93eb9dbf0,,4
whiplash (film),best picture,Was nominated for Best Picture.,d05984bb848a4b2690f075a93eb9dbf0,,4
miles teller,jazz drummer andrew neiman,Plays the character of Jazz drummer Andrew Neiman.,d05984bb848a4b2690f075a93eb9dbf0,,4
buddy rich,andrew neiman's idol,Andrew Neiman hopes to leave a legacy like that of his idol Buddy Rich.,d05984bb848a4b2690f075a93eb9dbf0,,4
carl tanner,core drummer for terence fletcher's studio ensemble,Andrew is recruited as an alternate for core drummer Carl Tanner in Terence Fletcher's Studio ensemble.,d05984bb848a4b2690f075a93eb9dbf0,,4
fletcher,andrew,"strict and verbally and physically abusive towards his students. When Andrew fails to keep tempo on Hank Levy's 'Whiplash' during his first ensemble rehearsal, Fletcher throws a chair at him, slaps his face, and berates him.",eaee301ce74a445e83781cb8eb4e083b,,4
fletcher,tanner,slights Tanner by replacing him with Andrew during their first set at a jazz competition after Andrew misplaces Tanner's sheet music.,eaee301ce74a445e83781cb8eb4e083b,,4
andrew,tanner,"misplaces Tanner's sheet music during their first set at a jazz competition, causing Fletcher to replace him with Andrew.",eaee301ce74a445e83781cb8eb4e083b,,4
ryan connolly,andrew,"Fletcher abruptly reassigns the core drummer position from Andrew to Ryan Connolly, a drummer from a lower-level ensemble within Shaffer.",eaee301ce74a445e83781cb8eb4e083b,,4
nicole,andrew,"clashes with his family and breaks up with Nicole, to focus on his ambitions.",eaee301ce74a445e83781cb8eb4e083b,,4
sean casey,fletcher,"Begins rehearsal by announcing that Sean Casey, a former member of the Studio Band, died in a car accident.",eaee301ce74a445e83781cb8eb4e083b,,4
drummers,fletcher,"Pushes the three drummers to play at a faster tempo on 'Caravan', keeping them for a grueling five-hour practice before Andrew earns back the core position.",eaee301ce74a445e83781cb8eb4e083b,,4
andrew,bus,Arrives late to the next competition due to his bus getting a flat tire.,eaee301ce74a445e83781cb8eb4e083b,,4
andrew,rental office,"Forgets his drumsticks at the rental office, irritating Fletcher.",eaee301ce74a445e83781cb8eb4e083b,,4
andrew,car,"His car is hit by a truck on the way back, leaving him heavily injured and he crawls from the wreckage and runs to the theater, arriving bloodied.",eaee301ce74a445e83781cb8eb4e083b,,4
andrew,theater,"crawls from the wreckage and runs to the theater, arriving bloodied and weak just as the ensemble enters the stage",1f697f8952c0425da0c2bbe44720b763,,4
andrew,fletcher,Attacks Fletcher onstage and as a result is expelled from Shaffer.,1f697f8952c0425da0c2bbe44720b763,,4
sean casey,fletcher,Suffers from depression and anxiety inflicted by Fletcher's abuse.,1f697f8952c0425da0c2bbe44720b763,Parents want Fletcher held accountable.,4
andrew,fletcher,Meets a lawyer representing the parents of the late Sean Casey.,1f697f8952c0425da0c2bbe44720b763,"Reluctantly agrees to testify anonymously, leading Shaffer to terminate Fletcher.",4
andrew,fletcher,Encounters Fletcher months later playing piano at a jazz club.,1f697f8952c0425da0c2bbe44720b763,"Over a drink, Fletcher admits his teaching methods were harsh but insists they were necessary to motivate his students.",4
jo jones,charlie parker,Cites a story where Jo Jones allegedly threw a cymbal at Charlie Parker as an example.,1f697f8952c0425da0c2bbe44720b763,Fletcher says that the next jazz musician to live up to Parker's legacy would never let discouragement stop them.,4
nicole,andrew,Calls Nicole to invite her to the performance but learns she is in a new relationship.,1f697f8952c0425da0c2bbe44720b763,Fletcher tells Andrew he knows he testified against him.,4
short film,sundance film festival,the short film 'Right of Way' debuted at the Sundance Film Festival and received acclaim,02f2195f13b541fda3075ac314862261,,4
chazelle,la la land,writer-director Damien Chazelle wrote the film 'Whiplash' initially in frustration while trying to get his musical 'La La Land' off the ground,02f2195f13b541fda3075ac314862261,,4
neiman,johnny simmons,Neiman was portrayed by Johnny Simmons in the short film 'Right of Way',02f2195f13b541fda3075ac314862261,,4
fletcher,j. k. simmons,Fletcher was portrayed by J. K. Simmons (no relation) in the short film 'Right of Way',02f2195f13b541fda3075ac314862261,,4
princeton high school,damien chazelle,writer-director Damien Chazelle was in a Studio Band while attending Princeton High School,02f2195f13b541fda3075ac314862261,,4
terence fletcher,chazelle's former band instructor,conductor Terence Fletcher was based on Chazelle's former band instructor in the film 'Whiplash',02f2195f13b541fda3075ac314862261,,4
buddy rich,terence fletcher,elements of Buddy Rich were added to the character of Terence Fletcher in the film 'Whiplash',02f2195f13b541fda3075ac314862261,,4
feature-length film,script,"Financing for the feature-length film was made possible by the success of the script at the Sundance Film Festival, which attracted investors.",0cb31e5fc01a42e78605a9d09f35f20f,,4
miles teller,johnny simmons,Both actors appeared in the short film version of the script and Miles Teller took on the role originated by Johnny Simmons for the feature-length version.,0cb31e5fc01a42e78605a9d09f35f20f,,4
j. k. simmons,human being,"Chazelle encouraged J. K. Simmons to portray a monster, gargoyle, or animal instead of a human being in the film.",0cb31e5fc01a42e78605a9d09f35f20f,,4
j. k. simmons,real musicians and music students,Chazelle tried to capture the expressions of fear and anxiety on the faces of real musicians and music students when directed by J. K. Simmons.,0cb31e5fc01a42e78605a9d09f35f20f,,4
miles teller,real musicians and music students,Miles Teller performed much of the drumming seen in the film as he had taught himself to play drums at age fifteen.,0cb31e5fc01a42e78605a9d09f35f20f,,4
hotel barclay,principal photography locations,Principal photography for the film took place at the Hotel Barclay.,0cb31e5fc01a42e78605a9d09f35f20f,,4
palace theater,principal photography locations,Principal photography for the film took place at the Palace Theater.,0cb31e5fc01a42e78605a9d09f35f20f,,4
orpheum theatre,principal photography locations,Principal photography for the film took place at the Orpheum Theatre.,0cb31e5fc01a42e78605a9d09f35f20f,,4
wrapping the shoot,time,set the following day to,7f85536bce72498f94812dcc43c116d3,,4
teller,drums,played drums at age fifteen,7f85536bce72498f94812dcc43c116d3,,4
nate lang,jazz drumming,trained Teller in the specifics of jazz drumming,7f85536bce72498f94812dcc43c116d3,,4
kyle crane,drum double,served as Teller's drum double for certain scenes,7f85536bce72498f94812dcc43c116d3,,4
north america,limited release,"opened in a limited release on October 10, 2014",7f85536bce72498f94812dcc43c116d3,,4
whiplash,$7 million,"As of October 3, 2024, Whiplash grossed $14 million in the U.S. And Canada and $36.3 million in other territories, for a worldwide total of $50.4 million against a budget of $3.3 million.",79b86c7714f849ef90c9443168ec207d,,4
whiplash,1000 locations,expanded nationwide to 1000 locations,79b86c7714f849ef90c9443168ec207d,,4
whiplash,five academy awards nominations,finally expanded nationwide to 1000 locations to capitalize on receiving five Academy Awards nominations.,79b86c7714f849ef90c9443168ec207d,,4
whiplash,"intense, inspiring, and well-acted",Rotten Tomatoes score,79b86c7714f849ef90c9443168ec207d,,4
whiplash,universal acclaim,Metacritic score,79b86c7714f849ef90c9443168ec207d,,4
j. k. simmons,best supporting actor,won the 2015 Academy Award for Best Supporting Actor.,79b86c7714f849ef90c9443168ec207d,,4
miles teller,intense and volatile performance,Peter Debruge's review,79b86c7714f849ef90c9443168ec207d,,4
whiplash,simmons,"Simmons delivers a captivating performance in the film 'Whiplash', which showcases his character's profanity and unconventional behavior. The character is complex and compelling, making him an exciting co-lead part for Simmons.",dc6ab0acb0c94c13b75b83bd4384cdc0,,4
whiplash,chazelle's direction and editing,"Chazelle's direction and editing in 'Whiplash' are sharp, gripping, and beautifully edited by Tom Cross. The film has a rhythm that is both informative and patient with its characters and the things that matter to them.",dc6ab0acb0c94c13b75b83bd4384cdc0,,4
whiplash,jazz music,"In 'Whiplash', Chazelle's film professes its love for both music and characters equally. It is a rare film about music that does not sacrifice either the music or the characters.",dc6ab0acb0c94c13b75b83bd4384cdc0,,4
whiplash,fletcher,"In 'Whiplash', Fletcher isn't making a Charlie Parker, but rather, a type of musician who would throw a cymbal at him. This distorts jazz history and promotes a misleading idea of genius.",dc6ab0acb0c94c13b75b83bd4384cdc0,,4
whiplash,cinema,"In 'Whiplash', Chazelle doesn't honor neither jazz nor cinema.",dc6ab0acb0c94c13b75b83bd4384cdc0,,4
whiplash,jazz,The New Yorker critic Richard Brody stated that the film 'Whiplash' does not honor jazz.,56b7342a383149dfab756316eb9acb9f,,4
whiplash,cinema,Brody also remarked that the film doesn't appreciate cinema.,56b7342a383149dfab756316eb9acb9f,,4
whiplash (short),whiplash,"The feature-length version of 'Whiplash' was originally planned to compete for the Academy Award for Best Original Screenplay, but it ultimately contested in the Adapted Screenplay category due to the short film version premiering at the 2013 Sundance Film Festival.",56b7342a383149dfab756316eb9acb9f,,4
whiplash (short),investors,"The feature-length film's script was written before the short version, and the latter was produced to attract investors for the former.",56b7342a383149dfab756316eb9acb9f,,4
whiplash (feature),sundance film festival,The feature-length film 'Whiplash' won the top audience and grand jury awards in the U.S. dramatic competition at the 2014 Sundance Film Festival.,56b7342a383149dfab756316eb9acb9f,,4
"chazelle, damien",whiplash (short),Chazelle's short film of the same name received the jury award in the U.S. fiction category at the 2013 Sundance Film Festival.,56b7342a383149dfab756316eb9acb9f,,4
whiplash (feature),critics' end-of-year lists,The film appeared on many critics' end-of-year lists.,56b7342a383149dfab756316eb9acb9f,,4
whiplash (feature),metacritic,"Metacritic analyzed the lists published by major film critics and publications, recording that 'Whiplash' appeared on 57 lists in total.",56b7342a383149dfab756316eb9acb9f,,4
whiplash (feature),ranked,Overall the film was ranked in 5th place for the year by Metacritic.,56b7342a383149dfab756316eb9acb9f,,4
deauville american film festival,whiplash (feature),The feature-length film 'Whiplash' also took the grand prize and the audience award for its favorite film at the 40th Deauville American Film Festival.,56b7342a383149dfab756316eb9acb9f,,4
writers guild of america,screenplay,The Writers Guild of America categorized the screenplay as original.,5c34278667024f2d904f1a5e50867f3d,,4
ampas,classed it as an adaptation,"At the 87th Academy Awards, AMPAS classed it as an adaptation of the 2013 short version.",5c34278667024f2d904f1a5e50867f3d,,4
j. k. simmons,best supporting actor,J. K. Simmons received the Academy Award for Best Supporting Actor for his performance.,5c34278667024f2d904f1a5e50867f3d,,4
tom cross,academy award for best film editing,Tom Cross won the Academy Award for Best Film Editing,5c34278667024f2d904f1a5e50867f3d,,4
"craig mann, ben wilkins, thomas curley",best sound mixing,"Craig Mann, Ben Wilkins, and Thomas Curley won the Academy Award for Best Sound Mixing",5c34278667024f2d904f1a5e50867f3d,,4
score,grammy nomination,"In December 2015, the score received a Grammy nomination,",5c34278667024f2d904f1a5e50867f3d,,4
film,nme award for best film,The film was nominated for the NME Award for Best Film.,5c34278667024f2d904f1a5e50867f3d,,4
"empire's list of ""the 100 greatest movies of the 21st century""",ranked 13,"In 2020, it ranked 13 on Empire's list of ""The 100 Greatest Movies Of The 21st Century."" ",5c34278667024f2d904f1a5e50867f3d,,4
sundance film festival's top 10 films of all time,result of a survey conducted with 500 filmmakers and critics in honor of the festival's 40th anniversary,"In 2024, it topped the list of the Sundance Film Festival's Top 10 Films of All Time as the result of a survey conducted with 500 filmmakers and critics in honor of the festival's 40th anniversary.",5c34278667024f2d904f1a5e50867f3d,,4
new 4k remaster of the film,"theatrical release on september 20, 2024","To celebrate the film's 10th anniversary, a new 4K remaster of the film was released theatrically on September 20, 2024,",5c34278667024f2d904f1a5e50867f3d,,4
special anniversary screening at the 2024 toronto international film festival,september 9,following a special anniversary screening at the 2024 Toronto International Film Festival on September 9.,5c34278667024f2d904f1a5e50867f3d,,4
