node_1,node_2,edge,chunk_id,description,count
a beautiful mind,schizophrenia-themed film,"Ron Howard planned to direct a schizophrenia-themed film called Laws of Madness, based on the true story of schizophrenic Michael Laudor. After Laudor killed his fiancée in 1998 during a psychotic episode, plans for the movie were cancelled.",c2479de3c41d4b2d91cb4e46b573bb17,,4
a beautiful mind,sylvia nasar's book a beautiful mind,Producer Brian Grazer first read an excerpt of Sylvia Nasar's 1998 book A Beautiful Mind in Vanity Fair magazine and immediately purchased the rights to the film.,c2479de3c41d4b2d91cb4e46b573bb17,,4
ron howard,a-list directors,"After producer Brian Grazer brought the project to Ron Howard, his long-time professional partner, many A-list directors called with their point of view on the project.",c2479de3c41d4b2d91cb4e46b573bb17,,4
grazer,screenwriters,Grazer met with a number of screenwriters,2b2e7e69f9cf4cd584fb3430469eac6f,,4
grazer,akiva goldsman,Grazer chose Akiva Goldsman because of his strong passion and desire for the project,2b2e7e69f9cf4cd584fb3430469eac6f,,4
screenwriters,"mostly consisting of ""serious dramatists""",But Grazer chose Akiva Goldsman because of his strong passion and desire for the project.,2b2e7e69f9cf4cd584fb3430469eac6f,,4
goldsman,howard,Howard agreed to direct the film based on the first draft,2b2e7e69f9cf4cd584fb3430469eac6f,,4
goldsman,love story,"Goldsman's creative take on the project was to avoid having viewers understand they are viewing an alternative reality until a specific point in the film. This was done to rob the viewers of their understanding, to mimic how Nash comprehended his experiences.",2b2e7e69f9cf4cd584fb3430469eac6f,,4
nash,love story,Howard asked Goldsman to emphasize the love story of Nash and his wife; she was critical to his being able to continue living at home.,2b2e7e69f9cf4cd584fb3430469eac6f,,4
bayer,mathematical equations,"Dave Bayer, a professor of mathematics at Barnard College, Columbia University, was consulted on the mathematical equations that appear in the film.",2b2e7e69f9cf4cd584fb3430469eac6f,,4
nash,mathematical equations,"For the scene where Nash has to teach a calculus class and gives them a complicated problem to keep them busy, Bayer chose a problem physically unrealistic but mathematically very rich, in keeping with Nash as ""someone who really doesn't want to teach the mundane details, who will home in on what's really interesting""",2b2e7e69f9cf4cd584fb3430469eac6f,,4
