node_1,node_2,edge,chunk_id,node_3,description,count
dr. seuss's the cat in the hat,loosely based on dr. seuss's 1957 book of the same name,Dr. Seuss's The Cat in the Hat is a 2003 American fantasy comedy film that is loosely based on Dr. Seuss's 1957 book of the same name.,ff71edec30da4a8d87ab80cf123af2b3,,,4
mike myers,the cat in the hat (also known as dr. seuss's the cat in the hat),Mike Myers played the title role of The Cat in the Hat in the 2003 film adaptation.,ff71edec30da4a8d87ab80cf123af2b3,,,4
alec berg,david mandel,"The screenplay for Dr. Seuss's The Cat in the Hat was written by Alec Berg, David Mandel, and Jeff Schaffer.",ff71edec30da4a8d87ab80cf123af2b3,Jeff Schaffer,,4
universal pictures,dr. seuss’ the cat in the hat,Dr. Seuss’ The Cat in the Hat was released in theaters by Universal Pictures.,ff71edec30da4a8d87ab80cf123af2b3,,,4
dreamworks pictures,dr. seuss’ the cat in the hat,Dr. Seuss’ The Cat in the Hat was also internationally distributed by DreamWorks Pictures.,ff71edec30da4a8d87ab80cf123af2b3,,,4
"november 21, 2003",dr. seuss’ the cat in the hat,"Dr. Seuss’ The Cat in the Hat was released in theaters on November 21, 2003.",ff71edec30da4a8d87ab80cf123af2b3,,,4
cat in the hat comes back,sequel based on the cat in the hat comes back,"After the release of Dr. Seuss’s The Cat in the Hat, Seuss's widow prohibited any further live-action adaptations of her husband's works during her lifetime, resulting in the cancellation of a sequel based on The Cat in the Hat Comes Back.",ff71edec30da4a8d87ab80cf123af2b3,,,4
warner bros. pictures animation,another adaptation,"Warner Bros. Pictures Animation is developing another adaptation of Dr. Seuss's works, which is scheduled to be released in 2026.",ff71edec30da4a8d87ab80cf123af2b3,,,4
joan,hank humberfloob,Joan works for neat-freak Hank Humberfloob as a real estate agent,04a736836fda4d6ea7145dad9dcc9e71,,,4
joan,larry quinn,Joan is dating their next-door neighbor Larry Quinn,04a736836fda4d6ea7145dad9dcc9e71,,,4
sally,conrad,Sally and Conrad are siblings mentioned in the context,04a736836fda4d6ea7145dad9dcc9e71,,,4
joan,mrs. kwan,Joan forbids her children to enter the living room which is being kept pristine for an office party she is hosting that night with babysitter Mrs. Kwan,04a736836fda4d6ea7145dad9dcc9e71,,,4
the cat in the hat,sally,The Cat wants to teach Sally and Conrad how to have fun,04a736836fda4d6ea7145dad9dcc9e71,,,4
the cat in the hat,conrad,The Cat wants to teach Sally and Conrad how to have fun,04a736836fda4d6ea7145dad9dcc9e71,,,4
the cat in the hat,thing 1,"The Cat releases Thing 1 from a crate which he locks and forbids the children to tamper with, explaining that it is a portal to his world",04a736836fda4d6ea7145dad9dcc9e71,,,4
the cat in the hat,thing 2,"The Cat releases Thing 2 from a crate which he locks and forbids the children to tamper with, explaining that it is a portal to his world",04a736836fda4d6ea7145dad9dcc9e71,,,4
nevins,conrad,Conrad picks the lock on the crate which grabs onto the collar of Nevins,04a736836fda4d6ea7145dad9dcc9e71,,,4
larry quinn,joan,"Larry is a rude, disgusting, and unemployed slob in debt due to being too lazy to work for a living, and also a con artist pretending to be a successful businessman in order to marry Joan for her money, as well as to get Conrad out of the picture by sending him to military school",04a736836fda4d6ea7145dad9dcc9e71,,,4
nevins,larry quinn,Larry kidnaps Nevins,04a736836fda4d6ea7145dad9dcc9e71,,,4
the mother of all messes,larry,"Larry falls into a purple gooey abyss due to his allergy to the Cat while trying to escape from The Mother of All Messes, which was created by the children and the Cat.",e7c263df4e05402285aa3e2a33d302bf,,,4
the mother of all messes,mrs. kwan,"The Cat, Sally, and Conrad ride on sleeping Mrs. Kwan and navigate through The Mother of All Messes to find the crate and lock it.",e7c263df4e05402285aa3e2a33d302bf,,,4
joan,larry,"Larry tells Joan about the Cat, but they are stalled by the Things posing as police officers.",e7c263df4e05402285aa3e2a33d302bf,,,4
joan,the mother of all messes,"Joan finds The Mother of All Messes when she returns to the house, but does not believe Larry's story about it.",e7c263df4e05402285aa3e2a33d302bf,,,4
larry,the cat,"Larry is scared away by the Cat, who takes advantage of his allergy to The Mother of All Messes.",e7c263df4e05402285aa3e2a33d302bf,,,4
conrad,sally,Conrad and Sally reconcile with The Cat for everything he did during the party.,e7c263df4e05402285aa3e2a33d302bf,,,4
myers,film's direction,"denied having input into the film's direction, but several people claimed otherwise. Myers reportedly provided suggestions to some of the cast, including Baldwin and Preston, regarding their performances.",ceb6385ecebd457e8b22a7e8609039a8,,,4
allen,cat,"initially considered for the role but was committed to shooting another film. The script for the movie based on a version of the original book's story conceived by Allen, who admitted that as a child he was afraid of Seuss' 'mischievous feline babysitter'.",ceb6385ecebd457e8b22a7e8609039a8,,,4
"berg, david mandel and jeff schaffer",rewrote the film,were hired by the studio to rewrite the film after the original draft by Eric Roth was deemed insufficient.,ceb6385ecebd457e8b22a7e8609039a8,,,4
myers,sprockets,"had an argument with Grazer regarding a proposed film adaptation of Myers' Saturday Night Live sketch Sprockets, which Myers later canceled due to dissatisfaction.",ceb6385ecebd457e8b22a7e8609039a8,,,4
