node_1,node_2,edge,chunk_id,edge1,edge2,count
hot pursuit,american,Hot Pursuit is an American action comedy film directed by Anne Fletcher and distributed by Warner Bros. Pictures.,297a6600deac47b2a406e436a846a245,,,4
anne fletcher,director,"Anne Fletcher is the director of Hot Pursuit, an American action comedy film.",297a6600deac47b2a406e436a846a245,,,4
warner bros. pictures,distributor,Hot Pursuit is distributed by Warner Bros. Pictures.,297a6600deac47b2a406e436a846a245,,,4
reese witherspoon,actress,"Reese Witherspoon stars in Hot Pursuit, an American action comedy film.",297a6600deac47b2a406e436a846a245,,,4
sofía vergara,actress,"Sofía Vergara also stars in Hot Pursuit, an American action comedy film.",297a6600deac47b2a406e436a846a245,,,4
san antonio,location,Rose Cooper is a San Antonio Police Department officer whose work ethic is too intense.,297a6600deac47b2a406e436a846a245,,,4
san antonio police department,organization,Rose Cooper is a member of the San Antonio Police Department.,297a6600deac47b2a406e436a846a245,,,4
police officer,job title,Rose Cooper is a Police Officer.,297a6600deac47b2a406e436a846a245,,,4
efficient,adjective,"Following an incident in which Cooper sets the mayor's son on fire by tasing him while he carried an alcoholic drink (after he yelled ""shotgun!""), her work ethic is too intense.",297a6600deac47b2a406e436a846a245,,,4
mayor,job title,The mayor's son is referred to in the context.,297a6600deac47b2a406e436a846a245,,,4
assassins,group of people,A pair of masked assassins and a different pair of assassins kill Jackson and Felipe while Cooper and Daniella are upstairs.,297a6600deac47b2a406e436a846a245,,,4
marshall,job title,U.S. Marshal Jackson is protecting Felipe Riva.,297a6600deac47b2a406e436a846a245,,,4
felipe riva,person,Felipe Riva must testify against cartel leader Vicente Cortez.,297a6600deac47b2a406e436a846a245,,,4
cartel leader,job title,Vicente Cortez is a cartel leader who is opposed by Felipe Riva.,297a6600deac47b2a406e436a846a245,,,4
daniella,person,"Daniella grabs one suitcase, containing many pairs of shoes, and the women flee in Riva's car.",297a6600deac47b2a406e436a846a245,,,4
commanding officer,job title,Captain Emmett is Cooper's commanding officer.,297a6600deac47b2a406e436a846a245,,,4
cooper,daniella,"Daniella hires men to 'kidnap' Cooper before she was escorted out of her house. Daniella and Cooper encounter each other multiple times while pursuing different agendas. Daniella reveals her intention to kill Vincente Cortez, but Cooper stops her. However, when Cooper draws a gun, Daniella tries to kill him, and Cooper shoots her husband dead.",e9d8bf5368174c8dad0f0fa3dc1cc879,,,4
cooper,captain emmett,"Captain Emmett advises Cooper to let the FBI take care of Cortez, but Cooper ignores him. While investigating Cortez's daughter's quinceañera, Cooper discovers that Captain Emmett is working for Cortez and confronts him.",e9d8bf5368174c8dad0f0fa3dc1cc879,,,4
cooper,assassins,Daniela is working with the assassins to murder Vincente Cortez as revenge for killing her brother. Cooper learns about Daniela's alliance with the assassins while trying to stop them.,e9d8bf5368174c8dad0f0fa3dc1cc879,,,4
daniella,cortez,"Daniella wants to kill Cortez for killing her brother. She corners him at his daughter's quinceañera, but Cooper stops her and ultimately kills him.",e9d8bf5368174c8dad0f0fa3dc1cc879,,,4
daniella,assassins,Daniela hires the assassins to 'kidnap' her before she was escorted out of her house. Daniela is working with the assassins to murder Vincente Cortez as revenge for killing her brother.,e9d8bf5368174c8dad0f0fa3dc1cc879,,,4
cooper,cortez,"Cooper tries to stop Daniella from killing Cortez, but ultimately kills him in self-defense.",e9d8bf5368174c8dad0f0fa3dc1cc879,,,4
emmett,cooper,"Captain Emmett advises Cooper to let the FBI take care of Cortez, but Cooper ignores him. While investigating Cortez's daughter's quinceañera, Cooper discovers that Captain Emmett is working for Cortez and confronts him.",e9d8bf5368174c8dad0f0fa3dc1cc879,,,4
daniella,assassins,"The assassins try to stop Daniella from revealing their alliance with her, but ultimately fail.",e9d8bf5368174c8dad0f0fa3dc1cc879,,,4
