node_1,node_2,edge,chunk_id,description,count
glitter,club dancer,"Billie Frank is an aspiring singer who, along with her friends Louise and Roxanne, is a club dancer.",2e72a277cc4448c9bc6062e05b95b02c,,4
billie frank,aspiring singer,"Carey plays Billie Frank, an aspiring singer who...",2e72a277cc4448c9bc6062e05b95b02c,,4
louise,dancer,"...along with her friends Louise and Roxanne, is a club dancer.",2e72a277cc4448c9bc6062e05b95b02c,,4
roxanne,dancer,...,2e72a277cc4448c9bc6062e05b95b02c,,4
da brat,rapper,...who also appeared in the film.,2e72a277cc4448c9bc6062e05b95b02c,,4
terrence howard,timothy walker,Offers them a contract as backup singers/dancers to another singer.,2e72a277cc4448c9bc6062e05b95b02c,,4
"julian ""dice"" black",nightclub dj,...who helps her in her solo career.,2e72a277cc4448c9bc6062e05b95b02c,,4
mariah carey,carey,Carey plays Billie Frank...,2e72a277cc4448c9bc6062e05b95b02c,,4
vondie curtis hall,director,Directed by Vondie Curtis Hall.,2e72a277cc4448c9bc6062e05b95b02c,,4
all that glitters,film and soundtrack project,Carey began working on a film and soundtrack project titled All That Glitters in 1997...,2e72a277cc4448c9bc6062e05b95b02c,,4
columbia records,label,"...however, during that period, her label Columbia Records pressured her to release a compilation album...",2e72a277cc4448c9bc6062e05b95b02c,,4
glitter,critics,Glitter received heavy criticism from reviewers.,27003b6de5904c959bbdf979420785b5,,4
glitter,audiences,Glitter was a box-office bomb and widely panned by audiences.,27003b6de5904c959bbdf979420785b5,,4
carey,actress,"Mariah Carey played the lead role in Glitter and her performance as an actress was widely panned, earning her a Golden Raspberry Award for worst actress.",27003b6de5904c959bbdf979420785b5,,4
glitter,social media sites,Glitter received negative commentary on social media sites due to its poor critical and commercial reception.,27003b6de5904c959bbdf979420785b5,,4
lillian frank,nightclub,Lillian Frank was a performer at a nightclub in the 1970s.,27003b6de5904c959bbdf979420785b5,,4
lillian frank,firing,"Lillian Frank was fired from her job as a performer at a nightclub due to her failed attempt to rouse the crowd with her torch song, 'Lillie's Blues'.",27003b6de5904c959bbdf979420785b5,,4
billie,care home,"After her mother's actions caused their nightclub to be evacuated and lose business, Billie was taken into a care home.",27003b6de5904c959bbdf979420785b5,,4
billie,sylk,"Back-up singer and dancer for famous singer Sylk, who's voice is dubbed in by other performers",0914f6e24e3740f88fb3a6e1a0c8be0a,,4
timothy walker,billie,"Offered her a contract as backup singers and dancers for famous singer Sylk, but raises concerns about the contract",0914f6e24e3740f88fb3a6e1a0c8be0a,,4
julian 'dice' black,billie,Meets at nightclub hosted by Dice and he figures out that Billie is the voice behind Sylk,0914f6e24e3740f88fb3a6e1a0c8be0a,,4
guy richardson,billie,"Signs with major record label, Guy Richardson",0914f6e24e3740f88fb3a6e1a0c8be0a,,4
rafael,billie,"Collaborates with several songwriters, including Rafael",0914f6e24e3740f88fb3a6e1a0c8be0a,,4
dice,billie,Starts working on songs and falls in love with Billie; they go out for dinner and have passionate sex,0914f6e24e3740f88fb3a6e1a0c8be0a,,4
timothy walker,dice,"Billie's contract with Timothy, which Dice failed to pay in full",0914f6e24e3740f88fb3a6e1a0c8be0a,,4
billie,dice,Leaves him after he lied about her contract,0914f6e24e3740f88fb3a6e1a0c8be0a,,4
billie,emotional pain,"Billie begins writing a song on her own, due to her emotional pain of losing her mother and Dice.",1f8164fb856c4790aacc68569e5eb36a,,4
billie,dice,Billie goes to Dice's apartment to reconcile with him but discovers he is not home.,1f8164fb856c4790aacc68569e5eb36a,,4
dice,emotional pain,"Dice also misses Billie, and also begins writing a song due to his emotional pain of losing her.",1f8164fb856c4790aacc68569e5eb36a,,4
billie,dice,'Never Too Far',1f8164fb856c4790aacc68569e5eb36a,"Billie discovers the music Dice has written and realizes they wrote the same song, 'Never Too Far', and kisses his music sheet.",4
dice,'never too far',Dice also wrote the song 'Never Too Far'.,1f8164fb856c4790aacc68569e5eb36a,,4
billie,reconciliation,"Upon seeing her lipstick prints on the sheet, Dice plans a reconciliation but is shot dead by Timothy.",1f8164fb856c4790aacc68569e5eb36a,,4
dice,billie,'Never Too Far',1f8164fb856c4790aacc68569e5eb36a,"Before playing at Madison Square Garden, a devastated Billie sees the news report of Dice's death, and onstage after, commands the band to stop playing 'Loverboy'. She tearfully tells the audience not to take the ones they love for granted.",4
dice,billie,'Never Too Far',1f8164fb856c4790aacc68569e5eb36a,"Afterward, Billie performs 'Never Too Far' as a tribute to Dice.",4
dice,lillian,Dice tells Billie in a note that he loves her and that he has found Lillian.,1f8164fb856c4790aacc68569e5eb36a,,4
billie,mother,The film ends as Billie's limo takes her to the secluded rural property where she is happily reunited with her mother.,1f8164fb856c4790aacc68569e5eb36a,,4
all that glitters,carey,"In late 1997, Carey began work on the project under the working title All That Glitters.",7e0515af61e74199a535a86e50d305a2,,4
columbia records,all that glitters,"Carey continued working on All That Glitters, but wished to fulfill her contract with Columbia Records, which had her signed for one more album.",7e0515af61e74199a535a86e50d305a2,,4
