node_1,node_2,edge,chunk_id,node_3,source,count
dr. michael morbius,marvel comics character,Morbius is a character that appears in Marvel Comics.,383d394956104c39aa1aa155dadc8328,,,4
marvel comics character,spider-man universe (ssu),"The Spider-Man Universe (SSU) is a part of the Marvel Comics universe, in which Morbius and other characters appear.",383d394956104c39aa1aa155dadc8328,,,4
columbia pictures,sony's spider-man universe (ssu),"Columbia Pictures is producing the film 'Morbius', which is a part of Sony's Spider-Man Universe (SSU).",383d394956104c39aa1aa155dadc8328,,,4
marvel entertainment,sony's spider-man universe (ssu),"Marvel Entertainment is collaborating with Sony Pictures for the production of 'Morbius', which is a part of Sony's Spider-Man Universe (SSU).",383d394956104c39aa1aa155dadc8328,,,4
jared leto,dr. michael morbius,Jared Leto is portraying the character of Dr. Michael Morbius in the film 'Morbius'.,383d394956104c39aa1aa155dadc8328,,,4
dr. michael morbius,living vampires,"After curing themselves of a rare blood disease, Michael and his surrogate brother Milo become living vampires in the film 'Morbius'.",383d394956104c39aa1aa155dadc8328,,,4
michael,dr. michael morbius,Michael is the real name of the character Dr. Michael Morbius in the film 'Morbius'.,383d394956104c39aa1aa155dadc8328,,,4
milo,dr. michael morbius,Milo is the surrogate brother of Dr. Michael Morbius in the film 'Morbius'.,383d394956104c39aa1aa155dadc8328,,,4
michael,spider-man related characters,"Sony began developing a film based on Michael, which is part of their new shared universe of films inspired by Spider-Man related characters.",9ef756768d1444d1abcc94ee37fa8ea3,,,4
michael,antagonist in blade franchise,"There were previously two notable attempts to adapt the character of Michael into a cinematic form since 1998, those being a role in the Blade franchise as an antagonist.",9ef756768d1444d1abcc94ee37fa8ea3,,,4
michael,solo film produced by artisan entertainment,"There were previously two notable attempts to adapt the character of Michael into a Cinematic form since 1998, those being a role in the Blade franchise as an antagonist and having a solo film produced by Artisan Entertainment, neither of which ever came to fruition.",9ef756768d1444d1abcc94ee37fa8ea3,,,4
sony,shared universe of films inspired by spider-man related characters,"After announcing plans for a new shared universe of films inspired by Spider-Man related characters beginning with Venom (2018), Sony began developing a film based on Michael.",9ef756768d1444d1abcc94ee37fa8ea3,,,4
sazama and sharpless,script,"Sazama and Sharpless had written a script by November 2017, and Leto and Espinosa officially joined in June 2018.",9ef756768d1444d1abcc94ee37fa8ea3,,,4
leto,michael,Jared Leto officially joined the film based on Michael in June 2018.,9ef756768d1444d1abcc94ee37fa8ea3,,,4
espinosa,michael,"Jared Leto officially joined the film based on Michael in June 2018, and Travis Knight left the director's chair to be replaced by Ruben Espinosa.",9ef756768d1444d1abcc94ee37fa8ea3,,,4
ekstrand,film's score,Jon Ekstrand was hired to compose the film's score.,9ef756768d1444d1abcc94ee37fa8ea3,,,4
morbius,film,"Morbius is a theatrical release of a film that premiered at the Plaza Carso in Mexico City on March 10, 2022.",2418eb48320d4cd29df96f3a550ac304,,,4
morbius,critical failure,"Morbius received criticism for its writing and visual effects, resulting in a critical failure.",2418eb48320d4cd29df96f3a550ac304,,,4
morbius,commercial failure,"Morbius also grossed only $167.5 million worldwide, making it a commercial failure as well.",2418eb48320d4cd29df96f3a550ac304,,,4
morbius,internet memes,The popularity of internet memes mocking its reception and quality led Sony to re-release the film in theaters.,2418eb48320d4cd29df96f3a550ac304,,,4
michael morbius,milo,"At a hospital in Greece, 10-year-old Michael Morbius welcomes his surrogate brother Lucien, whom he renames Milo; they bond over their shared blood illness and desire to be 'normal'.",2418eb48320d4cd29df96f3a550ac304,,,4
michael morbius,adoptive father,Nicholas arranges for Michael to attend medical school in New York while he focuses on caring for Milo.,2418eb48320d4cd29df96f3a550ac304,,,4
michael,nobel prize,"25 years later, Michael publicly declines a Nobel Prize for his work with artificial blood.",bec650a58cdc450ab0f6b3022bba160e,,,4
michael,artificial blood,Michael's work with artificial blood.,bec650a58cdc450ab0f6b3022bba160e,,,4
martine bancroft,vampire bats,Martine Bancroft discovers Michael has secretly captured dozens of vampire bats from Costa Rica in the hope of splicing their genes with his own to cure his condition.,bec650a58cdc450ab0f6b3022bba160e,,,4
michael,vampire bat genes,Michael plans to splice vampire bat genes into his own body in order to find a cure for himself.,bec650a58cdc450ab0f6b3022bba160e,,,4
michael,mercenary vessel,Michael receives funding from Milo to outfit a private mercenary vessel in international waters with his equipment.,bec650a58cdc450ab0f6b3022bba160e,,,4
michael,bloodlust,"After killing and draining the crew of their blood, Michael becomes consumed by bloodlust.",bec650a58cdc450ab0f6b3022bba160e,,,4
michael,vampire,Michael's transformation into a vampire after using the cure he created from splicing bat genes with his own.,bec650a58cdc450ab0f6b3022bba160e,,,4
crew,fear,The crew of the mercenary vessel attack Michael out of fear.,bec650a58cdc450ab0f6b3022bba160e,,,4
michael,senses,"Once his bloodlust subsides and he regains his senses, a horrified Michael...",bec650a58cdc450ab0f6b3022bba160e,,,4
michael,erasures,...erases all CCTV footage of his experiment before contacting authorities and jumping overboard.,bec650a58cdc450ab0f6b3022bba160e,,,4
michael,new york,returns to New York,a90d402a45db400e8cfb4b61ed15c4d4,,,4
michael,superhuman strength,discovers he now has,a90d402a45db400e8cfb4b61ed15c4d4,,,4
michael,echolocation,discovers he now has,a90d402a45db400e8cfb4b61ed15c4d4,,,4
michael,vampire bats,treated as one of their own,a90d402a45db400e8cfb4b61ed15c4d4,,,4
fbi agents simon stroud and al rodriguez,michael's victims,investigate,a90d402a45db400e8cfb4b61ed15c4d4,,,4
artificial blood,michael,subsists on his,a90d402a45db400e8cfb4b61ed15c4d4,,,4
artificial blood,needs,gradually ceases to satisfy,a90d402a45db400e8cfb4b61ed15c4d4,,,4
michael,dead nurse,"finds a dead nurse, drained of her blood",a90d402a45db400e8cfb4b61ed15c4d4,,,4
michael,responsible,believing he was responsible,a90d402a45db400e8cfb4b61ed15c4d4,,,4
simon stroud,michael,arrests,a90d402a45db400e8cfb4b61ed15c4d4,,,4
milo,cure,takes his cure,a90d402a45db400e8cfb4b61ed15c4d4,,,4
milo,dead nurse,kills the nurse,a90d402a45db400e8cfb4b61ed15c4d4,,,4
michael,cure,realizes Milo took his cure,a90d402a45db400e8cfb4b61ed15c4d4,,,4
milo,powers,urges Michael to embrace his powers as he has,a90d402a45db400e8cfb4b61ed15c4d4,,,4
michael,martine,"Meets and acquires a new lab with Martine, develops an antibody against vampirism to stop Milo and plans to use it on himself for Martine. Martine dies in Michael's arms after being mortally wounded by Milo, forcing him to drink her blood.",1ec42bda5a4e4d518b745be35b1612e0,,,4
michael,milo,Tries to stop Milo's vampirism and gets angry after Milo mortally wounds Martine and Nicholas.,1ec42bda5a4e4d518b745be35b1612e0,,,4
stroud and rodriguez,michael's vampirism,"Release footage of one of Milo's attacks, believing Michael's vampirism to be spreading.",1ec42bda5a4e4d518b745be35b1612e0,,,4
nicholas,milo,Pleads with Milo to stop after recognizing him.,1ec42bda5a4e4d518b745be35b1612e0,,,4
adrian toomes,michael,"Approaches Michael and suggests forming a team, surmising that Spider-Man is responsible for Michael's situation.",1ec42bda5a4e4d518b745be35b1612e0,,,4
michael,bats,Summons an army of bats to restrain Milo and injects the antibody.,1ec42bda5a4e4d518b745be35b1612e0,,,4
morbius,spider-man-related properties,"In May 2017, Sony announced plans for a new shared universe featuring Spider-Man-related properties beginning with Venom in October 2018; this was later titled 'Sony's Spider-Man Universe'. Morbius is a part of this shared universe.",f49db2b821154a4b9a98662666cabd25,,,4
morbius,spider-man: homecoming (2017),"Director Jon Watts expressed interest in featuring Morbius and Blade in the then untitled Spider-Man: Far From Home (2019), believing that the character's dark tone could work well within the Marvel Cinematic Universe (MCU).",f49db2b821154a4b9a98662666cabd25,,,4
morbius,artisan entertainment,"Artisan Entertainment announced a deal with Marvel Entertainment in May 2000 to co-produce, finance, and distribute several films based on Marvel Comics characters, including Morbius.",f49db2b821154a4b9a98662666cabd25,,,4
morbius,marvel comics characters,Morbius is a character from Marvel Comics.,f49db2b821154a4b9a98662666cabd25,,,4
morbius,living vampire,"Artisan Entertainment announced a deal with Marvel Entertainment in May 2000 to co-produce, finance, and distribute several films based on Marvel Comics characters, including 'Morbius, the Living Vampire'.",f49db2b821154a4b9a98662666cabd25,,,4
morbius,blade (1998),"Previously, the character was set to appear in Blade (1998), portrayed by director Stephen Norrington in a cameo appearance ahead of a larger role in a sequel.",f49db2b821154a4b9a98662666cabd25,,,4
morbius,blade ii (2002),"However, the character was cut from the first film and not introduced in Blade II (2002) after Norrington chose not to return for that film.",f49db2b821154a4b9a98662666cabd25,,,4
morbius,jared leto,"Jared Leto became 'loosely attached' to star in the title role, but would not commit to the film until he was happy with its direction; Leto asked to personally meet with several director candidate.",f49db2b821154a4b9a98662666cabd25,,,4
morbius,sony pictures entertainment,"The Morbius movie is being developed by Sony Pictures Entertainment, as part of the new shared universe featuring Spider-Man-related properties.",f49db2b821154a4b9a98662666cabd25,,,4
morbius,spider-man: far from home (2019),The involvement of Morbius in the then untitled Spider-Man: Far From Home (2019) is not confirmed.,f49db2b821154a4b9a98662666cabd25,,,4
sony,antoine fuqua,"In April 2018, Sony approached Antoine Fuqua about potentially directing the film. ",f5c0a50e504d48369463f898b7864bc7,,,4
antoine fuqua,sony superhero genre film,"Antoine Fuqua expressed interest in taking on the project, but ultimately chose not to direct it.",f5c0a50e504d48369463f898b7864bc7,,,4
antoine fuqua,something closer to what i get excited about,"Antoine Fuqua said that if he was to make a film in the superhero genre, it would be 'something closer to what I get excited about.'",f5c0a50e504d48369463f898b7864bc7,,,4
f. gary gray,sony superhero genre film,F. Gary Gray considered directing the film but ultimately turned down the role.,f5c0a50e504d48369463f898b7864bc7,,,4
daniel espinosa,sony superhero genre film,Daniel Espinosa was approached by Sony about directing the film and met with Jared Leto to discuss it.,f5c0a50e504d48369463f898b7864bc7,,,4
avi arad,matt tolmach,"Avi Arad, Matt Tolmach, and Lucas Foster were producing the film.",f5c0a50e504d48369463f898b7864bc7,Lucas Foster,,4
may,end of june,Jared Leto met with Daniel Espinosa to discuss directing the film in May while on tour in Germany. Both were confirmed for the project by the end of June.,f5c0a50e504d48369463f898b7864bc7,,,4
already-set marvel release slate,filming,Sony was expected to fit the film into its already-set Marvel release slate shortly and filming was expected to begin by the end of 2018.,f5c0a50e504d48369463f898b7864bc7,,,4
release date,july 31,The release date for the movie has been set to July 31.,ca89e8713bea4fe7b04428be6fa458fe,,,4
matt smith,cast,"Matt Smith has joined the cast of the movie, but his role has not yet been revealed.",ca89e8713bea4fe7b04428be6fa458fe,,,4
art marcum,screenwriters,Art Marcum made an uncredited contribution to the film's script.,ca89e8713bea4fe7b04428be6fa458fe,,,4
matt holloway,screenwriters,Matt Holloway made an uncredited contribution to the film's script.,ca89e8713bea4fe7b04428be6fa458fe,,,4
principal photography,london,"began during the last week of February 2019 in London, under the working title Plasma.",109279ce4e0a45958912437ddcd193e3,,,4
oliver wood,film,"served as cinematographer for the film, which would be the last he would do so before his death in February 2023.",109279ce4e0a45958912437ddcd193e3,,,4
will smith,loxias crown / hunger,"was reported to be portraying the villainous Loxias Crown,",109279ce4e0a45958912437ddcd193e3,,,4
will smith,original character named milo who is similar to loxias crown.,though he was later revealed to be playing an original character named Milo who is similar to Loxias Crown.,109279ce4e0a45958912437ddcd193e3,,,4
jared harris,dr. nicholas,"was revealed to be portraying Dr. Nicholas, a mentor and father figure to both Michael and Milo.",109279ce4e0a45958912437ddcd193e3,,,4
manchester's northern quarter,new york city,doubling for New York City.,109279ce4e0a45958912437ddcd193e3,,,4
film,production,"had ""just wrapped"".",109279ce4e0a45958912437ddcd193e3,,Amy Pascal,4
spider-man,marvel cinematic universe,"Spider-Man was a part of the Marvel Cinematic Universe in previous Marvel Studios films. The new agreement between Sony and Disney extends this relationship, allowing Spider-Man to remain in the MCU.",abbda87a2b0b4a59a04df3fb13f64540,,,4
marvel cinematic universe,shared detailed universe,"The 'call and answer' between the two franchises acknowledges details between them, indicating a shared detailed universe.",abbda87a2b0b4a59a04df3fb13f64540,,,4
vulture,spider-man: homecoming,"Adrian Toomes / Vulture appears in the Marvel Studios film Spider-Man: Homecoming, produced as part of a previous agreement between Sony and Disney.",abbda87a2b0b4a59a04df3fb13f64540,,,4
vulture,morbius,Michael Keaton's scenes in Morbius had to be reshot due to events depicted in Spider-Man: No Way Home not properly coinciding with the original film.,abbda87a2b0b4a59a04df3fb13f64540,,,4
spider-man: no way home,morbius,"The appearance of Michael Keaton's character in Morbius was added without director Daniel Espinosa's knowledge, and later removed from the final film.",abbda87a2b0b4a59a04df3fb13f64540,,,4
jon ekstrand,morbius (film),"By October 2019, Jon Ekstrand was set to compose the score for Morbius.",841725ea3ceb4e3b936c911406c26ad1,,,4
"espinosa, daniel",morbius (film),Daniel Espinosa directed Morbius.,841725ea3ceb4e3b936c911406c26ad1,,,4
morbius (film),sony pictures entertainment,Morbius is a film produced and distributed by Sony Pictures Entertainment.,841725ea3ceb4e3b936c911406c26ad1,,,4
madison gate records,jon ekstrand's score for morbius,"Jon Ekstrand's score for Morbius was released digitally by Madison Gate Records on April 8, 2022.",841725ea3ceb4e3b936c911406c26ad1,,,4
morbius,sony,"In March 2022, Sony used their The Daily Bugle promotional TikTok account to market Morbius.",427dd60c4ae84c459fc85288afccf3cb,,,4
morbius,world premiere,"Had its world premiere at the Plaza Carso in Mexico City on March 10, 2022,",427dd60c4ae84c459fc85288afccf3cb,,,4
morbius,delayed,"Was originally set for release on July 10, 2020. The film was then delayed due to the COVID-19 pandemic.",427dd60c4ae84c459fc85288afccf3cb,,,4
morbius,release date,"Was finally released in the United States on April 1, 2022,",427dd60c4ae84c459fc85288afccf3cb,,,4
morbius,performed poorly,"The re-release of the film also performed poorly, making just $280,000 over the weekend.",427dd60c4ae84c459fc85288afccf3cb,,,4
sony,the daily bugle,"Used their The Daily Bugle promotional TikTok account, previously used for Spider-Man: No Way Home, to market Morbius;",427dd60c4ae84c459fc85288afccf3cb,,,4
