node_1,node_2,edge,chunk_id,node_3,node_4,count
arcade games,alien force,misinterpreting video feeds of classic arcade games as a declaration of war,8d31ea6844c94d2192185fea9358ceb1,,,4
arcade games,technological recreations,alien force responds by attacking Earth with technological recreations of icons from the games,8d31ea6844c94d2192185fea9358ceb1,,,4
former arcade champions,team to lead the planet's defense,President of the United States assembles,8d31ea6844c94d2192185fea9358ceb1,,,4
arcade games,low-resolution graphics,"Visual effect techniques employed the use of voxels, a three-dimensional cube in 3D computer graphics, to replicate",8d31ea6844c94d2192185fea9358ceb1,,,4
pixels (film),loosely adapted,from the 2010 short film Pixels by Patrick Jean,8d31ea6844c94d2192185fea9358ceb1,,,4
donkey kong championship game,eddie 'the fireblaster' plant,Will Cooper witnesses his friend Sam Brenner seemingly losing the Donkey Kong championship game to Eddie 'The Fireblaster' Plant in 1982.,83abb589a4c948b5a6910f485e522310,,,4
video cassette footage,time capsule launched into space,Videocassette footage of Eddie 'The Fireblaster' Plant seemingly losing the Donkey Kong championship game is included in a time capsule launched into space.,83abb589a4c948b5a6910f485e522310,,,4
earth,extraterrestrials,Earth is besieged by extraterrestrials in the form of Galaga.,83abb589a4c948b5a6910f485e522310,,,4
will cooper,sam brenner,"At an arcade in 1982, Will Cooper watches his friend Sam Brenner seemingly lose a Donkey Kong championship game to Eddie 'The Fireblaster' Plant.",83abb589a4c948b5a6910f485e522310,,,4
ludlow 'the wonder kid' lamonsoff,sam brenner,Sam meets Ludlow 'The Wonder Kid' Lamonsoff at the White House and deduces that the extraterrestrials have mistaken video footage as a declaration of war and are attacking Earth with arcade game icons.,83abb589a4c948b5a6910f485e522310,,,4
arcade game icons,earth,The extraterrestrials attack Earth with arcade game icons.,83abb589a4c948b5a6910f485e522310,,,4
taj mahal,arkanoid,The aliens attack the Taj Mahal in the form of Arkanoid.,83abb589a4c948b5a6910f485e522310,,,4
sam brenner,lieutenant colonel violet van patten,Sam and lieutenant colonel Violet van Patten are summoned to the White House by President Will Cooper.,83abb589a4c948b5a6910f485e522310,,,4
hyde park,centipede,The aliens attack Hyde Park in the form of Centipede.,83abb589a4c948b5a6910f485e522310,,,4
navy seals,sam brenner,Sam and Ludlow train Navy SEALs to play the games.,83abb589a4c948b5a6910f485e522310,Ludlow 'The Wonder Kid' Lamonsoff,,4
earth,extraterrestrials,"The aliens challenge Earth to a best-of-five battle, claiming Earth has lost the first match.",83abb589a4c948b5a6910f485e522310,Best-of-Five Battle,,4
lieutenant colonel violet van patten,effective energy weapons,Violet develops effective energy weapons.,83abb589a4c948b5a6910f485e522310,,,4
duck hunt dog,trophy,The aliens send a trophy in the form of the Duck Hunt dog.,83abb589a4c948b5a6910f485e522310,,,4
eddie,new york city,freed from prison to assist in New York City,033fedf0a50b40e18b3eef8f07962ca0,,,4
mini coopers,ghosts,team fights in Mini Coopers as ghosts,033fedf0a50b40e18b3eef8f07962ca0,,,4
pac-man,new york city,fights in New York City,033fedf0a50b40e18b3eef8f07962ca0,,,4
toru iwatani,pac-man,creator tries to reason with it but gets his hand bitten off,033fedf0a50b40e18b3eef8f07962ca0,,,4
sam,q*bert,wins the game with Q*Bert as a trophy,033fedf0a50b40e18b3eef8f07962ca0,,,4
eddie,cheat code,used a cheat code written on his glasses,033fedf0a50b40e18b3eef8f07962ca0,,,4
