node_1,node_2,edge
bomb voyage,movie's plot,Bomb Voyage robs a building that is being discussed in the Movie's Plot
buddy pine,bomb voyage,"Bomb Voyage clips a bomb onto Buddy Pine's cape, which results in collateral damage"
bob,mirage,Mirage secretly offers Bob a mission to subdue a giant robot on Nomanisan island.
mirage,syndrome,"Mirage is working for Syndrome, now calling himself 'Syndrome' after being embittered by Bob's rejection."
buddy,syndrome,Buddy is now calling himself 'Syndrome'.
omnidroid,nomanisan island,The giant 'Omnidroid' robot is loose on Nomanisan island.
syndrome,weapons,Syndrome has become wealthy by inventing weapons that mimic superpowers.
jack-jack,syndrome,"Syndrome abducts Jack-Jack to raise as a sidekick, but Jack-Jack's superpowers manifest and he escapes Syndrome's hold."
helen,bob,Helen rescues the falling baby (Jack-Jack) while Bob throws his car at Syndrome's plane to pull him into one of its engines.
syndrome,omnidroid,"Syndrome follows the Omnidroid to Metroville, but the Omnidroid disarms Syndrome and subsequently knocks him out."
parrs,lucius,"The Parrs and Lucius fight the Omnidroid; Helen and the kids retrieve the remote control, allowing Bob to destroy the robot's power source."
parrs,underminer,"The Parrs witness the arrival of supervillain the Underminer and don their masks and suits, ready to face the new threat."
